P 100, 2100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 2300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 100, 2500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 357.0, 616.0, 126.0, 358.0, 615.0, 126.0, 0, 0, 0
L 352.0, 616.0, 126.0, 357.0, 616.0, 126.0, 0, 0, 0
L 350.0, 615.0, 126.0, 352.0, 616.0, 126.0, 0, 0, 0
L 349.0, 615.0, 126.0, 350.0, 615.0, 126.0, 0, 0, 0
L 348.0, 614.0, 126.0, 349.0, 615.0, 126.0, 0, 0, 0
L 345.0, 614.0, 126.0, 348.0, 614.0, 126.0, 0, 0, 0
L 336.0, 613.0, 126.0, 345.0, 614.0, 126.0, 0, 0, 0
L 286.0, 613.0, 126.0, 336.0, 613.0, 126.0, 0, 0, 0
L 283.0, 617.0, 126.0, 286.0, 613.0, 126.0, 0, 0, 0
L 282.0, 618.0, 126.0, 283.0, 617.0, 126.0, 0, 0, 0
L 281.0, 620.0, 126.0, 282.0, 618.0, 126.0, 0, 0, 0
L 280.0, 621.0, 126.0, 281.0, 620.0, 126.0, 0, 0, 0
L 276.0, 623.0, 126.0, 280.0, 621.0, 126.0, 0, 0, 0
L 271.0, 623.0, 126.0, 276.0, 623.0, 126.0, 0, 0, 0
L 262.0, 624.0, 126.0, 271.0, 623.0, 126.0, 0, 0, 0
L 256.0, 624.0, 126.0, 262.0, 624.0, 126.0, 0, 0, 0
L 254.0, 623.0, 126.0, 256.0, 624.0, 126.0, 0, 0, 0
L 252.0, 623.0, 126.0, 254.0, 623.0, 126.0, 0, 0, 0
L 249.0, 622.0, 126.0, 252.0, 623.0, 126.0, 0, 0, 0
L 248.0, 621.0, 126.0, 249.0, 622.0, 126.0, 0, 0, 0
L 247.0, 617.0, 126.0, 248.0, 621.0, 126.0, 0, 0, 0
L 248.0, 616.0, 126.0, 247.0, 617.0, 126.0, 0, 0, 0
L 248.0, 614.0, 126.0, 248.0, 616.0, 126.0, 0, 0, 0
L 250.0, 613.0, 126.0, 248.0, 614.0, 126.0, 0, 0, 0
L 206.0, 613.0, 126.0, 250.0, 613.0, 126.0, 0, 0, 0
L 189.0, 615.0, 126.0, 206.0, 613.0, 126.0, 0, 0, 0
L 188.0, 615.0, 126.0, 189.0, 615.0, 126.0, 0, 0, 0
L 184.0, 616.0, 126.0, 188.0, 615.0, 126.0, 0, 0, 0
L 182.0, 616.0, 126.0, 184.0, 616.0, 126.0, 0, 0, 0
L 180.0, 615.0, 126.0, 182.0, 616.0, 126.0, 0, 0, 0
L 179.0, 614.0, 126.0, 180.0, 615.0, 126.0, 0, 0, 0
L 179.0, 613.0, 124.0, 179.0, 614.0, 126.0, 0, 0, 0
L 179.0, 611.0, 125.0, 179.0, 613.0, 124.0, 0, 0, 0
L 178.0, 610.0, 126.0, 179.0, 611.0, 125.0, 0, 0, 0
L 178.0, 606.0, 126.0, 178.0, 610.0, 126.0, 0, 0, 0
L 177.0, 605.0, 126.0, 178.0, 606.0, 126.0, 0, 0, 0
L 177.0, 603.0, 126.0, 177.0, 605.0, 126.0, 0, 0, 0
L 176.0, 602.0, 126.0, 177.0, 603.0, 126.0, 0, 0, 0
L 177.0, 600.0, 126.0, 176.0, 602.0, 126.0, 0, 0, 0
L 177.0, 598.0, 126.0, 177.0, 600.0, 126.0, 0, 0, 0
L 178.0, 597.0, 126.0, 177.0, 598.0, 126.0, 0, 0, 0
L 179.0, 595.0, 126.0, 178.0, 597.0, 126.0, 0, 0, 0
