P 0, 800, 0, 0, 0, 0, 2, Original_Map:_Breganz_of_Crimson_Tempest
P 0, 1000, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 0, 1200, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 0, 1400, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 187.9, 498.1, 42.2, 197.4, 503.6, 42.2, 0, 255, 255
L 197.4, 503.6, 42.2, 211.3, 506.3, 42.2, 0, 255, 255
L 211.3, 506.3, 42.2, 216.7, 505.8, 42.2, 0, 255, 255
L 216.7, 505.8, 42.2, 228.0, 502.9, 42.3, 0, 255, 255
L 228.0, 502.9, 42.3, 234.5, 497.5, 42.2, 0, 255, 255
L 234.5, 497.5, 42.2, 242.3, 488.1, 42.2, 0, 255, 255
L 242.3, 488.1, 42.2, 246.7, 475.9, 42.2, 0, 255, 255
L 246.7, 475.9, 42.2, 246.6, 463.2, 42.2, 0, 255, 255
L 246.6, 463.2, 42.2, 242.7, 451.4, 42.2, 0, 255, 255
L 242.7, 451.4, 42.2, 233.8, 441.8, 42.2, 0, 255, 255
L 233.8, 441.8, 42.2, 222.6, 435.6, 42.3, 0, 255, 255
L 222.6, 435.6, 42.3, 210.4, 433.6, 42.2, 0, 255, 255
L 210.4, 433.6, 42.2, 199.1, 435.7, 42.3, 0, 255, 255
L 199.1, 435.7, 42.3, 190.9, 441.4, 41.2, 0, 255, 255
L 190.9, 441.4, 41.2, 185.5, 435.4, 41.1, 0, 255, 255
L 185.5, 435.4, 41.1, 194.3, 426.8, 42.2, 0, 255, 255
L 194.3, 426.8, 42.2, 196.5, 421.4, 42.2, 0, 255, 255
L 196.5, 421.4, 42.2, 197.2, 402.2, 47.2, 0, 255, 255
L 197.2, 402.2, 47.2, 194.2, 402.2, 47.2, 0, 255, 255
L 194.2, 402.2, 47.2, 194.2, 399.7, 47.2, 0, 255, 255
L 194.2, 399.7, 47.2, 201.2, 399.7, 47.7, 0, 255, 255
L 201.2, 399.7, 47.7, 201.2, 402.2, 48.9, 0, 255, 255
L 201.2, 402.2, 48.9, 206.4, 402.2, 48.9, 0, 255, 255
L 206.4, 402.2, 48.9, 210.5, 398.7, 48.9, 0, 255, 255
L 210.5, 398.7, 48.9, 210.4, 388.3, 47.7, 0, 255, 255
L 210.4, 388.3, 47.7, 230.3, 388.2, 47.7, 0, 255, 255
L 230.3, 388.2, 47.7, 230.2, 333.4, 49.2, 0, 255, 255
L 230.2, 333.4, 49.2, 211.0, 333.4, 49.2, 0, 255, 255
L 211.0, 333.4, 49.2, 211.1, 263.4, 41.0, 0, 255, 255
L 211.1, 263.4, 41.0, 201.4, 263.4, 41.9, 0, 255, 255
L 201.4, 263.4, 41.9, 196.5, 263.3, 41.5, 0, 255, 255
L 196.5, 263.3, 41.5, 196.2, 143.6, 41.6, 0, 255, 255
L 196.2, 143.6, 41.6, 192.5, 139.9, 41.6, 0, 255, 255
L 84.9, 139.9, 41.6, 192.5, 139.9, 41.6, 0, 255, 255
L 84.9, 139.9, 41.6, 81.2, 143.6, 41.6, 0, 255, 255
L 81.2, 143.6, 41.6, 81.2, 281.5, 41.6, 0, 255, 255
L 81.2, 281.5, 41.6, 84.9, 285.3, 41.6, 0, 255, 255
L 84.9, 285.3, 41.6, 192.5, 285.3, 41.6, 0, 255, 255
L 192.5, 285.3, 41.6, 196.2, 281.5, 41.6, 0, 255, 255
L 196.2, 281.5, 41.6, 196.3, 274.4, 41.5, 0, 255, 255
L 196.3, 274.4, 41.5, 203.3, 274.2, 41.0, 0, 255, 255
L 203.3, 274.2, 41.0, 203.3, 341.2, 49.2, 0, 255, 255
L 203.3, 341.2, 49.2, 222.6, 341.2, 49.2, 0, 255, 255
L 222.6, 341.2, 49.2, 222.5, 377.0, 47.7, 0, 255, 255
L 222.5, 377.0, 47.7, 210.4, 377.2, 47.7, 0, 255, 255
L 210.5, 367.4, 48.9, 210.4, 377.2, 47.7, 0, 255, 255
L 210.5, 367.4, 48.9, 206.4, 363.3, 48.9, 0, 255, 255
L 206.4, 363.3, 48.9, 200.8, 363.3, 48.9, 0, 255, 255
L 200.8, 363.3, 48.9, 200.8, 365.3, 48.0, 0, 255, 255
L 200.8, 365.3, 48.0, 194.1, 365.0, 47.2, 0, 255, 255
L 194.1, 365.0, 47.2, 194.1, 363.1, 47.2, 0, 255, 255
L 194.1, 363.1, 47.2, 197.2, 363.2, 47.2, 0, 255, 255
L 197.2, 363.2, 47.2, 196.5, 313.8, 42.2, 0, 255, 255
L 196.5, 313.8, 42.2, 192.4, 309.7, 42.2, 0, 255, 255
L 192.4, 309.7, 42.2, 84.8, 309.7, 42.2, 0, 255, 255
L 84.8, 309.7, 42.2, 80.7, 313.8, 42.2, 0, 255, 255
L 80.7, 313.8, 42.2, 80.4, 363.3, 47.2, 0, 255, 255
L 80.4, 363.3, 47.2, 76.5, 363.4, 48.9, 0, 255, 255
L 76.5, 363.4, 48.9, 70.9, 363.4, 48.9, 0, 255, 255
L 70.9, 363.4, 48.9, 66.8, 367.5, 48.9, 0, 255, 255
L 66.7, 386.3, 47.7, 66.8, 367.5, 48.9, 0, 255, 255
L 48.7, 386.1, 47.8, 66.7, 386.3, 47.7, 0, 255, 255
L 46.8, 386.1, 49.3, -56.4, 386.1, 41.9, 0, 255, 255
L -56.4, 386.1, 41.9, -56.2, 377.6, 41.9, 0, 255, 255
L -124.5, 279.7, 42.4, -96.5, 279.4, 42.3, 150, 150, 150
L -96.5, 279.4, 42.3, -96.6, 270.5, 42.4, 150, 150, 150
L -96.6, 270.5, 42.4, -93.8, 270.7, 42.3, 150, 150, 150
L -93.8, 270.7, 42.3, -93.6, 264.3, 42.4, 150, 150, 150
L -93.6, 264.3, 42.4, -107.2, 264.3, 45.0, 150, 150, 150
L -107.2, 264.3, 45.0, -107.2, 233.9, 43.2, 150, 150, 150
L -107.2, 233.9, 43.2, -75.3, 233.9, 43.2, 150, 150, 150
L -75.3, 233.9, 43.2, -75.5, 244.6, 42.4, 150, 150, 150
L -75.5, 244.6, 42.4, -57.7, 244.7, 42.3, 150, 150, 150
L -57.7, 244.7, 42.3, -57.7, 310.4, 42.3, 150, 150, 150
L -57.7, 310.4, 42.3, -63.3, 310.4, 42.3, 150, 150, 150
L -70.7, 303.0, 41.6, -70.7, 303.0, 42.3, 150, 150, 150
