P -500, 300, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -500, 500, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -500, 700, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -296, -388, -12, -297, -385, -11, 0, 0, 0
L -291, -381, -10, -296, -388, -12, 0, 0, 0
L -280, -380, -16, -291, -381, -10, 0, 0, 0
L -271, -381, -16, -280, -380, -16, 0, 0, 0
L -267, -380, -17, -271, -381, -16, 0, 0, 0
L -266, -372, -17, -267, -380, -17, 0, 0, 0
L -269, -365, -17, -266, -372, -17, 0, 0, 0
L -269, -347, -16, -269, -365, -17, 0, 0, 0
L -270, -341, -17, -269, -347, -16, 0, 0, 0
L -269, -336, -17, -270, -341, -17, 0, 0, 0
L -269, -332, -16, -269, -336, -17, 0, 0, 0
L -268, -329, -17, -269, -332, -16, 0, 0, 0
L -267, -325, -17, -268, -329, -17, 0, 0, 0
L -266, -320, -16, -267, -325, -17, 0, 0, 0
L -267, -315, -17, -266, -320, -16, 0, 0, 0
L -281, -315, -16, -267, -315, -17, 0, 0, 0
L -281, -269, -16, -281, -315, -16, 0, 0, 0
L -282, -264, -16, -281, -269, -16, 0, 0, 0
L -332, -264, -16, -282, -264, -16, 0, 0, 0
L -332, -257, -16, -332, -264, -16, 0, 0, 0
L -332, -244, -16, -332, -257, -16, 0, 0, 0
L -332, -232, -16, -332, -244, -16, 0, 0, 0
L -332, -218, -17, -332, -232, -16, 0, 0, 0
L -327, -212, -16, -332, -218, -17, 0, 0, 0
L -324, -208, -16, -327, -212, -16, 0, 0, 0
L -318, -202, -16, -324, -208, -16, 0, 0, 0
L -307, -192, -16, -318, -202, -16, 0, 0, 0
L -295, -180, -16, -307, -192, -16, 0, 0, 0
L -284, -168, -16, -295, -180, -16, 0, 0, 0
L -262, -147, -16, -284, -168, -16, 0, 0, 0
L -253, -137, -16, -262, -147, -16, 0, 0, 0
L -250, -133, -16, -253, -137, -16, 0, 0, 0
L -241, -126, -16, -250, -133, -16, 0, 0, 0
L -228, -113, -16, -241, -126, -16, 0, 0, 0
L -225, -109, -16, -228, -113, -16, 0, 0, 0
L -218, -102, -16, -225, -109, -16, 0, 0, 0
L -214, -98, -16, -218, -102, -16, 0, 0, 0
L -206, -90, -16, -214, -98, -16, 0, 0, 0
L -200, -85, -16, -206, -90, -16, 0, 0, 0
L -190, -75, -16, -200, -85, -16, 0, 0, 0
L -182, -67, -16, -190, -75, -16, 0, 0, 0
L -176, -66, -16, -182, -67, -16, 0, 0, 0
L -167, -65, -16, -176, -66, -16, 0, 0, 0
L -162, -64, -16, -167, -65, -16, 0, 0, 0
L -133, -64, -16, -162, -64, -16, 0, 0, 0
L -131, -86, -16, -133, -64, -16, 0, 0, 0
L -131, -98, -16, -131, -86, -16, 0, 0, 0
L -131, -115, -17, -131, -98, -16, 0, 0, 0
L -114, -116, -16, -131, -115, -17, 0, 0, 0
L -107, -115, -16, -114, -116, -16, 0, 0, 0
L -101, -116, -16, -107, -115, -16, 0, 0, 0
L -93, -115, -17, -101, -116, -16, 0, 0, 0
L -80, -115, -16, -93, -115, -17, 0, 0, 0
L -80, -130, -16, -80, -115, -16, 0, 0, 0
L -75, -130, -17, -80, -130, -16, 0, 0, 0
L -70, -131, -17, -75, -130, -17, 0, 0, 0
L -59, -132, -15, -70, -131, -17, 0, 0, 0
L -49, -132, -17, -59, -132, -15, 0, 0, 0
L -46, -131, -16, -49, -132, -17, 0, 0, 0
L -41, -130, -16, -46, -131, -16, 0, 0, 0
L -42, -122, -17, -41, -130, -16, 0, 0, 0
L -44, -116, -14, -42, -122, -17, 0, 0, 0
L -42, -111, -11, -44, -116, -14, 0, 0, 0
L -42, -107, -10, -42, -111, -11, 0, 0, 0
L -43, -106, -11, -42, -107, -10, 0, 0, 0
L -38, -101, -11, -43, -106, -11, 0, 0, 0
L -39, -91, -10, -38, -101, -11, 0, 0, 0
L -47, -90, -10, -39, -91, -10, 0, 0, 0
L -54, -88, -10, -47, -90, -10, 0, 0, 0
L -57, -91, -6, -54, -88, -10, 0, 0, 0
L -60, -90, -10, -57, -91, -6, 0, 0, 0
L -63, -89, -10, -60, -90, -10, 0, 0, 0
L -68, -86, -10, -63, -89, -10, 0, 0, 0
L -92, -61, -10, -68, -86, -10, 0, 0, 0
L -94, -52, -8, -92, -61, -10, 0, 0, 0
L -93, -46, -10, -94, -52, -8, 0, 0, 0
L -93, 9, -10, -93, -46, -10, 0, 0, 0
L -92, 20, -10, -93, 9, -10, 0, 0, 0
L -93, 37, -10, -92, 20, -10, 0, 0, 0
L -92, 45, -10, -93, 37, -10, 0, 0, 0
L -92, 52, -8, -92, 45, -10, 0, 0, 0
L -91, 57, -7, -92, 52, -8, 0, 0, 0
L -91, 59, -10, -91, 57, -7, 0, 0, 0
L -91, 64, -10, -91, 59, -10, 0, 0, 0
L -75, 81, -10, -91, 64, -10, 0, 0, 0
L -63, 92, -10, -75, 81, -10, 0, 0, 0
L -41, 92, -10, -63, 92, -10, 0, 0, 0
L -18, 92, -10, -41, 92, -10, 0, 0, 0
L 11, 91, -10, -18, 92, -10, 0, 0, 0
L 21, 92, -10, 11, 91, -10, 0, 0, 0
L 32, 92, -10, 21, 92, -10, 0, 0, 0
L 42, 91, -10, 32, 92, -10, 0, 0, 0
L 44, 96, -9, 42, 91, -10, 0, 0, 0
L 54, 91, -6, 44, 96, -9, 0, 0, 0
L 59, 89, -10, 54, 91, -6, 0, 0, 0
L 63, 89, -10, 59, 89, -10, 0, 0, 0
L 87, 64, -10, 63, 89, -10, 0, 0, 0
L 88, 58, -10, 87, 64, -10, 0, 0, 0
L 89, 34, -13, 88, 58, -10, 0, 0, 0
L 88, 21, -10, 89, 34, -13, 0, 0, 0
L 89, 15, -6, 88, 21, -10, 0, 0, 0
L 89, 13, -10, 89, 15, -6, 0, 0, 0
L 88, 10, -10, 89, 13, -10, 0, 0, 0
L 88, 0, -10, 88, 10, -10, 0, 0, 0
L 91, -3, -6, 88, 0, -10, 0, 0, 0
L 90, -5, -10, 91, -3, -6, 0, 0, 0
L 89, -11, -10, 90, -5, -10, 0, 0, 0
L 88, -22, -10, 89, -11, -10, 0, 0, 0
L 89, -33, -10, 88, -22, -10, 0, 0, 0
L 90, -48, -10, 89, -33, -10, 0, 0, 0
L 92, -48, -10, 90, -48, -10, 0, 0, 0
L 92, -55, -10, 92, -48, -10, 0, 0, 0
L 59, -55, -10, 92, -55, -10, 0, 0, 0
L 52, -54, -9, 59, -55, -10, 0, 0, 0
L 44, -51, -6, 52, -54, -9, 0, 0, 0
L 37, -52, -10, 44, -51, -6, 0, 0, 0
L 27, -59, -9, 37, -52, -10, 0, 0, 0
L 22, -63, -10, 27, -59, -9, 0, 0, 0
L 7, -73, -9, 22, -63, -10, 0, 0, 0
L -1, -84, -10, 7, -73, -9, 0, 0, 0
L -4, -87, -10, -1, -84, -10, 0, 0, 0
L -9, -91, -10, -4, -87, -10, 0, 0, 0
L -16, -90, -10, -9, -91, -10, 0, 0, 0
L -24, -91, -10, -16, -90, -10, 0, 0, 0
L -23, -103, -10, -24, -91, -10, 0, 0, 0
L -22, -121, -17, -23, -103, -10, 0, 0, 0
L -21, -134, -16, -22, -121, -17, 0, 0, 0
L -22, -146, -16, -21, -134, -16, 0, 0, 0
L -34, -149, -17, -22, -146, -16, 0, 0, 0
L -49, -148, -16, -34, -149, -17, 0, 0, 0
L -59, -146, -15, -49, -148, -16, 0, 0, 0
L -64, -148, -17, -59, -146, -15, 0, 0, 0
L -67, -148, -17, -64, -148, -17, 0, 0, 0
L -80, -148, -17, -67, -148, -17, 0, 0, 0
L -81, -149, -17, -80, -148, -17, 0, 0, 0
L -80, -162, -16, -81, -149, -17, 0, 0, 0
L -130, -163, -16, -80, -162, -16, 0, 0, 0
L -131, -210, -16, -130, -163, -16, 0, 0, 0
L -170, -213, -16, -131, -210, -16, 0, 0, 0
