P 1100, 1400, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 1100, 1600, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 1100, 1800, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 1396, 443, -95, 1396, 432, -96, 0, 0, 0
L 1382, 440, -95, 1396, 443, -95, 0, 0, 0
L 1375, 439, -95, 1382, 440, -95, 0, 0, 0
L 1372, 439, -95, 1375, 439, -95, 0, 0, 0
L 1360, 442, -94, 1372, 439, -95, 0, 0, 0
L 1359, 442, -95, 1360, 442, -94, 0, 0, 0
L 1353, 449, -92, 1359, 442, -95, 0, 0, 0
L 1349, 455, -94, 1353, 449, -92, 0, 0, 0
L 1346, 459, -94, 1349, 455, -94, 0, 0, 0
L 1344, 465, -95, 1346, 459, -94, 0, 0, 0
L 1344, 501, -95, 1344, 465, -95, 0, 0, 0
L 1344, 511, -95, 1344, 501, -95, 0, 0, 0
L 1346, 531, -95, 1344, 511, -95, 0, 0, 0
L 1346, 533, -94, 1346, 531, -95, 0, 0, 0
L 1352, 546, -94, 1346, 533, -94, 0, 0, 0
L 1355, 552, -95, 1352, 546, -94, 0, 0, 0
L 1356, 554, -94, 1355, 552, -95, 0, 0, 0
L 1357, 555, -94, 1356, 554, -94, 0, 0, 0
L 1371, 565, -90, 1357, 555, -94, 0, 0, 0
L 1372, 565, -89, 1371, 565, -90, 0, 0, 0
L 1379, 566, -88, 1372, 565, -89, 0, 0, 0
L 1383, 565, -88, 1379, 566, -88, 0, 0, 0
L 1398, 563, -87, 1383, 565, -88, 0, 0, 0
L 1403, 554, -88, 1398, 563, -87, 0, 0, 0
L 1405, 546, -88, 1403, 554, -88, 0, 0, 0
L 1406, 541, -88, 1405, 546, -88, 0, 0, 0
L 1411, 533, -88, 1406, 541, -88, 0, 0, 0
L 1412, 533, -88, 1411, 533, -88, 0, 0, 0
L 1430, 524, -88, 1412, 533, -88, 0, 0, 0
L 1440, 520, -88, 1430, 524, -88, 0, 0, 0
L 1459, 513, -88, 1440, 520, -88, 0, 0, 0
L 1466, 512, -86, 1459, 513, -88, 0, 0, 0
L 1476, 512, -89, 1466, 512, -86, 0, 0, 0
L 1481, 513, -88, 1476, 512, -89, 0, 0, 0
L 1490, 517, -88, 1481, 513, -88, 0, 0, 0
L 1500, 521, -88, 1490, 517, -88, 0, 0, 0
L 1508, 526, -88, 1500, 521, -88, 0, 0, 0
L 1513, 531, -88, 1508, 526, -88, 0, 0, 0
L 1515, 535, -88, 1513, 531, -88, 0, 0, 0
L 1518, 539, -88, 1515, 535, -88, 0, 0, 0
L 1521, 546, -85, 1518, 539, -88, 0, 0, 0
L 1522, 548, -88, 1521, 546, -85, 0, 0, 0
L 1528, 565, -88, 1522, 548, -88, 0, 0, 0
L 1527, 577, -88, 1528, 565, -88, 0, 0, 0
L 1525, 584, -88, 1527, 577, -88, 0, 0, 0
L 1523, 590, -85, 1525, 584, -88, 0, 0, 0
L 1523, 591, -86, 1523, 590, -85, 0, 0, 0
L 1516, 600, -88, 1523, 591, -86, 0, 0, 0
L 1508, 607, -88, 1516, 600, -88, 0, 0, 0
L 1502, 611, -88, 1508, 607, -88, 0, 0, 0
