P 100.0000, 1300.0000, 0.0000,  0, 0, 0,  2,  Original_Map:_Brewall_Rainsinger_(Cazic-Thule/Fennin_Ro)
P 100.0000, 1500.0000, 0.0000,  0, 0, 0,  2,  http://www.eqmaps.info
P 100.0000, 1700.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L 570.0264, 974.8193, 38.9390,  570.4592, 972.7875, 38.9380,  0, 0, 0
L 570.4592, 972.7875, 38.9380,  571.2868, 971.1061, 38.9145,  0, 0, 0
L 571.2868, 971.1061, 38.9145,  572.1115, 969.4856, 38.6673,  0, 0, 0
L 572.1115, 969.4856, 38.6673,  574.4340, 964.8382, 36.4979,  0, 0, 0
L 574.4340, 964.8382, 36.4979,  575.0588, 962.9854, 36.2537,  0, 0, 0
L 575.0588, 962.9854, 36.2537,  575.6717, 961.2749, 36.2542,  0, 0, 0
L 575.6717, 961.2749, 36.2542,  577.0677, 957.4258, 36.2515,  0, 0, 0
L 577.0677, 957.4258, 36.2515,  577.8197, 955.7018, 36.2528,  0, 0, 0
L 577.8197, 955.7018, 36.2528,  581.7925, 946.7582, 36.2516,  0, 0, 0
L 581.7925, 946.7582, 36.2516,  582.5418, 945.2753, 36.2524,  0, 0, 0
L 582.5418, 945.2753, 36.2524,  586.1511, 938.2944, 36.2531,  0, 0, 0
L 586.1511, 938.2944, 36.2531,  587.1642, 936.5709, 36.2532,  0, 0, 0
L 587.1642, 936.5709, 36.2532,  591.7800, 928.9361, 36.2527,  0, 0, 0
L 591.7800, 928.9361, 36.2527,  592.7814, 927.4525, 36.2529,  0, 0, 0
L 592.7814, 927.4525, 36.2529,  597.9404, 920.0665, 36.2518,  0, 0, 0
L 597.9404, 920.0665, 36.2518,  599.1193, 918.5398, 36.2695,  0, 0, 0
L 599.1193, 918.5398, 36.2695,  603.8776, 912.6152, 36.6108,  0, 0, 0
L 603.8776, 912.6152, 36.6108,  605.1826, 911.1362, 36.6602,  0, 0, 0
L 605.1826, 911.1362, 36.6602,  607.4908, 908.6150, 37.3609,  0, 0, 0
L 607.4908, 908.6150, 37.3609,  608.4061, 906.8992, 38.9400,  0, 0, 0
L 608.4061, 906.8992, 38.9400,  606.9498, 905.6403, 38.9380,  0, 0, 0
L 606.9498, 905.6403, 38.9380,  605.7633, 904.1403, 38.9380,  0, 0, 0
L 605.7633, 904.1403, 38.9380,  605.1528, 902.3294, 38.9112,  0, 0, 0
L 605.1528, 902.3294, 38.9112,  604.5851, 900.5710, 38.6513,  0, 0, 0
L 604.5851, 900.5710, 38.6513,  603.6209, 897.5654, 36.2515,  0, 0, 0
L 603.6209, 897.5654, 36.2515,  602.6766, 895.9644, 36.3573,  0, 0, 0
L 602.6766, 895.9644, 36.3573,  601.5889, 894.4680, 36.5574,  0, 0, 0
L 601.5889, 894.4680, 36.5574,  598.1197, 889.8693, 36.5449,  0, 0, 0
L 598.1197, 889.8693, 36.5449,  596.9741, 888.4195, 36.2516,  0, 0, 0
L 596.9741, 888.4195, 36.2516,  595.8957, 887.1624, 36.2543,  0, 0, 0
L 595.8957, 887.1624, 36.2543,  589.3957, 879.7332, 36.2560,  0, 0, 0
L 589.3957, 879.7332, 36.2560,  588.3168, 878.6224, 36.2562,  0, 0, 0
L 588.3168, 878.6224, 36.2562,  581.3175, 871.7078, 36.2568,  0, 0, 0
L 581.3175, 871.7078, 36.2568,  579.9218, 870.4387, 36.2575,  0, 0, 0
L 579.9218, 870.4387, 36.2575,  573.9090, 865.2552, 36.2581,  0, 0, 0
L 573.9090, 865.2552, 36.2581,  572.4970, 864.1249, 36.2581,  0, 0, 0
L 572.4970, 864.1249, 36.2581,  565.3387, 858.7416, 36.2563,  0, 0, 0
L 565.3387, 858.7416, 36.2563,  560.9872, 855.6837, 36.2522,  0, 0, 0
L 560.9872, 855.6837, 36.2522,  559.3013, 854.6365, 36.2515,  0, 0, 0
L 559.3013, 854.6365, 36.2515,  554.5562, 851.4571, 38.9380,  0, 0, 0
L 554.5562, 851.4571, 38.9380,  553.0383, 852.7541, 38.9380,  0, 0, 0
L 553.0383, 852.7541, 38.9380,  551.4541, 851.6089, 38.9380,  0, 0, 0
L 551.4541, 851.6089, 38.9380,  543.4314, 845.6523, 38.9380,  0, 0, 0
L 543.4314, 845.6523, 38.9380,  545.2776, 844.2086, 38.9406,  0, 0, 0
L 545.2776, 844.2086, 38.9406,  546.4807, 842.6169, 38.9389,  0, 0, 0
L 546.4807, 842.6169, 38.9389,  550.9161, 836.9348, 38.9380,  0, 0, 0
L 550.9161, 836.9348, 38.9380,  552.6050, 837.7350, 38.9380,  0, 0, 0
L 552.6050, 837.7350, 38.9380,  553.9300, 838.9791, 38.9389,  0, 0, 0
L 553.9300, 838.9791, 38.9389,  555.4846, 840.1520, 38.9380,  0, 0, 0
L 555.4846, 840.1520, 38.9380,  560.0288, 843.7947, 38.9380,  0, 0, 0
L 560.0288, 843.7947, 38.9380,  558.7661, 845.1471, 38.9429,  0, 0, 0
L 558.7661, 845.1471, 38.9429,  559.4186, 847.0083, 38.9152,  0, 0, 0
L 559.4186, 847.0083, 38.9152,  560.9921, 847.9594, 38.6457,  0, 0, 0
L 560.9921, 847.9594, 38.6457,  569.4813, 853.2186, 38.8602,  0, 0, 0
L 569.4813, 853.2186, 38.8602,  570.7902, 854.5447, 38.6660,  0, 0, 0
L 570.7902, 854.5447, 38.6660,  572.3367, 855.6363, 38.7600,  0, 0, 0
L 572.3367, 855.6363, 38.7600,  573.8336, 856.8876, 41.6135,  0, 0, 0
