P -200, 700, -230, 0, 0, 0, 3, Original_Map:_Goodurden_<RoI>
P -200, 900, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, 1100, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -200, 1300, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
P -200, 1500, 0, 0, 0, 0, 2, Height_Filter:_40/40
L 168.1651, -1762.8448, -308.5026,  168.0310, -1744.5231, -308.5027,  0, 0, 0
L 167.8913, -1744.4536, -308.5027,  174.9434, -1747.9541, -308.5027,  0, 0, 0
L 160.9088, -1748.0341, -308.5027,  167.8913, -1744.4536, -308.5027,  0, 0, 0
L 51.0538, -1703.0508, -271.8498,  25.6471, -1703.0736, -266.5027,  0, 0, 0
L 25.6563, -1703.0637, -266.5027,  30.0551, -1698.4148, -266.5018,  0, 0, 0
L 30.0659, -1708.3024, -266.5017,  25.6563, -1703.0637, -266.5027,  0, 0, 0
L -14.2114, -1979.2323, -266.4965,  -9.7995, -1979.2327, -266.4965,  0, 127, 127
L 62.1685, -1934.2192, -266.4965,  62.1677, -1929.8092, -266.4966,  0, 127, 127
L 81.7899, -2028.7806, -266.4966,  81.7718, -2051.2190, -266.4965,  240, 240, 240
L 86.3176, -2028.7904, -266.4965,  86.3115, -2051.2197, -266.4966,  240, 240, 240
L 81.7899, -2028.7806, -266.4965,  86.3176, -2028.7904, -266.4965,  0, 127, 127
L 81.7636, -2055.6736, -266.4965,  81.7965, -2051.2190, -266.4965,  0, 127, 127
L 179.2050, -1808.2780, -266.4965,  158.1949, -1808.2852, -266.4965,  240, 240, 240
L 179.2085, -1812.7976, -266.4965,  158.1950, -1812.7618, -266.4965,  240, 240, 240
L 179.2085, -1812.7976, -266.4965,  179.2050, -1808.2780, -266.4965,  0, 127, 127
L 158.3548, -2123.2498, -266.4965,  158.3362, -2101.9900, -266.4965,  240, 240, 240
L 203.1968, -2147.1995, -308.5026,  203.1979, -1764.8000, -308.5026,  240, 0, 0
L 156.8018, -1764.8033, -308.5026,  -179.2001, -1764.8286, -308.5026,  240, 0, 0
L -179.2001, -1764.8286, -308.5026,  -179.1365, -2147.1992, -308.5026,  240, 0, 0
L -179.1365, -2147.1992, -308.5026,  203.1490, -2147.1975, -308.5026,  240, 0, 0
L 203.1999, -1764.8003, -308.5024,  179.2092, -1764.8031, -308.5026,  240, 0, 0
L 179.2092, -1764.8018, -308.5027,  179.0742, -1747.9561, -308.5027,  240, 0, 0
L 156.7963, -1747.9609, -308.5027,  156.8018, -1764.8033, -308.5027,  240, 0, 0
L 181.1997, -1747.9581, -308.5027,  181.1991, -1688.8002, -308.5028,  240, 0, 0
L 181.1991, -1688.8002, -308.5028,  154.7297, -1688.8062, -308.5028,  240, 0, 0
L 154.7297, -1688.8062, -308.5028,  34.9323, -1688.7998, -268.4915,  240, 0, 0
L 156.7963, -1747.9609, -308.5028,  154.8001, -1747.9254, -308.5028,  240, 0, 0
L 181.1999, -1747.9570, -308.5028,  179.0742, -1747.9561, -308.5028,  240, 0, 0
L 154.8001, -1747.9379, -308.5028,  154.8009, -1718.1971, -308.5028,  240, 0, 0
L 154.8009, -1718.1971, -307.6920,  34.9318, -1718.1995, -268.4912,  240, 0, 0
L 203.1996, -2124.0024, -266.4059,  180.1393, -2124.0247, -266.4059,  240, 0, 0
L 180.1393, -2124.0247, -266.4059,  180.1265, -2147.1995, -266.4060,  240, 0, 0
L -156.0618, -2124.0107, -266.4965,  -179.1999, -2123.9917, -266.4966,  240, 0, 0
L -156.0618, -2124.0107, -266.4966,  -156.1081, -2147.1992, -266.4966,  240, 0, 0
