P 200, 900, 0, 0, 0, 0, 2, The_Silent_Gallery_(MIRA)
P 200, 1100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 200, 1300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 200, 1500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 317.0, 213.0, -49.0, 317.0, 226.0, -49.0, 0, 0, 0
L 249.0, 213.0, -50.0, 317.0, 213.0, -49.0, 0, 0, 0
L 248.0, 260.0, -50.0, 249.0, 213.0, -50.0, 0, 0, 0
L 913.0, 405.0, 67.0, 915.0, 400.0, 67.0, 0, 0, 0
L 886.0, 403.0, 64.0, 913.0, 405.0, 67.0, 0, 0, 0
L 887.0, 393.0, 64.0, 886.0, 403.0, 64.0, 0, 0, 0
L 915.0, 401.0, 67.0, 887.0, 393.0, 64.0, 0, 0, 0
L 865.0, 417.0, 64.0, 862.0, 417.0, 64.0, 0, 0, 0
L 866.0, 423.0, 64.0, 865.0, 417.0, 64.0, 0, 0, 0
L 877.0, 420.0, 64.0, 866.0, 423.0, 64.0, 0, 0, 0
L 869.0, 374.0, 69.0, 877.0, 420.0, 64.0, 0, 0, 0
L 865.0, 376.0, 69.0, 869.0, 374.0, 69.0, 0, 0, 0
L 865.0, 390.0, 64.0, 865.0, 376.0, 69.0, 0, 0, 0
L 857.0, 392.0, 64.0, 865.0, 390.0, 64.0, 0, 0, 0
L 860.0, 399.0, 64.0, 857.0, 392.0, 64.0, 0, 0, 0
L 862.0, 417.0, 64.0, 860.0, 399.0, 64.0, 0, 0, 0
L 866.0, 424.0, 64.0, 865.0, 417.0, 64.0, 0, 0, 0
L 950.0, 384.0, 66.0, 949.0, 410.0, 67.0, 0, 0, 0
L 968.0, 387.0, 63.0, 950.0, 384.0, 66.0, 0, 0, 0
L 967.0, 412.0, 67.0, 968.0, 387.0, 63.0, 0, 0, 0
L 949.0, 410.0, 67.0, 967.0, 412.0, 67.0, 0, 0, 0
L 961.0, 423.0, 67.0, 961.0, 473.0, 63.0, 0, 0, 0
L 971.0, 424.0, 65.0, 961.0, 423.0, 67.0, 0, 0, 0
L 971.0, 473.0, 63.0, 971.0, 424.0, 65.0, 0, 0, 0
L 961.0, 473.0, 63.0, 971.0, 473.0, 63.0, 0, 0, 0
L 927.0, 501.0, 67.0, 922.0, 503.0, 67.0, 0, 0, 0
L 927.0, 498.0, 67.0, 927.0, 501.0, 67.0, 0, 0, 0
L 940.0, 488.0, 63.0, 927.0, 498.0, 67.0, 0, 0, 0
L 946.0, 485.0, 63.0, 940.0, 488.0, 63.0, 0, 0, 0
L 943.0, 478.0, 63.0, 946.0, 485.0, 63.0, 0, 0, 0
L 937.0, 478.0, 63.0, 943.0, 478.0, 63.0, 0, 0, 0
L 930.0, 471.0, 63.0, 937.0, 478.0, 63.0, 0, 0, 0
L 928.0, 464.0, 63.0, 930.0, 471.0, 63.0, 0, 0, 0
L 923.0, 465.0, 63.0, 928.0, 464.0, 63.0, 0, 0, 0
L 922.0, 467.0, 63.0, 923.0, 465.0, 63.0, 0, 0, 0
L 912.0, 477.0, 64.0, 922.0, 467.0, 63.0, 0, 0, 0
L 910.0, 485.0, 67.0, 912.0, 477.0, 64.0, 0, 0, 0
L 912.0, 491.0, 67.0, 910.0, 485.0, 67.0, 0, 0, 0
L 921.0, 490.0, 67.0, 912.0, 491.0, 67.0, 0, 0, 0
L 922.0, 503.0, 67.0, 921.0, 490.0, 67.0, 0, 0, 0
L 912.0, 464.0, 64.0, 904.0, 466.0, 64.0, 0, 0, 0
L 910.0, 445.0, 64.0, 912.0, 464.0, 64.0, 0, 0, 0
L 912.0, 442.0, 64.0, 910.0, 445.0, 64.0, 0, 0, 0
L 910.0, 439.0, 64.0, 912.0, 442.0, 64.0, 0, 0, 0
L 906.0, 416.0, 67.0, 910.0, 439.0, 64.0, 0, 0, 0
L 903.0, 418.0, 67.0, 906.0, 416.0, 67.0, 0, 0, 0
L 903.0, 432.0, 64.0, 903.0, 418.0, 67.0, 0, 0, 0
L 897.0, 436.0, 64.0, 903.0, 432.0, 64.0, 0, 0, 0
L 866.0, 435.0, 64.0, 897.0, 436.0, 64.0, 0, 0, 0
L 870.0, 444.0, 64.0, 866.0, 435.0, 64.0, 0, 0, 0
L 892.0, 442.0, 64.0, 870.0, 444.0, 64.0, 0, 0, 0
L 901.0, 446.0, 64.0, 892.0, 442.0, 64.0, 0, 0, 0
L 902.0, 447.0, 64.0, 901.0, 446.0, 64.0, 0, 0, 0
L 904.0, 466.0, 64.0, 902.0, 447.0, 64.0, 0, 0, 0
L 832.0, 484.0, 71.0, 830.0, 494.0, 71.0, 0, 0, 0
L 866.0, 485.0, 71.0, 832.0, 484.0, 71.0, 0, 0, 0
L 864.0, 495.0, 67.0, 866.0, 485.0, 71.0, 0, 0, 0
L 830.0, 494.0, 71.0, 864.0, 495.0, 67.0, 0, 0, 0
L 923.0, 362.0, 71.0, 927.0, 353.0, 71.0, 0, 0, 0
L 909.0, 365.0, 71.0, 923.0, 362.0, 71.0, 0, 0, 0
L 910.0, 369.0, 65.0, 909.0, 365.0, 71.0, 0, 0, 0
L 923.0, 369.0, 63.0, 910.0, 369.0, 65.0, 0, 0, 0
L 925.0, 410.0, 67.0, 923.0, 369.0, 63.0, 0, 0, 0
L 933.0, 407.0, 67.0, 925.0, 410.0, 67.0, 0, 0, 0
L 933.0, 379.0, 64.0, 933.0, 407.0, 67.0, 0, 0, 0
L 930.0, 378.0, 64.0, 933.0, 379.0, 64.0, 0, 0, 0
L 929.0, 369.0, 63.0, 930.0, 378.0, 64.0, 0, 0, 0
L 946.0, 368.0, 63.0, 929.0, 369.0, 63.0, 0, 0, 0
L 943.0, 360.0, 71.0, 946.0, 368.0, 63.0, 0, 0, 0
L 929.0, 362.0, 71.0, 943.0, 360.0, 71.0, 0, 0, 0
L 927.0, 354.0, 71.0, 929.0, 362.0, 71.0, 0, 0, 0
L 892.0, 368.0, 71.0, 838.0, 367.0, 69.0, 0, 0, 0
L 894.0, 355.0, 68.0, 892.0, 368.0, 71.0, 0, 0, 0
L 869.0, 354.0, 69.0, 894.0, 355.0, 68.0, 0, 0, 0
L 868.0, 357.0, 69.0, 869.0, 354.0, 69.0, 0, 0, 0
L 848.0, 358.0, 69.0, 868.0, 357.0, 69.0, 0, 0, 0
L 848.0, 361.0, 69.0, 848.0, 358.0, 69.0, 0, 0, 0
L 837.0, 363.0, 69.0, 848.0, 361.0, 69.0, 0, 0, 0
L 842.0, 389.0, 69.0, 831.0, 391.0, 67.0, 0, 0, 0
L 844.0, 399.0, 64.0, 842.0, 389.0, 69.0, 0, 0, 0
