P 400, 1000, 0, 0, 0, 0, 2, The_Heart_of_the_Menagerie_(MIRG)
P 400, 1200, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 400, 1400, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 400, 1600, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 1240.0, -1180.0, 1.0, 1240.0, -1180.0, 2.0, 1, 2, 4
L -600.0, 780.0, 1.0, -600.0, 780.0, 2.0, 1, 2, 4
L 1220.8, -561.5, -180.0, 1198.5, -513.9, -180.0, 0, 0, 0
L 1198.5, -513.9, -180.0, 1126.9, -513.9, -180.0, 0, 0, 0
L 1126.9, -513.9, -180.0, 1126.9, -534.4, -180.0, 0, 0, 0
L 1126.9, -534.4, -180.0, 1131.1, -536.2, -180.0, 0, 0, 0
L 1131.1, -536.2, -180.0, 1132.0, -539.8, -180.0, 0, 0, 0
L 1132.0, -539.8, -180.0, 1130.5, -544.6, -180.0, 0, 0, 0
L 1130.5, -544.6, -180.0, 1125.3, -546.1, -180.0, 0, 0, 0
L 1125.3, -546.1, -180.0, 1122.5, -544.5, -180.0, 0, 0, 0
L 1122.5, -544.5, -180.0, 1102.9, -562.5, -180.0, 0, 0, 0
L 1102.9, -562.5, -180.0, 1102.9, -570.3, -180.0, 0, 0, 0
L 1102.9, -570.3, -180.0, 1107.0, -571.9, -180.0, 0, 0, 0
L 1107.0, -571.9, -180.0, 1107.9, -575.9, -180.0, 0, 0, 0
L 1107.9, -575.9, -180.0, 1106.7, -580.3, -180.0, 0, 0, 0
L 1106.7, -580.3, -180.0, 1101.5, -582.1, -179.0, 0, 0, 0
L 1101.5, -582.1, -179.0, 1097.7, -580.1, -179.0, 0, 0, 0
L 1097.7, -580.1, -179.0, 1096.4, -576.9, -179.0, 0, 0, 0
L 1096.4, -576.9, -179.0, 1057.9, -576.9, -179.0, 0, 0, 0
L 1057.9, -576.9, -179.0, 1057.9, -581.6, -179.0, 0, 0, 0
L 1057.9, -581.6, -178.9, 1046.9, -581.6, -179.9, 0, 0, 0
L 1046.9, -581.6, -179.9, 1046.9, -576.7, -179.9, 0, 0, 0
L 997.6, -576.6, -179.9, 997.6, -585.6, -179.9, 0, 0, 0
L 997.6, -585.6, -179.4, 986.4, -585.6, -179.4, 0, 0, 0
L 986.4, -585.6, -179.9, 986.4, -576.6, -179.9, 0, 0, 0
L 926.4, -581.6, -179.9, 926.4, -580.5, -179.9, 0, 0, 0
