P 100, 1300, 0, 0, 0, 0, 2, The_Grand_Library_(MIRJ)
P 100, 1500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 1700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 100, 1900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 1050.0, 64.0, 3.0, 1057.0, 60.0, 3.0, 0, 0, 0
L 1057.0, 60.0, 3.0, 1058.0, 25.0, 4.0, 0, 0, 0
L 1058.0, 25.0, 4.0, 1052.0, 18.0, 4.0, 0, 0, 0
L 1052.0, 18.0, 4.0, 1047.0, 24.0, 4.0, 0, 0, 0
L 1047.0, 24.0, 4.0, 1049.0, 64.0, 3.0, 0, 0, 0
L 1049.0, 64.0, 3.0, 1056.0, 61.0, 3.0, 0, 0, 0
L 1073.0, 54.0, 3.0, 1105.0, 54.0, 3.0, 0, 0, 0
L 1105.0, 54.0, 3.0, 1104.0, 44.0, 4.0, 0, 0, 0
L 1104.0, 44.0, 4.0, 1073.0, 44.0, 4.0, 0, 0, 0
L 1073.0, 44.0, 4.0, 1073.0, 53.0, 3.0, 0, 0, 0
L 1125.0, 52.0, 4.0, 1125.0, 61.0, 3.0, 0, 0, 0
L 1125.0, 61.0, 3.0, 1156.0, 62.0, 3.0, 0, 0, 0
L 1156.0, 62.0, 3.0, 1156.0, 51.0, 3.0, 0, 0, 0
L 1156.0, 51.0, 3.0, 1127.0, 51.0, 3.0, 0, 0, 0
L 1117.0, 28.0, 4.0, 1128.0, 27.0, 3.0, 0, 0, 0
L 1128.0, 27.0, 3.0, 1128.0, -3.0, 3.0, 0, 0, 0
L 1128.0, -3.0, 3.0, 1117.0, -2.0, 4.0, 0, 0, 0
L 1117.0, -2.0, 4.0, 1117.0, 26.0, 4.0, 0, 0, 0
L 1105.0, -22.0, 4.0, 1104.0, -32.0, 3.0, 0, 0, 0
L 1104.0, -32.0, 3.0, 1075.0, -32.0, 3.0, 0, 0, 0
L 1075.0, -32.0, 3.0, 1073.0, -22.0, 4.0, 0, 0, 0
L 1073.0, -22.0, 4.0, 1104.0, -22.0, 4.0, 0, 0, 0
L 1057.0, -34.0, 3.0, 1054.0, -38.0, 3.0, 0, 0, 0
L 1054.0, -38.0, 3.0, 1047.0, -34.0, 3.0, 0, 0, 0
L 1047.0, -34.0, 3.0, 1047.0, -2.0, 4.0, 0, 0, 0
L 1047.0, -2.0, 4.0, 1053.0, 3.0, 4.0, 0, 0, 0
L 1053.0, 3.0, 4.0, 1057.0, -1.0, 4.0, 0, 0, 0
L 1057.0, -1.0, 4.0, 1058.0, -33.0, 3.0, 0, 0, 0
L 1012.0, 19.0, 4.0, 1011.0, 31.0, 3.0, 0, 0, 0
L 1011.0, 31.0, 3.0, 1012.0, 86.0, 3.0, 0, 0, 0
L 1012.0, 86.0, 3.0, 1171.0, 86.0, 3.0, 0, 0, 0
L 1171.0, 86.0, 3.0, 1171.0, 31.0, 3.0, 0, 0, 0
L 1171.0, 31.0, 3.0, 1164.0, 31.0, 3.0, 0, 0, 0
L 1164.0, 31.0, 3.0, 1161.0, 28.0, 3.0, 0, 0, 0
L 1161.0, 28.0, 3.0, 1161.0, -7.0, 3.0, 0, 0, 0
L 1161.0, -7.0, 3.0, 1165.0, -9.0, 3.0, 0, 0, 0
L 1165.0, -9.0, 3.0, 1171.0, -9.0, 3.0, 0, 0, 0
L 1171.0, -9.0, 3.0, 1171.0, -64.0, 3.0, 0, 0, 0
L 1171.0, -64.0, 3.0, 1012.0, -64.0, 3.0, 0, 0, 0
L 1012.0, -64.0, 3.0, 1011.0, -9.0, 3.0, 0, 0, 0
L 1011.0, -9.0, 3.0, 1013.0, 2.0, 4.0, 0, 0, 0
L 1013.0, 2.0, 4.0, 1000.0, 2.0, 3.0, 0, 0, 0
L 1000.0, 2.0, 3.0, 1000.0, -1.0, 3.0, 0, 0, 0
L 1000.0, -1.0, 3.0, 953.0, -1.0, 3.0, 0, 0, 0
L 953.0, -1.0, 3.0, 953.0, 5.0, 3.0, 0, 0, 0
L 953.0, 5.0, 3.0, 939.0, 6.0, 3.0, 0, 0, 0
L 939.0, 6.0, 3.0, 939.0, -1.0, 3.0, 0, 0, 0
L 939.0, -1.0, 3.0, 888.0, -53.0, 3.0, 0, 0, 0
L 888.0, -53.0, 3.0, 869.0, -44.0, 3.0, 0, 0, 0
L 869.0, -44.0, 3.0, 859.0, -53.0, 3.0, 0, 0, 0
L 859.0, -53.0, 3.0, 808.0, -53.0, 3.0, 0, 0, 0
L 808.0, -53.0, 3.0, 808.0, -44.0, 3.0, 0, 0, 0
L 808.0, -44.0, 3.0, 812.0, -44.0, 3.0, 0, 0, 0
L 812.0, -44.0, 3.0, 812.0, -11.0, 3.0, 0, 0, 0
L 812.0, -11.0, 3.0, 808.0, -11.0, 3.0, 0, 0, 0
L 808.0, -11.0, 3.0, 807.0, 5.0, 3.0, 0, 0, 0
L 807.0, 5.0, 3.0, 794.0, 6.0, 3.0, 0, 0, 0
L 794.0, 6.0, 3.0, 794.0, -1.0, 3.0, 0, 0, 0
L 794.0, -1.0, 3.0, 747.0, -1.0, 3.0, 0, 0, 0
L 747.0, -1.0, 3.0, 747.0, 1.0, 3.0, 0, 0, 0
L 747.0, 1.0, 3.0, 734.0, 2.0, 3.0, 0, 0, 0
