P -100, 900, 0, 0, 0, 0, 2, The_Forlorn_Caverns_(MMCA)
P -100, 1100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -100, 1300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -100, 1500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -680, -188, -4, -670, -187, -6, 0, 0, 0
L -693, -196, -7, -680, -188, -4, 0, 0, 0
L -701, -197, -3, -693, -196, -7, 0, 0, 0
L -712, -200, -2, -701, -197, -3, 0, 0, 0
L -719, -208, -11, -712, -200, -2, 0, 0, 0
L -719, -210, -12, -719, -208, -11, 0, 0, 0
L -718, -221, -12, -719, -210, -12, 0, 0, 0
L -730, -214, -4, -718, -221, -12, 0, 0, 0
L -747, -205, -2, -730, -214, -4, 0, 0, 0
L -753, -203, -4, -747, -205, -2, 0, 0, 0
L -759, -202, -2, -753, -203, -4, 0, 0, 0
L -766, -202, 0, -759, -202, -2, 0, 0, 0
L -780, -205, -3, -766, -202, 0, 0, 0, 0
L -800, -209, 2, -784, -206, -1, 0, 0, 0
L -818, -202, -2, -800, -209, 2, 0, 0, 0
L -820, -201, -2, -818, -202, -2, 0, 0, 0
L -828, -194, -3, -820, -201, -2, 0, 0, 0
L -836, -186, -2, -828, -194, -3, 0, 0, 0
L -844, -179, 1, -836, -186, -2, 0, 0, 0
L -855, -173, 2, -844, -179, 1, 0, 0, 0
L -863, -171, 0, -855, -173, 2, 0, 0, 0
L -878, -172, -3, -863, -171, 0, 0, 0, 0
L -879, -173, -3, -878, -172, -3, 0, 0, 0
L -892, -184, -4, -879, -173, -3, 0, 0, 0
L -912, -195, 12, -892, -184, -4, 0, 0, 0
L -916, -201, 6, -912, -195, 12, 0, 0, 0
L -916, -206, -3, -916, -201, 6, 0, 0, 0
L -914, -212, -10, -916, -206, -3, 0, 0, 0
L -913, -237, -10, -914, -212, -10, 0, 0, 0
L -913, -249, 0, -913, -237, -10, 0, 0, 0
L -912, -250, 0, -913, -249, 0, 0, 0, 0
L -898, -254, -4, -912, -250, 0, 0, 0, 0
L -895, -256, -5, -898, -254, -4, 0, 0, 0
L -890, -276, -6, -895, -256, -5, 0, 0, 0
L -891, -283, -6, -890, -276, -6, 0, 0, 0
L -894, -299, -6, -891, -283, -6, 0, 0, 0
L -895, -306, -4, -894, -299, -6, 0, 0, 0
L -896, -309, 3, -895, -306, -4, 0, 0, 0
L -900, -323, 6, -896, -309, 3, 0, 0, 0
L -906, -330, 12, -900, -323, 6, 0, 0, 0
L -911, -340, 13, -906, -330, 12, 0, 0, 0
L -913, -344, 12, -911, -340, 13, 0, 0, 0
L -916, -351, 9, -913, -344, 12, 0, 0, 0
L -920, -361, 6, -916, -351, 9, 0, 0, 0
L -921, -370, 7, -920, -361, 6, 0, 0, 0
L -920, -390, 6, -921, -370, 7, 0, 0, 0
L -917, -404, 0, -920, -390, 6, 0, 0, 0
L -917, -405, 1, -917, -404, 0, 0, 0, 0
