P -100, 900, 0, 0, 0, 0, 2, The_Dreary_Grotto_(MMCB)
P -100, 1100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -100, 1300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -100, 1500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 486, 59, -20, 482, 52, -20, 0, 0, 0
L 482, 52, -20, 474, 42, -24, 0, 0, 0
L 474, 42, -24, 464, 33, -32, 0, 0, 0
L 464, 33, -32, 463, 32, -32, 0, 0, 0
L 463, 32, -32, 462, 29, -32, 0, 0, 0
L 462, 29, -32, 462, 17, -31, 0, 0, 0
L 462, 17, -31, 466, 10, -30, 0, 0, 0
L 466, 10, -30, 473, 3, -29, 0, 0, 0
L 473, 3, -29, 480, -4, -27, 0, 0, 0
L 480, -4, -27, 485, -9, -26, 0, 0, 0
L 485, -9, -26, 494, -16, -24, 0, 0, 0
L 494, -16, -24, 504, -21, -23, 0, 0, 0
L 504, -21, -23, 510, -23, -22, 0, 0, 0
L 510, -23, -22, 521, -22, -20, 0, 0, 0
L 521, -22, -20, 529, -15, -17, 0, 0, 0
L 529, -15, -17, 534, -12, -17, 0, 0, 0
L 534, -12, -17, 537, -8, -19, 0, 0, 0
L 537, -8, -19, 546, 2, -19, 0, 0, 0
L 546, 2, -19, 557, 11, -17, 0, 0, 0
L 557, 11, -17, 558, 27, -20, 0, 0, 0
L 558, 27, -20, 558, 36, -23, 0, 0, 0
L 558, 36, -23, 558, 47, -28, 0, 0, 0
L 558, 47, -28, 550, 63, -28, 0, 0, 0
L 550, 63, -28, 540, 73, -26, 0, 0, 0
L 479, 222, -18, 491, 213, -19, 0, 0, 0
L 491, 213, -19, 494, 211, -20, 0, 0, 0
L 494, 211, -20, 496, 209, -21, 0, 0, 0
L 496, 209, -21, 506, 201, -30, 0, 0, 0
L 506, 201, -30, 514, 197, -25, 0, 0, 0
L 514, 197, -25, 512, 188, -20, 0, 0, 0
L 512, 188, -20, 514, 182, -17, 0, 0, 0
L 514, 182, -17, 513, 177, -13, 0, 0, 0
L 513, 177, -13, 512, 171, -14, 0, 0, 0
L 512, 171, -14, 510, 164, -14, 0, 0, 0
L 510, 164, -14, 509, 158, -21, 0, 0, 0
L 509, 158, -21, 509, 153, -25, 0, 0, 0
L 509, 153, -25, 509, 138, -24, 0, 0, 0
L 509, 138, -24, 494, 131, -24, 0, 0, 0
L 494, 131, -24, 486, 124, -24, 0, 0, 0
L 486, 124, -24, 483, 115, -24, 0, 0, 0
L 483, 115, -24, 482, 111, -23, 0, 0, 0
L 482, 111, -23, 484, 106, -24, 0, 0, 0
L 484, 106, -24, 492, 101, -26, 0, 0, 0
L 492, 101, -26, 503, 93, -27, 0, 0, 0
L 503, 93, -27, 504, 76, -28, 0, 0, 0
L 504, 76, -28, 504, 74, -28, 0, 0, 0
L 504, 74, -28, 492, 68, -28, 0, 0, 0
L 492, 68, -28, 486, 59, -29, 0, 0, 0
L 540, 73, -27, 541, 80, -27, 0, 0, 0
L 541, 80, -27, 537, 90, -29, 0, 0, 0
L 537, 90, -29, 544, 101, -31, 0, 0, 0
L 544, 101, -31, 548, 108, -31, 0, 0, 0
L 548, 108, -31, 547, 133, -34, 0, 0, 0
L 547, 133, -34, 547, 139, -33, 0, 0, 0
L 547, 139, -33, 541, 149, -36, 0, 0, 0
L 541, 149, -36, 534, 153, -26, 0, 0, 0
L 534, 153, -26, 533, 156, -26, 0, 0, 0
L 533, 156, -26, 533, 157, -25, 0, 0, 0
L 533, 157, -25, 534, 171, -17, 0, 0, 0
L 534, 171, -17, 536, 196, -19, 0, 0, 0
L 536, 196, -19, 550, 198, -21, 0, 0, 0
L 550, 198, -21, 556, 199, -23, 0, 0, 0
L 556, 199, -23, 565, 203, -23, 0, 0, 0
L 565, 203, -23, 576, 210, -23, 0, 0, 0
L 576, 210, -23, 583, 216, -22, 0, 0, 0
L 583, 216, -22, 582, 227, -20, 0, 0, 0
L 582, 227, -20, 582, 239, -18, 0, 0, 0
L 582, 239, -18, 583, 244, -17, 0, 0, 0
L 583, 244, -17, 584, 254, -17, 0, 0, 0
L 584, 254, -17, 580, 265, -22, 0, 0, 0
L 580, 265, -22, 565, 277, -21, 0, 0, 0
L 565, 277, -21, 551, 286, -20, 0, 0, 0
L 551, 286, -20, 542, 298, -31, 0, 0, 0
L 542, 298, -31, 539, 300, -32, 0, 0, 0
L 539, 300, -32, 533, 301, -33, 0, 0, 0
L 533, 301, -33, 531, 301, -33, 0, 0, 0
L 531, 301, -33, 523, 296, -32, 0, 0, 0
L 523, 296, -32, 511, 285, -29, 0, 0, 0
L 511, 285, -29, 498, 270, -25, 0, 0, 0
L 498, 270, -25, 490, 262, -23, 0, 0, 0
L 490, 262, -23, 482, 257, -21, 0, 0, 0
L 482, 257, -21, 466, 255, -19, 0, 0, 0
L 466, 255, -19, 455, 262, -19, 0, 0, 0
L 455, 262, -19, 441, 278, -11, 0, 0, 0
L 441, 278, -11, 429, 276, -11, 0, 0, 0
L 429, 276, -11, 428, 276, -13, 0, 0, 0
L 428, 276, -13, 421, 266, -14, 0, 0, 0
L 421, 266, -14, 414, 250, -10, 0, 0, 0
L 414, 250, -10, 413, 249, -10, 0, 0, 0
L 413, 249, -10, 404, 250, -14, 0, 0, 0
L 404, 250, -14, 393, 250, -15, 0, 0, 0
L 290, 61, -9, 312, 48, -14, 0, 0, 0
L 312, 48, -14, 313, 47, -15, 0, 0, 0
L 313, 47, -15, 318, 46, -17, 0, 0, 0
L 318, 46, -17, 322, 47, -17, 0, 0, 0
L 322, 47, -17, 323, 48, -17, 0, 0, 0
L 323, 48, -17, 334, 57, -18, 0, 0, 0
L 334, 57, -18, 347, 70, -18, 0, 0, 0
L 347, 70, -18, 355, 80, -18, 0, 0, 0
L 355, 80, -18, 355, 81, -18, 0, 0, 0
L 355, 81, -18, 356, 95, -13, 0, 0, 0
L 356, 95, -13, 355, 101, -11, 0, 0, 0
L 355, 101, -11, 353, 112, -6, 0, 0, 0
L 353, 112, -6, 349, 128, -2, 0, 0, 0
L 349, 128, -2, 347, 132, -5, 0, 0, 0
L 347, 132, -5, 340, 138, -10, 0, 0, 0
L 340, 138, -10, 336, 147, -10, 0, 0, 0
L 336, 147, -10, 335, 155, -11, 0, 0, 0
L 335, 155, -11, 333, 163, -11, 0, 0, 0
L 333, 163, -11, 334, 169, -11, 0, 0, 0
L 334, 169, -11, 335, 170, -11, 0, 0, 0
L 335, 170, -11, 339, 190, -13, 0, 0, 0
L 339, 190, -13, 340, 192, -13, 0, 0, 0
L 340, 192, -13, 352, 208, -16, 0, 0, 0
L 352, 208, -16, 358, 221, -18, 0, 0, 0
L 358, 221, -18, 363, 231, -17, 0, 0, 0
L 363, 231, -17, 365, 232, -16, 0, 0, 0
L 365, 232, -16, 376, 228, -14, 0, 0, 0
L 376, 228, -14, 382, 230, -14, 0, 0, 0
L 382, 230, -14, 389, 228, -12, 0, 0, 0
L 389, 228, -12, 409, 228, -13, 0, 0, 0
L 409, 228, -13, 411, 228, -13, 0, 0, 0
L 411, 228, -13, 422, 221, -11, 0, 0, 0
L 422, 221, -11, 431, 214, -19, 0, 0, 0
L 431, 214, -19, 446, 212, -24, 0, 0, 0
L 446, 212, -24, 447, 212, -24, 0, 0, 0
L 447, 212, -24, 457, 213, -24, 0, 0, 0
L 457, 213, -24, 467, 218, -24, 0, 0, 0
L 467, 218, -24, 472, 221, -23, 0, 0, 0
L 472, 221, -23, 479, 222, -22, 0, 0, 0
L 267, 133, -12, 288, 139, -8, 0, 0, 0
L 288, 139, -8, 300, 144, -9, 0, 0, 0
L 300, 144, -9, 308, 149, -14, 0, 0, 0
L 308, 149, -14, 313, 156, -16, 0, 0, 0
L 313, 156, -16, 313, 167, -11, 0, 0, 0
L 313, 167, -11, 314, 183, -8, 0, 0, 0
L 314, 183, -8, 317, 191, -13, 0, 0, 0
L 317, 191, -13, 312, 195, -16, 0, 0, 0
L 312, 195, -16, 305, 201, -16, 0, 0, 0
L 305, 201, -16, 301, 207, -17, 0, 0, 0
L 301, 207, -17, 293, 215, -17, 0, 0, 0
L 293, 215, -17, 283, 225, -18, 0, 0, 0
L 283, 225, -18, 274, 235, -18, 0, 0, 0
L 274, 235, -18, 268, 242, -20, 0, 0, 0
L 268, 242, -20, 263, 251, -26, 0, 0, 0
L 263, 251, -26, 263, 252, -26, 0, 0, 0
L 263, 252, -26, 267, 260, -27, 0, 0, 0
L 267, 260, -27, 276, 270, -26, 0, 0, 0
L 276, 270, -26, 283, 281, -25, 0, 0, 0
L 283, 281, -25, 287, 286, -25, 0, 0, 0
L 287, 286, -25, 293, 294, -24, 0, 0, 0
L 293, 294, -24, 299, 300, -24, 0, 0, 0
L 299, 300, -24, 303, 299, -23, 0, 0, 0
L 303, 299, -23, 313, 297, -22, 0, 0, 0
L 313, 297, -22, 324, 297, -20, 0, 0, 0
L 324, 297, -20, 331, 297, -19, 0, 0, 0
L 331, 297, -19, 338, 298, -18, 0, 0, 0
L 338, 298, -18, 353, 296, -17, 0, 0, 0
L 353, 296, -17, 353, 295, -17, 0, 0, 0
L 353, 295, -17, 358, 284, -19, 0, 0, 0
L 358, 284, -19, 362, 277, -19, 0, 0, 0
L 362, 277, -19, 368, 258, -18, 0, 0, 0
L 368, 258, -18, 369, 257, -18, 0, 0, 0
L 369, 257, -18, 376, 252, -25, 0, 0, 0
L 376, 252, -25, 375, 245, -19, 0, 0, 0
L 375, 245, -19, 384, 245, -11, 0, 0, 0
L 384, 245, -11, 393, 250, -9, 0, 0, 0
L 296, 65, -4, 267, 82, -6, 0, 0, 0
L 267, 82, -6, 256, 87, -10, 0, 0, 0
L 256, 87, -10, 244, 96, -9, 0, 0, 0
L 244, 96, -9, 239, 98, -9, 0, 0, 0
L 239, 98, -9, 218, 86, -7, 0, 0, 0
L 218, 86, -7, 215, 86, -8, 0, 0, 0
L 215, 86, -8, 206, 85, -7, 0, 0, 0
L 206, 85, -7, 198, 86, -6, 0, 0, 0
L 198, 86, -6, 189, 89, -8, 0, 0, 0
L 189, 89, -8, 179, 89, -8, 0, 0, 0
L 179, 89, -8, 171, 81, -5, 0, 0, 0
L 171, 81, -5, 165, 70, -2, 0, 0, 0
L 165, 70, -2, 164, 69, -3, 0, 0, 0
L 164, 69, -3, 162, 60, -5, 0, 0, 0
L 162, 60, -5, 161, 53, -6, 0, 0, 0
L 161, 53, -6, 162, 46, -5, 0, 0, 0
