P 200.0000, 1000, 0,  0, 0, 0,  2,  The_Sepulcher_of_the_Damned_(MMCE)
P 200.0000, 1200, 0,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 200.0000, 1400, 0,  0, 0, 0,  2,  http://www.eqmaps.info
P 200.0000, 1600.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L 329.3000, 203.9000, -3.0000,  329.3000, 201.9000, -3.0000,  0, 0, 0
L 329.8000, 205.6000, -3.0000,  329.3000, 203.9000, -3.0000,  0, 0, 0
L 330.3000, 210.1000, -3.0000,  329.8000, 205.6000, -3.0000,  0, 0, 0
L 330.3000, 212.0000, -3.0000,  330.3000, 210.1000, -3.0000,  0, 0, 0
L 331.0000, 213.8000, -3.0000,  330.3000, 212.0000, -3.0000,  0, 0, 0
L 338.0000, 214.1000, -3.0000,  331.0000, 213.8000, -3.0000,  0, 0, 0
L 339.9000, 214.1000, -3.0000,  338.0000, 214.1000, -3.0000,  0, 0, 0
L 340.4000, 219.3000, -3.0000,  339.9000, 214.1000, -3.0000,  0, 0, 0
L 340.4000, 221.3000, -3.0000,  340.4000, 219.3000, -3.0000,  0, 0, 0
L 341.3000, 223.1000, -3.0000,  340.4000, 221.3000, -3.0000,  0, 0, 0
L 403.4000, 223.1000, -3.0000,  341.3000, 223.1000, -3.0000,  0, 0, 0
L 405.4000, 223.1000, -3.0000,  403.4000, 223.1000, -3.0000,  0, 0, 0
L 405.9000, 226.6000, -3.0000,  405.4000, 223.1000, -3.0000,  0, 0, 0
L 405.6000, 228.5000, -3.0000,  405.9000, 226.6000, -3.0000,  0, 0, 0
L 405.1000, 230.7000, -3.0000,  405.6000, 228.5000, -3.0000,  0, 0, 0
L 404.7000, 232.6000, -3.0000,  405.1000, 230.7000, -3.0000,  0, 0, 0
L 406.6000, 233.0000, -3.0000,  404.7000, 232.6000, -3.0000,  0, 0, 0
L 420.5000, 233.1000, -3.0000,  406.6000, 233.0000, -3.0000,  0, 0, 0
L 422.3000, 233.1000, -3.0000,  420.5000, 233.1000, -3.0000,  0, 0, 0
L 424.2000, 232.6000, -3.0000,  422.3000, 233.1000, -3.0000,  0, 0, 0
L 424.6000, 223.3000, -3.0000,  424.2000, 232.6000, -3.0000,  0, 0, 0
L 424.9000, 221.3000, -3.0000,  424.6000, 223.3000, -3.0000,  0, 0, 0
L 426.7000, 220.7000, -2.7000,  424.9000, 221.3000, -3.0000,  0, 0, 0
L 428.5000, 219.8000, -2.5000,  426.7000, 220.7000, -2.7000,  0, 0, 0
L 430.5000, 219.6000, -3.0000,  428.5000, 219.8000, -2.5000,  0, 0, 0
L 441.6000, 220.2000, -1.6000,  430.5000, 219.6000, -3.0000,  0, 0, 0
L 439.8000, 220.1000, -1.6000,  441.6000, 220.2000, -1.6000,  0, 0, 0
L 446.1000, 222.1000, -1.6000,  439.8000, 220.1000, -1.6000,  0, 0, 0
L 447.9000, 222.6000, -1.6000,  446.1000, 222.1000, -1.6000,  0, 0, 0
L 450.4000, 222.6000, -0.0000,  447.9000, 222.6000, -1.6000,  0, 0, 0
L 452.2000, 222.4000, 0.2000,  450.4000, 222.6000, -0.0000,  0, 0, 0
L 453.8000, 221.5000, -2.8000,  452.2000, 222.4000, 0.2000,  0, 0, 0
L 455.1000, 220.1000, 1.8000,  453.8000, 221.5000, -2.8000,  0, 0, 0
L 466.2000, 220.6000, -2.5000,  455.1000, 220.1000, 1.8000,  0, 0, 0
L 468.0000, 220.6000, -3.0000,  466.2000, 220.6000, -2.5000,  0, 0, 0
L 469.8000, 220.9000, -3.0000,  468.0000, 220.6000, -3.0000,  0, 0, 0
L 469.3000, 231.1000, -3.0000,  469.8000, 220.9000, -3.0000,  0, 0, 0
L 469.4000, 233.0000, -3.0000,  469.3000, 231.1000, -3.0000,  0, 0, 0
L 490.6000, 233.1000, -3.0000,  469.4000, 233.0000, -3.0000,  0, 0, 0
L 500.5000, 233.1000, -3.0000,  490.6000, 233.1000, -3.0000,  0, 0, 0
L 502.3000, 233.2000, -3.0000,  500.5000, 233.1000, -3.0000,  0, 0, 0
L 504.2000, 232.7000, -3.0000,  502.3000, 233.2000, -3.0000,  0, 0, 0
L 504.6000, 224.0000, -3.0000,  504.2000, 232.7000, -3.0000,  0, 0, 0
L 504.6000, 222.0000, -3.0000,  504.6000, 224.0000, -3.0000,  0, 0, 0
L 505.9000, 220.7000, -3.0000,  504.6000, 222.0000, -3.0000,  0, 0, 0
L 507.9000, 220.5000, -3.0000,  505.9000, 220.7000, -3.0000,  0, 0, 0
L 509.8000, 220.1000, -3.0000,  507.9000, 220.5000, -3.0000,  0, 0, 0
L 509.9000, 218.1000, -3.0000,  509.8000, 220.1000, -3.0000,  0, 0, 0
L 511.6000, 217.3000, -1.9000,  509.9000, 218.1000, -3.0000,  0, 0, 0
L 513.5000, 217.1000, -0.8000,  511.6000, 217.3000, -1.9000,  0, 0, 0
L 515.4000, 216.6000, 0.3000,  513.5000, 217.1000, -0.8000,  0, 0, 0
L 521.4000, 216.1000, 2.2000,  515.4000, 216.6000, 0.3000,  0, 0, 0
L 531.3000, 216.5000, 2.3000,  521.4000, 216.1000, 2.2000,  0, 0, 0
L 541.1000, 216.6000, -2.1000,  531.3000, 216.5000, 2.3000,  0, 0, 0
L 543.1000, 216.7000, -3.0000,  541.1000, 216.6000, -2.1000,  0, 0, 0
L 544.6000, 218.1000, -2.8000,  543.1000, 216.7000, -3.0000,  0, 0, 0
L 545.9000, 219.3000, -2.6000,  544.6000, 218.1000, -2.8000,  0, 0, 0
L 547.5000, 220.4000, -3.0000,  545.9000, 219.3000, -2.6000,  0, 0, 0
L 549.4000, 220.6000, -3.0000,  547.5000, 220.4000, -3.0000,  0, 0, 0
L 549.9000, 253.2000, -3.0000,  549.4000, 220.6000, -3.0000,  0, 0, 0
L 549.9000, 254.8000, -3.0000,  549.9000, 253.2000, -3.0000,  0, 0, 0
L 549.1000, 256.7000, -2.7000,  549.9000, 254.8000, -3.0000,  0, 0, 0
L 547.3000, 257.2000, -2.5000,  549.1000, 256.7000, -2.7000,  0, 0, 0
L 545.9000, 258.6000, -3.0000,  547.3000, 257.2000, -2.5000,  0, 0, 0
L 534.0000, 255.6000, -1.6000,  545.9000, 258.6000, -3.0000,  0, 0, 0
L 532.2000, 255.1000, -1.6000,  534.0000, 255.6000, -1.6000,  0, 0, 0
L 523.1000, 256.6000, 0.1000,  532.2000, 255.1000, -1.6000,  0, 0, 0
L 521.1000, 257.0000, -2.7000,  523.1000, 256.6000, 0.1000,  0, 0, 0
L 519.7000, 258.0000, 1.0000,  521.1000, 257.0000, -2.7000,  0, 0, 0
L 508.6000, 257.0000, -3.0000,  519.7000, 258.0000, 1.0000,  0, 0, 0
L 506.9000, 256.9000, -3.0000,  508.6000, 257.0000, -3.0000,  0, 0, 0
L 504.9000, 257.0000, -3.0000,  506.9000, 256.9000, -3.0000,  0, 0, 0
L 504.6000, 248.7000, -3.0000,  504.9000, 257.0000, -3.0000,  0, 0, 0
L 504.7000, 246.8000, -3.0000,  504.6000, 248.7000, -3.0000,  0, 0, 0
