P -100, 1100, 0,  0, 0, 0,  2,  The_Ritualistic_Summoning_Grounds_(MMCF)
P -100.0000, 1300.0000, 0.0000,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -100.0000, 1500.0000, 0.0000,  0, 0, 0,  2,  http://www.eqmaps.info
P -100.0000, 1700.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L -264.0000, 265.0000, 17.0000,  -256.0000, 265.0000, 17.0000,  0, 0, 0
L -264.0000, 242.0000, 17.0000,  -264.0000, 265.0000, 17.0000,  0, 0, 0
L -263.0000, 241.0000, 17.0000,  -264.0000, 242.0000, 17.0000,  0, 0, 0
L -263.0000, 235.0000, 17.0000,  -263.0000, 241.0000, 17.0000,  0, 0, 0
L -264.0000, 233.0000, 17.0000,  -263.0000, 235.0000, 17.0000,  0, 0, 0
L -264.0000, 230.0000, 17.0000,  -264.0000, 233.0000, 17.0000,  0, 0, 0
L -265.0000, 228.0000, 17.0000,  -264.0000, 230.0000, 17.0000,  0, 0, 0
L -267.0000, 228.0000, 17.0000,  -265.0000, 228.0000, 17.0000,  0, 0, 0
L -272.0000, 227.0000, 17.0000,  -267.0000, 228.0000, 17.0000,  0, 0, 0
L -274.0000, 228.0000, 17.0000,  -272.0000, 227.0000, 17.0000,  0, 0, 0
L -276.0000, 228.0000, 17.0000,  -274.0000, 228.0000, 17.0000,  0, 0, 0
L -277.0000, 229.0000, 17.0000,  -276.0000, 228.0000, 17.0000,  0, 0, 0
L -278.0000, 232.0000, 17.0000,  -277.0000, 229.0000, 17.0000,  0, 0, 0
L -295.0000, 232.0000, 17.0000,  -278.0000, 232.0000, 17.0000,  0, 0, 0
L -295.0000, 214.0000, 17.0000,  -295.0000, 232.0000, 17.0000,  0, 0, 0
L -291.0000, 214.0000, 21.0000,  -295.0000, 214.0000, 17.0000,  0, 0, 0
L -290.0000, 214.0000, 20.0000,  -291.0000, 214.0000, 21.0000,  0, 0, 0
L -288.0000, 215.0000, 19.0000,  -290.0000, 214.0000, 20.0000,  0, 0, 0
L -286.0000, 214.0000, 17.0000,  -288.0000, 215.0000, 19.0000,  0, 0, 0
L -279.0000, 214.0000, 17.0000,  -286.0000, 214.0000, 17.0000,  0, 0, 0
L -278.0000, 215.0000, 17.0000,  -279.0000, 214.0000, 17.0000,  0, 0, 0
L -277.0000, 217.0000, 17.0000,  -278.0000, 215.0000, 17.0000,  0, 0, 0
L -276.0000, 218.0000, 17.0000,  -277.0000, 217.0000, 17.0000,  0, 0, 0
L -274.0000, 218.0000, 17.0000,  -276.0000, 218.0000, 17.0000,  0, 0, 0
L -267.0000, 219.0000, 17.0000,  -274.0000, 218.0000, 17.0000,  0, 0, 0
L -265.0000, 218.0000, 17.0000,  -267.0000, 219.0000, 17.0000,  0, 0, 0
L -264.0000, 216.0000, 17.0000,  -265.0000, 218.0000, 17.0000,  0, 0, 0
L -264.0000, 214.0000, 17.0000,  -264.0000, 216.0000, 17.0000,  0, 0, 0
L -263.0000, 213.0000, 17.0000,  -264.0000, 214.0000, 17.0000,  0, 0, 0
L -263.0000, 206.0000, 17.0000,  -263.0000, 213.0000, 17.0000,  0, 0, 0
L -264.0000, 205.0000, 17.0000,  -263.0000, 206.0000, 17.0000,  0, 0, 0
L -264.0000, 181.0000, 17.0000,  -264.0000, 205.0000, 17.0000,  0, 0, 0
L -78.0000, 293.0000, 17.0000,  -78.0000, 285.0000, 17.0000,  0, 0, 0
L -77.0000, 295.0000, 17.0000,  -78.0000, 293.0000, 17.0000,  0, 0, 0
L -77.0000, 296.0000, 17.0000,  -77.0000, 295.0000, 17.0000,  0, 0, 0
L -76.0000, 296.0000, 17.0000,  -77.0000, 296.0000, 17.0000,  0, 0, 0
L -74.0000, 297.0000, 17.0000,  -76.0000, 296.0000, 17.0000,  0, 0, 0
L -74.0000, 314.0000, 17.0000,  -74.0000, 297.0000, 17.0000,  0, 0, 0
L -90.0000, 314.0000, 17.0000,  -74.0000, 314.0000, 17.0000,  0, 0, 0
L -91.0000, 313.0000, 17.0000,  -90.0000, 314.0000, 17.0000,  0, 0, 0
L -92.0000, 311.0000, 17.0000,  -91.0000, 313.0000, 17.0000,  0, 0, 0
L -94.0000, 311.0000, 17.0000,  -92.0000, 311.0000, 17.0000,  0, 0, 0
L -97.0000, 310.0000, 17.0000,  -94.0000, 311.0000, 17.0000,  0, 0, 0
L -99.0000, 311.0000, 17.0000,  -97.0000, 310.0000, 17.0000,  0, 0, 0
L -100.0000, 313.0000, 17.0000,  -99.0000, 311.0000, 17.0000,  0, 0, 0
L -102.0000, 314.0000, 17.0000,  -100.0000, 313.0000, 17.0000,  0, 0, 0
L -104.0000, 316.0000, 17.0000,  -102.0000, 314.0000, 17.0000,  0, 0, 0
L -105.0000, 318.0000, 17.0000,  -104.0000, 316.0000, 17.0000,  0, 0, 0
L -106.0000, 319.0000, 17.0000,  -105.0000, 318.0000, 17.0000,  0, 0, 0
L -106.0000, 325.0000, 17.0000,  -106.0000, 319.0000, 17.0000,  0, 0, 0
L -105.0000, 326.0000, 17.0000,  -106.0000, 325.0000, 17.0000,  0, 0, 0
L -104.0000, 334.0000, 17.0000,  -105.0000, 326.0000, 17.0000,  0, 0, 0
L -97.0000, 341.0000, 17.0000,  -104.0000, 334.0000, 17.0000,  0, 0, 0
L -95.0000, 343.0000, 18.0000,  -97.0000, 341.0000, 17.0000,  0, 0, 0
L -92.0000, 344.0000, 21.0000,  -95.0000, 343.0000, 18.0000,  0, 0, 0
