P 200, 700, 0, 0, 0, 0, 2, The_Halls_of_Sanguinary_Rites_(MMCI)
P 200, 900, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 200, 1100, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 200, 1300, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 759.0, -142.0, -7.0, 759.0, -105.0, 0.0, 0, 0, 0
L 759.0, -144.0, -8.0, 759.0, -142.0, -7.0, 0, 0, 0
L 760.0, -146.0, -8.0, 759.0, -144.0, -8.0, 0, 0, 0
L 784.0, -153.0, -8.0, 760.0, -146.0, -8.0, 0, 0, 0
L 807.0, -176.0, -8.0, 784.0, -153.0, -8.0, 0, 0, 0
L 815.0, -207.0, -8.0, 807.0, -176.0, -8.0, 0, 0, 0
L 807.0, -238.0, -8.0, 815.0, -207.0, -8.0, 0, 0, 0
L 784.0, -261.0, -8.0, 787.0, -258.0, -8.0, 0, 0, 0
L 772.0, -264.0, -8.0, 784.0, -261.0, -8.0, 0, 0, 0
L 691.0, -208.0, -8.0, 699.0, -236.0, -8.0, 0, 0, 0
L 691.0, -206.0, -8.0, 691.0, -208.0, -8.0, 0, 0, 0
L 694.0, -196.0, -8.0, 691.0, -206.0, -8.0, 0, 0, 0
L 699.0, -177.0, -1.0, 694.0, -196.0, -8.0, 0, 0, 0
L 699.0, -176.0, -1.0, 699.0, -177.0, -1.0, 0, 0, 0
L 704.0, -171.0, -8.0, 699.0, -176.0, -1.0, 0, 0, 0
L 707.0, -168.0, -8.0, 704.0, -171.0, -8.0, 0, 0, 0
L 709.0, -167.0, -8.0, 707.0, -168.0, -8.0, 0, 0, 0
L 710.0, -165.0, -5.0, 709.0, -167.0, -8.0, 0, 0, 0
L 715.0, -160.0, 0.0, 710.0, -165.0, -5.0, 0, 0, 0
L 723.0, -154.0, -8.0, 715.0, -160.0, 0.0, 0, 0, 0
L 724.0, -153.0, -8.0, 723.0, -154.0, -8.0, 0, 0, 0
L 745.0, -147.0, -8.0, 724.0, -153.0, -8.0, 0, 0, 0
L 746.0, -146.0, -8.0, 745.0, -147.0, -8.0, 0, 0, 0
L 747.0, -123.0, 0.0, 746.0, -146.0, -8.0, 0, 0, 0
L 747.0, -121.0, 0.0, 747.0, -123.0, 0.0, 0, 0, 0
L 746.0, -120.0, 0.0, 747.0, -121.0, 0.0, 0, 0, 0
L 714.0, -119.0, 0.0, 746.0, -120.0, 0.0, 0, 0, 0
L 712.0, -118.0, 0.0, 714.0, -119.0, 0.0, 0, 0, 0
