P 100, 1400, 0, 0, 0, 0, 2, The_Halls_of_War_(RUJB)
P 100, 1600, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 1800, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 100, 2000, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 348.0, -290.0, -25.0, 370.0, -290.0, -25.0, 0, 0, 0
L 336.0, -293.0, -26.0, 348.0, -290.0, -25.0, 0, 0, 0
L 327.0, -290.0, -25.0, 336.0, -293.0, -26.0, 0, 0, 0
L 326.0, -289.0, -29.0, 327.0, -290.0, -25.0, 0, 0, 0
L 325.0, -287.0, -26.0, 326.0, -289.0, -29.0, 0, 0, 0
L 323.0, -282.0, -20.0, 325.0, -287.0, -26.0, 0, 0, 0
L 323.0, -280.0, -18.0, 323.0, -282.0, -20.0, 0, 0, 0
L 322.0, -277.0, -17.0, 323.0, -280.0, -18.0, 0, 0, 0
L 322.0, -276.0, -17.0, 322.0, -277.0, -17.0, 0, 0, 0
L 319.0, -265.0, -20.0, 322.0, -276.0, -17.0, 0, 0, 0
L 318.0, -263.0, -20.0, 319.0, -265.0, -20.0, 0, 0, 0
L 318.0, -261.0, -21.0, 318.0, -263.0, -20.0, 0, 0, 0
L 317.0, -260.0, -21.0, 318.0, -261.0, -21.0, 0, 0, 0
L 317.0, -258.0, -22.0, 317.0, -260.0, -21.0, 0, 0, 0
L 315.0, -256.0, -22.0, 317.0, -258.0, -22.0, 0, 0, 0
L 314.0, -255.0, -23.0, 315.0, -256.0, -22.0, 0, 0, 0
L 313.0, -253.0, -23.0, 314.0, -255.0, -23.0, 0, 0, 0
L 311.0, -252.0, -24.0, 313.0, -253.0, -23.0, 0, 0, 0
L 310.0, -252.0, -25.0, 311.0, -252.0, -24.0, 0, 0, 0
L 308.0, -251.0, -25.0, 310.0, -252.0, -25.0, 0, 0, 0
L 306.0, -251.0, -26.0, 308.0, -251.0, -25.0, 0, 0, 0
L 305.0, -251.0, -27.0, 306.0, -251.0, -26.0, 0, 0, 0
L 303.0, -251.0, -27.0, 305.0, -251.0, -27.0, 0, 0, 0
L 290.0, -253.0, -28.0, 303.0, -251.0, -27.0, 0, 0, 0
L 288.0, -253.0, -27.0, 290.0, -253.0, -28.0, 0, 0, 0
L 286.0, -253.0, -27.0, 288.0, -253.0, -27.0, 0, 0, 0
L 285.0, -252.0, -27.0, 286.0, -253.0, -27.0, 0, 0, 0
L 283.0, -252.0, -27.0, 285.0, -252.0, -27.0, 0, 0, 0
L 281.0, -251.0, -27.0, 283.0, -252.0, -27.0, 0, 0, 0
L 280.0, -249.0, -27.0, 281.0, -251.0, -27.0, 0, 0, 0
L 280.0, -247.0, -26.0, 280.0, -249.0, -27.0, 0, 0, 0
L 277.0, -248.0, -26.0, 280.0, -247.0, -26.0, 0, 0, 0
L 277.0, -250.0, -26.0, 277.0, -248.0, -26.0, 0, 0, 0
L 277.0, -268.0, -25.0, 277.0, -250.0, -26.0, 0, 0, 0
L 276.0, -270.0, -26.0, 277.0, -268.0, -25.0, 0, 0, 0
L 276.0, -274.0, -28.0, 276.0, -270.0, -26.0, 0, 0, 0
L 276.0, -275.0, -28.0, 276.0, -274.0, -28.0, 0, 0, 0
L 275.0, -277.0, -27.0, 276.0, -275.0, -28.0, 0, 0, 0
L 274.0, -278.0, -28.0, 275.0, -277.0, -27.0, 0, 0, 0
L 270.0, -282.0, -29.0, 274.0, -278.0, -28.0, 0, 0, 0
L 269.0, -282.0, -29.0, 270.0, -282.0, -29.0, 0, 0, 0
L 268.0, -283.0, -28.0, 269.0, -282.0, -29.0, 0, 0, 0
L 266.0, -284.0, -28.0, 268.0, -283.0, -28.0, 0, 0, 0
L 265.0, -285.0, -28.0, 266.0, -284.0, -28.0, 0, 0, 0
L 264.0, -286.0, -29.0, 265.0, -285.0, -28.0, 0, 0, 0
L 263.0, -292.0, -29.0, 264.0, -286.0, -29.0, 0, 0, 0
L 263.0, -297.0, -28.0, 263.0, -292.0, -29.0, 0, 0, 0
L 263.0, -299.0, -28.0, 263.0, -297.0, -28.0, 0, 0, 0
L 256.0, -301.0, -27.0, 263.0, -299.0, -28.0, 0, 0, 0
L 252.0, -302.0, -27.0, 256.0, -301.0, -27.0, 0, 0, 0
L 247.0, -301.0, -26.0, 252.0, -302.0, -27.0, 0, 0, 0
L 158.0, 598.0, -14.0, 158.0, 592.0, -14.0, 0, 0, 0
L 161.0, 614.0, -12.0, 158.0, 598.0, -14.0, 0, 0, 0
L 161.0, 616.0, -12.0, 161.0, 614.0, -12.0, 0, 0, 0
L 178.0, 638.0, -12.0, 161.0, 616.0, -12.0, 0, 0, 0
L 179.0, 639.0, -12.0, 178.0, 638.0, -12.0, 0, 0, 0
L 180.0, 645.0, -13.0, 179.0, 639.0, -12.0, 0, 0, 0
L 182.0, 655.0, -16.0, 180.0, 645.0, -13.0, 0, 0, 0
L 182.0, 656.0, -15.0, 182.0, 655.0, -16.0, 0, 0, 0
L 183.0, 659.0, -13.0, 182.0, 656.0, -15.0, 0, 0, 0
L 183.0, 660.0, -12.0, 183.0, 659.0, -13.0, 0, 0, 0
L 183.0, 662.0, -12.0, 183.0, 660.0, -12.0, 0, 0, 0
L 184.0, 664.0, -12.0, 183.0, 662.0, -12.0, 0, 0, 0
L 185.0, 665.0, -11.0, 184.0, 664.0, -12.0, 0, 0, 0
L 186.0, 666.0, -11.0, 185.0, 665.0, -11.0, 0, 0, 0
L 188.0, 666.0, -10.0, 186.0, 666.0, -11.0, 0, 0, 0
L 219.0, 666.0, -10.0, 188.0, 666.0, -10.0, 0, 0, 0
L 220.0, 668.0, -11.0, 219.0, 666.0, -10.0, 0, 0, 0
L 221.0, 670.0, -9.0, 220.0, 668.0, -11.0, 0, 0, 0
L 221.0, 674.0, -7.0, 221.0, 670.0, -9.0, 0, 0, 0
L 221.0, 676.0, -7.0, 221.0, 674.0, -7.0, 0, 0, 0
L 222.0, 680.0, -10.0, 221.0, 676.0, -7.0, 0, 0, 0
L 222.0, 681.0, -13.0, 222.0, 680.0, -10.0, 0, 0, 0
L 214.0, 682.0, -11.0, 222.0, 681.0, -13.0, 0, 0, 0
L 212.0, 682.0, -12.0, 214.0, 682.0, -11.0, 0, 0, 0
L 210.0, 682.0, -11.0, 212.0, 682.0, -12.0, 0, 0, 0
L 207.0, 682.0, -10.0, 210.0, 682.0, -11.0, 0, 0, 0
L 204.0, 682.0, -10.0, 207.0, 682.0, -10.0, 0, 0, 0
L 202.0, 682.0, -13.0, 204.0, 682.0, -10.0, 0, 0, 0
L 201.0, 682.0, -12.0, 202.0, 682.0, -13.0, 0, 0, 0
L 198.0, 682.0, -11.0, 201.0, 682.0, -12.0, 0, 0, 0
