P -300, 1700, 0, 0, 0, 0, 2, The_Gladiator_Pits_(RUJD)
P -300, 1900, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -300, 2100, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -300, 2300, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -67.0, 14.0, -25.0, -75.0, 22.0, -15.0, 0, 0, 0
L -75.0, 22.0, -15.0, -84.0, 20.0, -18.0, 0, 0, 0
L -84.0, 20.0, -18.0, -86.0, 20.0, -18.0, 0, 0, 0
L -86.0, 20.0, -18.0, -91.0, 20.0, -19.0, 0, 0, 0
L -91.0, 20.0, -19.0, -94.0, 19.0, -20.0, 0, 0, 0
L -94.0, 19.0, -20.0, -103.0, 19.0, -21.0, 0, 0, 0
L -103.0, 19.0, -21.0, -123.0, 19.0, -24.0, 0, 0, 0
L -123.0, 19.0, -24.0, -139.0, 19.0, -24.0, 0, 0, 0
L -139.0, 19.0, -24.0, -139.0, 17.0, -25.0, 0, 0, 0
L -139.0, 17.0, -25.0, -139.0, 3.0, -31.0, 0, 0, 0
L -139.0, 3.0, -31.0, -186.0, 3.0, -31.0, 0, 0, 0
L -248.0, 586.0, -20.0, -249.0, 626.0, -20.0, 0, 0, 0
L -249.0, 626.0, -20.0, -250.0, 627.0, -20.0, 0, 0, 0
L -250.0, 627.0, -20.0, -252.0, 627.0, -19.0, 0, 0, 0
L -252.0, 627.0, -19.0, -254.0, 628.0, -18.0, 0, 0, 0
L -254.0, 628.0, -18.0, -255.0, 629.0, -18.0, 0, 0, 0
L -255.0, 629.0, -18.0, -256.0, 630.0, -17.0, 0, 0, 0
L -256.0, 630.0, -17.0, -257.0, 631.0, -17.0, 0, 0, 0
L -257.0, 631.0, -17.0, -258.0, 631.0, -17.0, 0, 0, 0
L -258.0, 631.0, -17.0, -259.0, 632.0, -17.0, 0, 0, 0
L -259.0, 632.0, -17.0, -261.0, 634.0, -16.0, 0, 0, 0
L -261.0, 634.0, -16.0, -261.0, 650.0, -16.0, 0, 0, 0
L -261.0, 650.0, -16.0, -260.0, 652.0, -17.0, 0, 0, 0
L -260.0, 652.0, -17.0, -260.0, 653.0, -17.0, 0, 0, 0
L -260.0, 653.0, -17.0, -259.0, 655.0, -17.0, 0, 0, 0
L -259.0, 655.0, -17.0, -259.0, 657.0, -17.0, 0, 0, 0
L -259.0, 657.0, -17.0, -257.0, 658.0, -17.0, 0, 0, 0
L -257.0, 658.0, -17.0, -254.0, 660.0, -17.0, 0, 0, 0
L -254.0, 660.0, -17.0, -252.0, 660.0, -17.0, 0, 0, 0
L -252.0, 660.0, -17.0, -250.0, 660.0, -18.0, 0, 0, 0
L -250.0, 660.0, -18.0, -247.0, 661.0, -18.0, 0, 0, 0
L -247.0, 661.0, -18.0, -246.0, 663.0, -18.0, 0, 0, 0
L -246.0, 663.0, -18.0, -246.0, 665.0, -18.0, 0, 0, 0
L -246.0, 665.0, -18.0, -245.0, 666.0, -18.0, 0, 0, 0
L -245.0, 666.0, -18.0, -244.0, 668.0, -18.0, 0, 0, 0
L -244.0, 668.0, -18.0, -244.0, 670.0, -18.0, 0, 0, 0
L -244.0, 670.0, -18.0, -243.0, 672.0, -18.0, 0, 0, 0
L -243.0, 672.0, -18.0, -243.0, 679.0, -18.0, 0, 0, 0
L -243.0, 679.0, -18.0, -244.0, 681.0, -18.0, 0, 0, 0
L -244.0, 681.0, -18.0, -246.0, 683.0, -18.0, 0, 0, 0
L -246.0, 683.0, -18.0, -253.0, 689.0, -15.0, 0, 0, 0
L -253.0, 689.0, -15.0, -255.0, 690.0, -13.0, 0, 0, 0
L -255.0, 690.0, -13.0, -259.0, 698.0, -10.0, 0, 0, 0
L -259.0, 698.0, -10.0, -260.0, 699.0, -10.0, 0, 0, 0
L -260.0, 699.0, -10.0, -265.0, 712.0, -12.0, 0, 0, 0
L -265.0, 712.0, -12.0, -265.0, 713.0, -11.0, 0, 0, 0
L -265.0, 713.0, -11.0, -266.0, 715.0, -10.0, 0, 0, 0
L -266.0, 715.0, -10.0, -267.0, 717.0, -10.0, 0, 0, 0
L -267.0, 717.0, -10.0, -267.0, 718.0, -10.0, 0, 0, 0
L -267.0, 718.0, -10.0, -268.0, 720.0, -10.0, 0, 0, 0
L -268.0, 720.0, -10.0, -270.0, 722.0, -10.0, 0, 0, 0
L -270.0, 722.0, -10.0, -270.0, 724.0, -10.0, 0, 0, 0
L -270.0, 724.0, -10.0, -271.0, 725.0, -10.0, 0, 0, 0
L -271.0, 725.0, -10.0, -271.0, 727.0, -10.0, 0, 0, 0
L -271.0, 727.0, -10.0, -273.0, 731.0, -10.0, 0, 0, 0
L -273.0, 731.0, -10.0, -274.0, 732.0, -10.0, 0, 0, 0
L -274.0, 732.0, -10.0, -276.0, 737.0, -12.0, 0, 0, 0
L -276.0, 737.0, -12.0, -278.0, 742.0, -13.0, 0, 0, 0
L -278.0, 742.0, -13.0, -278.0, 745.0, -13.0, 0, 0, 0
L -278.0, 745.0, -13.0, -279.0, 746.0, -13.0, 0, 0, 0
L -279.0, 746.0, -13.0, -282.0, 749.0, -14.0, 0, 0, 0
L -282.0, 749.0, -14.0, -283.0, 749.0, -14.0, 0, 0, 0
L -283.0, 749.0, -14.0, -293.0, 749.0, -16.0, 0, 0, 0
L -293.0, 749.0, -16.0, -294.0, 749.0, -16.0, 0, 0, 0
L -294.0, 749.0, -16.0, -296.0, 748.0, -16.0, 0, 0, 0
L -296.0, 748.0, -16.0, -297.0, 747.0, -15.0, 0, 0, 0
L -297.0, 747.0, -15.0, -300.0, 745.0, -15.0, 0, 0, 0
