P -200, 1700, 0, 0, 0, 0, 2, The_Fortified_Lair_of_the_Taskmasters_(RUJF)
P -200, 1900, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, 2100, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -200, 2300, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -953.0, 44.0, -601.0, -954.0, 43.0, -601.0, 0, 0, 0
L -952.0, 118.0, -596.0, -953.0, 44.0, -601.0, 0, 0, 0
L -952.0, 167.0, -572.0, -952.0, 118.0, -596.0, 0, 0, 0
L -1029.0, 182.0, -561.0, -1035.0, 176.0, -560.0, 0, 0, 0
L -1028.0, 183.0, -561.0, -1029.0, 182.0, -561.0, 0, 0, 0
L -1028.0, 184.0, -561.0, -1028.0, 183.0, -561.0, 0, 0, 0
L -1025.0, 190.0, -561.0, -1027.0, 186.0, -561.0, 0, 0, 0
L -1024.0, 191.0, -562.0, -1025.0, 190.0, -561.0, 0, 0, 0
L -1022.0, 195.0, -562.0, -1024.0, 191.0, -562.0, 0, 0, 0
L -1020.0, 196.0, -562.0, -1022.0, 195.0, -562.0, 0, 0, 0
L -1012.0, 192.0, -562.0, -1020.0, 196.0, -562.0, 0, 0, 0
L -1011.0, 191.0, -562.0, -1012.0, 192.0, -562.0, 0, 0, 0
L -988.0, 184.0, -562.0, -1011.0, 191.0, -562.0, 0, 0, 0
L -986.0, 184.0, -562.0, -988.0, 184.0, -562.0, 0, 0, 0
L -985.0, 185.0, -562.0, -986.0, 184.0, -562.0, 0, 0, 0
L -980.0, 184.0, -562.0, -985.0, 185.0, -562.0, 0, 0, 0
L -979.0, 183.0, -562.0, -980.0, 184.0, -562.0, 0, 0, 0
L -979.0, 172.0, -564.0, -979.0, 183.0, -562.0, 0, 0, 0
L -979.0, 171.0, -566.0, -979.0, 172.0, -564.0, 0, 0, 0
L -981.0, 170.0, -566.0, -979.0, 171.0, -566.0, 0, 0, 0
L -981.0, 111.0, -599.0, -981.0, 170.0, -566.0, 0, 0, 0
L -953.0, 179.0, -564.0, -952.0, 112.0, -599.0, 0, 0, 0
L -952.0, 181.0, -562.0, -953.0, 179.0, -564.0, 0, 0, 0
L -957.0, 186.0, -561.0, -952.0, 181.0, -562.0, 0, 0, 0
L -958.0, 187.0, -562.0, -957.0, 186.0, -561.0, 0, 0, 0
L -959.0, 188.0, -562.0, -958.0, 187.0, -562.0, 0, 0, 0
L -960.0, 190.0, -562.0, -959.0, 188.0, -562.0, 0, 0, 0
L -960.0, 192.0, -562.0, -960.0, 190.0, -562.0, 0, 0, 0
L -954.0, 197.0, -562.0, -960.0, 192.0, -562.0, 0, 0, 0
L -953.0, 198.0, -562.0, -954.0, 197.0, -562.0, 0, 0, 0
L -943.0, 226.0, -562.0, -953.0, 198.0, -562.0, 0, 0, 0
L -953.0, 256.0, -562.0, -943.0, 226.0, -562.0, 0, 0, 0
L -986.0, 268.0, -562.0, -953.0, 256.0, -562.0, 0, 0, 0
