P 0, 1600, 0, 0, 0, 0, 2, The_Blazing_Forge_(RUJH)
P 0, 1800, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 0, 2000, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 0, 2200, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 592.0, -742.0, -73.0, 597.0, -742.0, -73.0, 0, 0, 0
L 590.0, -742.0, -69.0, 592.0, -742.0, -73.0, 0, 0, 0
L 590.0, -737.0, -68.0, 590.0, -742.0, -69.0, 0, 0, 0
L 590.0, -735.0, -68.0, 590.0, -737.0, -68.0, 0, 0, 0
L 589.0, -734.0, -73.0, 590.0, -735.0, -68.0, 0, 0, 0
L 580.0, -733.0, -73.0, 589.0, -734.0, -73.0, 0, 0, 0
L 827.0, -772.0, -67.0, 811.0, -787.0, -72.0, 0, 0, 0
L 828.0, -771.0, -67.0, 827.0, -772.0, -67.0, 0, 0, 0
L 830.0, -767.0, -67.0, 828.0, -771.0, -67.0, 0, 0, 0
L 830.0, -751.0, -68.0, 830.0, -767.0, -67.0, 0, 0, 0
L 830.0, -749.0, -68.0, 830.0, -751.0, -68.0, 0, 0, 0
L 829.0, -744.0, -67.0, 830.0, -749.0, -68.0, 0, 0, 0
L 829.0, -740.0, -67.0, 829.0, -744.0, -67.0, 0, 0, 0
L 828.0, -739.0, -67.0, 829.0, -740.0, -67.0, 0, 0, 0
L 828.0, -737.0, -67.0, 828.0, -739.0, -67.0, 0, 0, 0
L 813.0, -703.0, -67.0, 828.0, -737.0, -67.0, 0, 0, 0
L 813.0, -702.0, -67.0, 813.0, -703.0, -67.0, 0, 0, 0
L 812.0, -700.0, -67.0, 813.0, -702.0, -67.0, 0, 0, 0
L 828.0, -662.0, -67.0, 812.0, -700.0, -67.0, 0, 0, 0
L 829.0, -659.0, -67.0, 828.0, -662.0, -67.0, 0, 0, 0
L 827.0, -655.0, -69.0, 829.0, -659.0, -67.0, 0, 0, 0
L 826.0, -653.0, -69.0, 827.0, -655.0, -69.0, 0, 0, 0
L 827.0, -652.0, -69.0, 826.0, -653.0, -69.0, 0, 0, 0
L 829.0, -651.0, -73.0, 827.0, -652.0, -69.0, 0, 0, 0
L 830.0, -650.0, -73.0, 829.0, -651.0, -73.0, 0, 0, 0
L 837.0, -649.0, -74.0, 830.0, -650.0, -73.0, 0, 0, 0
L 839.0, -649.0, -74.0, 837.0, -649.0, -74.0, 0, 0, 0
L 839.0, -635.0, -67.0, 839.0, -649.0, -74.0, 0, 0, 0
L 832.0, -635.0, -67.0, 839.0, -635.0, -67.0, 0, 0, 0
L 830.0, -634.0, -68.0, 832.0, -635.0, -67.0, 0, 0, 0
L 829.0, -633.0, -65.0, 830.0, -634.0, -68.0, 0, 0, 0
L 829.0, -631.0, -64.0, 829.0, -633.0, -65.0, 0, 0, 0
L 830.0, -629.0, -62.0, 829.0, -631.0, -64.0, 0, 0, 0
L 831.0, -628.0, -61.0, 830.0, -629.0, -62.0, 0, 0, 0
L 834.0, -620.0, -59.0, 831.0, -628.0, -61.0, 0, 0, 0
L 834.0, -619.0, -59.0, 834.0, -620.0, -59.0, 0, 0, 0
L 835.0, -612.0, -58.0, 834.0, -619.0, -59.0, 0, 0, 0
L 831.0, -597.0, -60.0, 835.0, -612.0, -58.0, 0, 0, 0
L 831.0, -595.0, -60.0, 831.0, -597.0, -60.0, 0, 0, 0
L 830.0, -592.0, -60.0, 831.0, -595.0, -60.0, 0, 0, 0
L 829.0, -590.0, -59.0, 830.0, -592.0, -60.0, 0, 0, 0
L 829.0, -589.0, -59.0, 829.0, -590.0, -59.0, 0, 0, 0
L 827.0, -585.0, -59.0, 829.0, -589.0, -59.0, 0, 0, 0
L 816.0, -570.0, -59.0, 827.0, -585.0, -59.0, 0, 0, 0
L 807.0, -561.0, -59.0, 816.0, -570.0, -59.0, 0, 0, 0
L 803.0, -558.0, -59.0, 807.0, -561.0, -59.0, 0, 0, 0
L 802.0, -556.0, -58.0, 803.0, -558.0, -59.0, 0, 0, 0
L 784.0, -556.0, -58.0, 802.0, -556.0, -58.0, 0, 0, 0
L 779.0, -558.0, -59.0, 784.0, -556.0, -58.0, 0, 0, 0
L 778.0, -558.0, -59.0, 779.0, -558.0, -59.0, 0, 0, 0
L 776.0, -559.0, -59.0, 778.0, -558.0, -59.0, 0, 0, 0
L 775.0, -561.0, -59.0, 776.0, -559.0, -59.0, 0, 0, 0
L 746.0, -588.0, -59.0, 775.0, -561.0, -59.0, 0, 0, 0
L 745.0, -590.0, -59.0, 746.0, -588.0, -59.0, 0, 0, 0
L 739.0, -596.0, -59.0, 745.0, -590.0, -59.0, 0, 0, 0
L 737.0, -597.0, -58.0, 739.0, -596.0, -59.0, 0, 0, 0
L 736.0, -598.0, -58.0, 737.0, -597.0, -58.0, 0, 0, 0
L 731.0, -598.0, -58.0, 736.0, -598.0, -58.0, 0, 0, 0
L 728.0, -599.0, -59.0, 731.0, -598.0, -58.0, 0, 0, 0
L 723.0, -601.0, -60.0, 728.0, -599.0, -59.0, 0, 0, 0
L 714.0, -603.0, -64.0, 723.0, -601.0, -60.0, 0, 0, 0
L 712.0, -603.0, -65.0, 714.0, -603.0, -64.0, 0, 0, 0
L 710.0, -603.0, -65.0, 712.0, -603.0, -65.0, 0, 0, 0
L 700.0, -604.0, -67.0, 710.0, -603.0, -65.0, 0, 0, 0
L 699.0, -604.0, -68.0, 700.0, -604.0, -67.0, 0, 0, 0
L 674.0, -572.0, -68.0, 699.0, -604.0, -68.0, 0, 0, 0
L 668.0, -567.0, -69.0, 674.0, -572.0, -68.0, 0, 0, 0
L 667.0, -566.0, -70.0, 668.0, -567.0, -69.0, 0, 0, 0
