P 400, 1300, 0, 0, 0, 0, 2, The_Barracks_of_War_(RUJI)
P 400, 1500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 400, 1700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 400, 1900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 1081.0, 286.0, 33.0, 1081.0, 257.0, 32.0, 0, 0, 0
L 1080.0, 288.0, 33.0, 1081.0, 286.0, 33.0, 0, 0, 0
L 1078.0, 291.0, 34.0, 1080.0, 288.0, 33.0, 0, 0, 0
L 1082.0, 297.0, 40.0, 1078.0, 291.0, 34.0, 0, 0, 0
L 1083.0, 299.0, 40.0, 1082.0, 297.0, 40.0, 0, 0, 0
L 1085.0, 301.0, 40.0, 1083.0, 299.0, 40.0, 0, 0, 0
L 1087.0, 301.0, 40.0, 1085.0, 301.0, 40.0, 0, 0, 0
L 1089.0, 301.0, 39.0, 1087.0, 301.0, 40.0, 0, 0, 0
L 1094.0, 305.0, 38.0, 1089.0, 301.0, 39.0, 0, 0, 0
L 1096.0, 307.0, 37.0, 1094.0, 305.0, 38.0, 0, 0, 0
L 1097.0, 309.0, 37.0, 1096.0, 307.0, 37.0, 0, 0, 0
L 1097.0, 310.0, 38.0, 1097.0, 309.0, 37.0, 0, 0, 0
L 1103.0, 318.0, 46.0, 1097.0, 310.0, 38.0, 0, 0, 0
L 1104.0, 319.0, 46.0, 1103.0, 318.0, 46.0, 0, 0, 0
L 1105.0, 320.0, 47.0, 1104.0, 319.0, 46.0, 0, 0, 0
L 1106.0, 321.0, 47.0, 1105.0, 320.0, 47.0, 0, 0, 0
L 1107.0, 322.0, 48.0, 1106.0, 321.0, 47.0, 0, 0, 0
L 1107.0, 325.0, 48.0, 1107.0, 322.0, 48.0, 0, 0, 0
L 1108.0, 329.0, 48.0, 1107.0, 325.0, 48.0, 0, 0, 0
L 1109.0, 337.0, 46.0, 1108.0, 329.0, 48.0, 0, 0, 0
L 1113.0, 337.0, 46.0, 1109.0, 337.0, 46.0, 0, 0, 0
L 1123.0, 338.0, 43.0, 1113.0, 337.0, 46.0, 0, 0, 0
L 1124.0, 338.0, 39.0, 1123.0, 338.0, 43.0, 0, 0, 0
L 1125.0, 340.0, 38.0, 1124.0, 338.0, 39.0, 0, 0, 0
L 1126.0, 343.0, 37.0, 1125.0, 340.0, 38.0, 0, 0, 0
L 1127.0, 345.0, 36.0, 1126.0, 343.0, 37.0, 0, 0, 0
L 1128.0, 348.0, 35.0, 1127.0, 345.0, 36.0, 0, 0, 0
L 1131.0, 364.0, 35.0, 1128.0, 348.0, 35.0, 0, 0, 0
L 1133.0, 374.0, 38.0, 1131.0, 364.0, 35.0, 0, 0, 0
L 1135.0, 376.0, 36.0, 1133.0, 374.0, 38.0, 0, 0, 0
L 1136.0, 378.0, 35.0, 1135.0, 376.0, 36.0, 0, 0, 0
L 1136.0, 383.0, 35.0, 1136.0, 378.0, 35.0, 0, 0, 0
L 1136.0, 385.0, 36.0, 1136.0, 383.0, 35.0, 0, 0, 0
L 1135.0, 386.0, 37.0, 1136.0, 385.0, 36.0, 0, 0, 0
L 1135.0, 387.0, 38.0, 1135.0, 386.0, 37.0, 0, 0, 0
L 1134.0, 389.0, 39.0, 1135.0, 387.0, 38.0, 0, 0, 0
L 1133.0, 392.0, 40.0, 1134.0, 389.0, 39.0, 0, 0, 0
L 1131.0, 395.0, 39.0, 1133.0, 392.0, 40.0, 0, 0, 0
L 1129.0, 399.0, 36.0, 1131.0, 395.0, 39.0, 0, 0, 0
L 1128.0, 400.0, 35.0, 1129.0, 399.0, 36.0, 0, 0, 0
L 1125.0, 403.0, 35.0, 1128.0, 400.0, 35.0, 0, 0, 0
L 1124.0, 404.0, 36.0, 1125.0, 403.0, 35.0, 0, 0, 0
L 1123.0, 406.0, 36.0, 1124.0, 404.0, 36.0, 0, 0, 0
L 1122.0, 407.0, 35.0, 1123.0, 406.0, 36.0, 0, 0, 0
L 1113.0, 414.0, 35.0, 1122.0, 407.0, 35.0, 0, 0, 0
L 1110.0, 416.0, 35.0, 1113.0, 414.0, 35.0, 0, 0, 0
L 1108.0, 418.0, 35.0, 1110.0, 416.0, 35.0, 0, 0, 0
L 1104.0, 421.0, 35.0, 1108.0, 418.0, 35.0, 0, 0, 0
L 1103.0, 422.0, 37.0, 1104.0, 421.0, 35.0, 0, 0, 0
L 1103.0, 424.0, 40.0, 1103.0, 422.0, 37.0, 0, 0, 0
L 1100.0, 426.0, 43.0, 1103.0, 424.0, 40.0, 0, 0, 0
L 1098.0, 427.0, 43.0, 1100.0, 426.0, 43.0, 0, 0, 0
L 1097.0, 428.0, 44.0, 1098.0, 427.0, 43.0, 0, 0, 0
L 1087.0, 432.0, 38.0, 1097.0, 428.0, 44.0, 0, 0, 0
L 1085.0, 434.0, 35.0, 1087.0, 432.0, 38.0, 0, 0, 0
L 1083.0, 436.0, 35.0, 1085.0, 434.0, 35.0, 0, 0, 0
L 1082.0, 440.0, 35.0, 1083.0, 436.0, 35.0, 0, 0, 0
L 1082.0, 441.0, 35.0, 1082.0, 440.0, 35.0, 0, 0, 0
L 1087.0, 448.0, 35.0, 1082.0, 441.0, 35.0, 0, 0, 0
L 1088.0, 449.0, 36.0, 1087.0, 448.0, 35.0, 0, 0, 0
L 1090.0, 450.0, 40.0, 1088.0, 449.0, 36.0, 0, 0, 0
L 1086.0, 455.0, 44.0, 1090.0, 450.0, 40.0, 0, 0, 0
L 1085.0, 457.0, 44.0, 1086.0, 455.0, 44.0, 0, 0, 0
L 1077.0, 468.0, 43.0, 1085.0, 457.0, 44.0, 0, 0, 0
L 1076.0, 470.0, 41.0, 1077.0, 468.0, 43.0, 0, 0, 0
L 1073.0, 471.0, 36.0, 1076.0, 470.0, 41.0, 0, 0, 0
L 1070.0, 473.0, 35.0, 1073.0, 471.0, 36.0, 0, 0, 0
