P -100, 400, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -100, 600, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -100, 800, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -343.0, -1313.0, -112.0, -343.0, -1336.0, -112.0, 0, 0, 0
L -300.0, -1253.0, -112.0, -343.0, -1313.0, -112.0, 0, 0, 0
L -232.0, -1226.0, -109.0, -300.0, -1253.0, -112.0, 0, 0, 0
L -159.0, -1240.0, -107.0, -232.0, -1226.0, -109.0, 0, 0, 0
L -139.0, -1257.0, -106.0, -159.0, -1240.0, -107.0, 0, 0, 0
L -115.0, -1277.0, -104.0, -139.0, -1257.0, -106.0, 0, 0, 0
L -96.0, -1329.0, -103.0, -115.0, -1277.0, -104.0, 0, 0, 0
L -96.0, -1338.0, -102.0, -96.0, -1329.0, -103.0, 0, 0, 0
L -96.0, -1339.0, -102.0, -96.0, -1338.0, -102.0, 0, 0, 0
L -93.0, -1339.0, -101.0, -96.0, -1339.0, -102.0, 0, 0, 0
L -83.0, -1339.0, -101.0, -93.0, -1339.0, -101.0, 0, 0, 0
L -63.0, -1339.0, -103.0, -83.0, -1339.0, -101.0, 0, 0, 0
L -44.0, -1339.0, -103.0, -63.0, -1339.0, -103.0, 0, 0, 0
L -35.0, -1340.0, -102.0, -44.0, -1339.0, -103.0, 0, 0, 0
L -30.0, -1340.0, -104.0, -35.0, -1340.0, -102.0, 0, 0, 0
L -26.0, -1341.0, -106.0, -30.0, -1340.0, -104.0, 0, 0, 0
L -17.0, -1343.0, -107.0, -26.0, -1341.0, -106.0, 0, 0, 0
L -15.0, -1343.0, -107.0, -17.0, -1343.0, -107.0, 0, 0, 0
L -14.0, -1343.0, -108.0, -15.0, -1343.0, -107.0, 0, 0, 0
L -12.0, -1342.0, -107.0, -14.0, -1343.0, -108.0, 0, 0, 0
L -11.0, -1340.0, -108.0, -12.0, -1342.0, -107.0, 0, 0, 0
L -10.0, -1339.0, -108.0, -11.0, -1340.0, -108.0, 0, 0, 0
L -10.0, -1337.0, -108.0, -10.0, -1339.0, -108.0, 0, 0, 0
L -11.0, -1335.0, -108.0, -10.0, -1337.0, -108.0, 0, 0, 0
L -12.0, -1334.0, -108.0, -11.0, -1335.0, -108.0, 0, 0, 0
L -14.0, -1334.0, -108.0, -12.0, -1334.0, -108.0, 0, 0, 0
L -14.0, -1293.0, -107.0, -14.0, -1334.0, -108.0, 0, 0, 0
L 2.0, -1275.0, -106.0, -14.0, -1293.0, -107.0, 0, 0, 0
L 21.0, -1275.0, -105.0, 2.0, -1275.0, -106.0, 0, 0, 0
L 24.0, -1277.0, -105.0, 21.0, -1275.0, -105.0, 0, 0, 0
L 25.0, -1278.0, -105.0, 24.0, -1277.0, -105.0, 0, 0, 0
L 27.0, -1279.0, -105.0, 25.0, -1278.0, -105.0, 0, 0, 0
L 29.0, -1279.0, -104.0, 27.0, -1279.0, -105.0, 0, 0, 0
L 30.0, -1277.0, -104.0, 29.0, -1279.0, -104.0, 0, 0, 0
L 31.0, -1275.0, -106.0, 30.0, -1277.0, -104.0, 0, 0, 0
L 31.0, -1270.0, -107.0, 31.0, -1275.0, -106.0, 0, 0, 0
L 31.0, -1256.0, -105.0, 31.0, -1270.0, -107.0, 0, 0, 0
L 31.0, -1255.0, -105.0, 31.0, -1256.0, -105.0, 0, 0, 0
L 29.0, -1253.0, -107.0, 31.0, -1255.0, -105.0, 0, 0, 0
L 29.0, -1245.0, -110.0, 29.0, -1253.0, -107.0, 0, 0, 0
L 29.0, -1243.0, -110.0, 29.0, -1245.0, -110.0, 0, 0, 0
L 28.0, -1199.0, -105.0, 29.0, -1243.0, -110.0, 0, 0, 0
L 28.0, -1198.0, -105.0, 28.0, -1199.0, -105.0, 0, 0, 0
L 27.0, -1196.0, -106.0, 28.0, -1198.0, -105.0, 0, 0, 0
L 25.0, -1196.0, -103.0, 27.0, -1196.0, -106.0, 0, 0, 0
L 24.0, -1182.0, -99.0, 25.0, -1196.0, -103.0, 0, 0, 0
L 25.0, -1077.0, -60.0, 24.0, -1182.0, -99.0, 0, 0, 0
L 24.0, -1035.0, -44.0, 25.0, -1077.0, -60.0, 0, 0, 0
L 24.0, -1034.0, -43.0, 24.0, -1035.0, -44.0, 0, 0, 0
L 24.0, -994.0, -28.0, 24.0, -1034.0, -43.0, 0, 0, 0
L 24.0, -992.0, -27.0, 24.0, -994.0, -28.0, 0, 0, 0
L 23.0, -946.0, -16.0, 24.0, -992.0, -27.0, 0, 0, 0
L 24.0, -942.0, -16.0, 23.0, -946.0, -16.0, 0, 0, 0
L 24.0, -941.0, -17.0, 24.0, -942.0, -16.0, 0, 0, 0
L 27.0, -940.0, -19.0, 24.0, -941.0, -17.0, 0, 0, 0
L 28.0, -936.0, -19.0, 27.0, -940.0, -19.0, 0, 0, 0
L 29.0, -935.0, -20.0, 28.0, -936.0, -19.0, 0, 0, 0
L 30.0, -897.0, -20.0, 29.0, -935.0, -20.0, 0, 0, 0
