P 300, 2000, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 300, 2200, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 300, 2400, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -170.0, -202.0, -9.0, 186.0, -202.0, -9.0, 0, 0, 0
L 186.0, -202.0, -9.0, 186.0, -11.0, -9.0, 0, 0, 0
L 186.0, -11.0, -9.0, 196.0, -10.0, -9.0, 0, 0, 0
L 196.0, -10.0, -9.0, 196.0, 2.0, -9.0, 0, 0, 0
L 196.0, 2.0, -9.0, 208.0, -0.0, -3.0, 0, 0, 0
L 208.0, -0.0, -3.0, 208.0, -8.0, -3.0, 0, 0, 0
L 208.0, -8.0, -3.0, 318.0, -8.0, -3.0, 0, 0, 0
L 318.0, -8.0, -3.0, 321.0, -11.0, -3.0, 0, 0, 0
L 321.0, -11.0, -3.0, 321.0, -170.0, -3.0, 0, 0, 0
L 321.0, -170.0, -3.0, 571.0, -170.0, -3.0, 0, 0, 0
L 571.0, -170.0, -3.0, 571.0, -162.0, -4.0, 0, 0, 0
L 571.0, -162.0, -4.0, 584.0, -160.0, -9.0, 0, 0, 0
L 584.0, -160.0, -9.0, 584.0, -172.0, -9.0, 0, 0, 0
L 584.0, -172.0, -9.0, 594.0, -172.0, -13.0, 0, 0, 0
L 594.0, -172.0, -13.0, 595.0, -281.0, -9.0, 0, 0, 0
L 595.0, -281.0, -9.0, 840.0, -281.0, -9.0, 0, 0, 0
L 840.0, -281.0, -9.0, 840.0, -173.0, -9.0, 0, 0, 0
L 840.0, -173.0, -9.0, 852.0, -172.0, -9.0, 0, 0, 0
L 852.0, -172.0, -9.0, 852.0, -160.0, -9.0, 0, 0, 0
L 852.0, -160.0, -9.0, 864.0, -162.0, -4.0, 0, 0, 0
L 864.0, -162.0, -4.0, 864.0, -170.0, -3.0, 0, 0, 0
L 864.0, -170.0, -3.0, 1066.0, -170.0, -3.0, 0, 0, 0
L 1066.0, -170.0, -3.0, 1066.0, 36.0, -3.0, 0, 0, 0
L 1066.0, 36.0, -3.0, 1058.0, 36.0, -4.0, 0, 0, 0
L 1058.0, 36.0, -4.0, 1056.0, 49.0, -9.0, 0, 0, 0
L 1056.0, 49.0, -9.0, 1068.0, 49.0, -9.0, 0, 0, 0
L 1068.0, 49.0, -9.0, 1068.0, 59.0, -13.0, 0, 0, 0
L 1068.0, 59.0, -13.0, 1157.0, 60.0, -9.0, 0, 0, 0
L 1157.0, 60.0, -9.0, 1158.0, 149.0, -13.0, 0, 0, 0
L 1158.0, 149.0, -13.0, 1169.0, 149.0, -9.0, 0, 0, 0
L 1169.0, 149.0, -9.0, 1170.0, 163.0, -9.0, 0, 0, 0
L 1170.0, 163.0, -9.0, 1209.0, 163.0, -8.0, 0, 0, 0
L 1209.0, 163.0, -8.0, 1210.0, 151.0, -4.0, 0, 0, 0
L 1210.0, 151.0, -4.0, 1301.0, 151.0, -4.0, 0, 0, 0
L 1301.0, 151.0, -4.0, 1303.0, 149.0, -4.0, 0, 0, 0
L 1303.0, 149.0, -4.0, 1304.0, 57.0, -3.0, 0, 0, 0
L 1304.0, 57.0, -3.0, 1312.0, 57.0, -3.0, 0, 0, 0
L 1312.0, 57.0, -3.0, 1318.0, 58.0, -2.0, 0, 0, 0
L 1318.0, 58.0, -2.0, 1318.0, -24.0, -35.0, 0, 0, 0
L 1318.0, -24.0, -35.0, 1310.0, -22.0, -35.0, 0, 0, 0
L 1310.0, -22.0, -35.0, 1289.0, -22.0, -35.0, 0, 0, 0
L 1289.0, -22.0, -35.0, 1273.0, -40.0, -35.0, 0, 0, 0
L 1273.0, -40.0, -35.0, 1273.0, -133.0, -35.0, 0, 0, 0
L 1273.0, -133.0, -35.0, 1391.0, -133.0, -35.0, 0, 0, 0
L 1391.0, -133.0, -35.0, 1391.0, -40.0, -35.0, 0, 0, 0
L 1391.0, -40.0, -35.0, 1372.0, -21.0, -35.0, 0, 0, 0
L 1372.0, -21.0, -35.0, 1355.0, -21.0, -35.0, 0, 0, 0
L 1355.0, -21.0, -35.0, 1348.0, -25.0, -35.0, 0, 0, 0
L 1348.0, -25.0, -35.0, 1348.0, 57.0, -1.0, 0, 0, 0
L 1348.0, 57.0, -1.0, 1363.0, 63.0, -2.0, 0, 0, 0
L 1363.0, 63.0, -2.0, 1363.0, 210.0, -2.0, 0, 0, 0
L 1363.0, 210.0, -2.0, 1216.0, 210.0, -2.0, 0, 0, 0
L 1216.0, 210.0, -2.0, 1209.0, 198.0, -6.0, 0, 0, 0
L 1209.0, 198.0, -6.0, 1170.0, 197.0, -7.0, 0, 0, 0
L 1170.0, 197.0, -7.0, 1168.0, 212.0, -7.0, 0, 0, 0
L 1168.0, 212.0, -7.0, 1158.0, 212.0, -11.0, 0, 0, 0
L 1158.0, 212.0, -11.0, 1156.0, 311.0, -7.0, 0, 0, 0
L 1156.0, 311.0, -7.0, 1069.0, 311.0, -7.0, 0, 0, 0
L 1069.0, 311.0, -7.0, 1067.0, 323.0, -7.0, 0, 0, 0
L 1067.0, 323.0, -7.0, 1053.0, 324.0, -7.0, 0, 0, 0
L 1053.0, 324.0, -7.0, 1050.0, 639.0, -75.0, 0, 0, 0
L 1050.0, 639.0, -75.0, 1067.0, 637.0, -75.0, 0, 0, 0
L 1067.0, 637.0, -75.0, 1067.0, 646.0, -79.0, 0, 0, 0
L 1067.0, 646.0, -79.0, 1156.0, 648.0, -75.0, 0, 0, 0
L 1156.0, 648.0, -75.0, 1156.0, 898.0, -75.0, 0, 0, 0
L 1156.0, 898.0, -75.0, 942.0, 898.0, -75.0, 0, 0, 0
L 942.0, 898.0, -75.0, 942.0, 648.0, -75.0, 0, 0, 0
L 942.0, 648.0, -75.0, 1005.0, 646.0, -79.0, 0, 0, 0
L 1005.0, 646.0, -79.0, 1005.0, 636.0, -75.0, 0, 0, 0
L 1005.0, 636.0, -75.0, 1013.0, 636.0, -75.0, 0, 0, 0
L 1013.0, 636.0, -75.0, 1022.0, 638.0, -75.0, 0, 0, 0
L 1022.0, 638.0, -75.0, 1019.0, 326.0, -7.0, 0, 0, 0
L 1019.0, 326.0, -7.0, 1005.0, 323.0, -7.0, 0, 0, 0
L 1005.0, 323.0, -7.0, 1005.0, 313.0, -11.0, 0, 0, 0
L 1005.0, 313.0, -11.0, 942.0, 311.0, -7.0, 0, 0, 0
L 942.0, 311.0, -7.0, 942.0, 61.0, -7.0, 0, 0, 0
L 942.0, 61.0, -7.0, 1005.0, 59.0, -11.0, 0, 0, 0
L 1005.0, 59.0, -11.0, 1005.0, 49.0, -7.0, 0, 0, 0
L 1005.0, 49.0, -7.0, 1022.0, 49.0, -7.0, 0, 0, 0
L 1022.0, 49.0, -7.0, 1019.0, 31.0, -5.0, 0, 0, 0
L 1019.0, 31.0, -5.0, 1007.0, 29.0, -1.0, 0, 0, 0
L 1007.0, 29.0, -1.0, 1005.0, -110.0, -1.0, 0, 0, 0
L 1005.0, -110.0, -1.0, 865.0, -111.0, -1.0, 0, 0, 0
L 865.0, -111.0, -1.0, 864.0, -118.0, -4.0, 0, 0, 0
L 864.0, -118.0, -4.0, 852.0, -120.0, -9.0, 0, 0, 0
L 852.0, -120.0, -9.0, 852.0, -108.0, -9.0, 0, 0, 0
L 852.0, -108.0, -9.0, 841.0, -108.0, -13.0, 0, 0, 0
L 841.0, -108.0, -13.0, 840.0, -28.0, -9.0, 0, 0, 0
L 840.0, -28.0, -9.0, 595.0, -28.0, -9.0, 0, 0, 0
L 595.0, -28.0, -9.0, 594.0, -108.0, -13.0, 0, 0, 0
L 594.0, -108.0, -13.0, 583.0, -108.0, -9.0, 0, 0, 0
L 583.0, -108.0, -9.0, 583.0, -120.0, -9.0, 0, 0, 0
L 583.0, -120.0, -9.0, 571.0, -118.0, -4.0, 0, 0, 0
L 571.0, -118.0, -4.0, 571.0, -110.0, -3.0, 0, 0, 0
L 571.0, -110.0, -3.0, 384.0, -110.0, -3.0, 0, 0, 0
L 384.0, -110.0, -3.0, 381.0, -107.0, -3.0, 0, 0, 0
L 381.0, -107.0, -3.0, 381.0, 52.0, -3.0, 0, 0, 0
L 381.0, 52.0, -3.0, 208.0, 52.0, -3.0, 0, 0, 0
L 208.0, 52.0, -3.0, 208.0, 44.0, -4.0, 0, 0, 0
L 208.0, 44.0, -4.0, 196.0, 42.0, -9.0, 0, 0, 0
L 196.0, 42.0, -9.0, 196.0, 54.0, -9.0, 0, 0, 0
L 196.0, 54.0, -9.0, 187.0, 54.0, -13.0, 0, 0, 0
L 187.0, 54.0, -13.0, 186.0, 200.0, -9.0, 0, 0, 0
L 186.0, 200.0, -9.0, -170.0, 200.0, -9.0, 0, 0, 0
L -170.0, 200.0, -9.0, -170.0, -202.0, -9.0, 0, 0, 0
L 1052.0, 742.0, -86.0, 1072.0, 749.0, -86.0, 150, 150, 150
L 1072.0, 749.0, -86.0, 1085.0, 768.0, -86.0, 150, 150, 150
L 1085.0, 768.0, -86.0, 1086.0, 788.0, -86.0, 150, 150, 150
L 1086.0, 788.0, -86.0, 1074.0, 805.0, -86.0, 150, 150, 150
L 1074.0, 805.0, -86.0, 1052.0, 813.0, -86.0, 150, 150, 150
L 1052.0, 813.0, -86.0, 1031.0, 806.0, -86.0, 150, 150, 150
L 1031.0, 806.0, -86.0, 1019.0, 789.0, -86.0, 150, 150, 150
L 1019.0, 789.0, -86.0, 1018.0, 767.0, -86.0, 150, 150, 150
L 1018.0, 767.0, -86.0, 1030.0, 750.0, -86.0, 150, 150, 150
L 1030.0, 750.0, -86.0, 1053.0, 742.0, -86.0, 150, 150, 150
L 1157.0, 647.0, -166.0, 1157.0, 899.0, -166.0, 0, 0, 0
L 1157.0, 899.0, -166.0, 941.0, 899.0, -166.0, 0, 0, 0
L 941.0, 899.0, -166.0, 941.0, 775.0, -166.0, 0, 0, 0
L 941.0, 775.0, -166.0, 929.0, 774.0, -166.0, 0, 0, 0
L 929.0, 774.0, -166.0, 929.0, 761.0, -166.0, 0, 0, 0
L 929.0, 761.0, -166.0, 889.0, 760.0, -163.0, 0, 0, 0
L 889.0, 760.0, -163.0, 888.0, 772.0, -159.0, 0, 0, 0
L 888.0, 772.0, -159.0, 657.0, 772.0, -70.0, 0, 0, 0
L 657.0, 772.0, -70.0, 656.0, 760.0, -74.0, 0, 0, 0
L 656.0, 760.0, -74.0, 621.0, 761.0, -72.0, 0, 0, 0
L 621.0, 761.0, -72.0, 621.0, 758.0, -73.0, 0, 0, 0
L 621.0, 758.0, -73.0, 536.0, 758.0, -105.0, 0, 0, 0
L 536.0, 758.0, -105.0, 537.0, 762.0, -105.0, 0, 0, 0
L 537.0, 762.0, -105.0, 540.0, 763.0, -105.0, 0, 0, 0
L 540.0, 763.0, -105.0, 540.0, 787.0, -105.0, 0, 0, 0
L 540.0, 787.0, -105.0, 522.0, 804.0, -105.0, 0, 0, 0
L 522.0, 804.0, -105.0, 498.0, 804.0, -105.0, 0, 0, 0
L 498.0, 804.0, -105.0, 498.0, 801.0, -105.0, 0, 0, 0
L 498.0, 801.0, -105.0, 492.0, 801.0, -105.0, 0, 0, 0
