P -600, 1300, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -600, 1500, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -600, 1700, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -236.4555, -649.6580, -20.8360,  -236.4629, -656.5465, -20.8360,  75, 25, 75
L -220.6445, -584.7626, -20.8363,  -213.7452, -584.7680, -20.8363,  75, 25, 75
L -220.6404, -636.0587, -20.8363,  -220.6445, -584.7626, -20.8363,  75, 25, 75
L -236.4634, -636.0594, -20.8360,  -220.6404, -636.0587, -20.8363,  75, 25, 75
L -236.4583, -642.8761, -20.8360,  -236.4634, -636.0594, -20.8360,  75, 25, 75
L -200.1537, -656.5432, -20.8363,  -236.4344, -656.5462, -20.8360,  75, 25, 75
L -200.1531, -584.7600, -20.8363,  -200.1537, -656.5432, -20.8363,  75, 25, 75
L -207.0444, -584.7659, -20.8363,  -200.1531, -584.7600, -20.8363,  75, 25, 75
L -207.0434, -580.4725, -20.8363,  -207.0444, -584.7659, -20.8363,  75, 25, 75
L -213.7626, -580.4636, -20.8363,  -213.7452, -584.7680, -20.8363,  75, 25, 75
L -182.3347, -464.2140, -19.5979,  -241.2602, -464.2262, -20.8363,  75, 25, 75
L -182.3347, -580.4739, -20.8363,  -182.3347, -464.2140, -19.5979,  75, 25, 75
L -207.0434, -580.4725, -20.8363,  -182.3347, -580.4739, -20.8363,  75, 25, 75
L -238.9613, -580.4748, -20.8363,  -213.7626, -580.4636, -20.8363,  75, 25, 75
L -238.9597, -521.5480, -20.8363,  -238.9613, -580.4748, -20.8363,  75, 25, 75
L -297.8768, -521.5604, -20.8364,  -238.9597, -521.5480, -20.8364,  75, 25, 75
L -297.8748, -435.4439, -20.8364,  -297.8768, -521.5604, -20.8364,  75, 25, 75
L -241.2507, -404.0177, -20.8363,  -241.2602, -464.2262, -20.8363,  75, 25, 75
L -297.8768, -404.0178, -20.8364,  -241.2507, -404.0177, -20.8363,  75, 25, 75
L -297.8707, -428.7377, -20.8364,  -297.8768, -404.0178, -20.8364,  75, 25, 75
L -297.8748, -435.4439, -20.8364,  -302.1694, -435.4303, -20.8364,  75, 25, 75
L -302.1681, -428.7174, -20.8364,  -297.8707, -428.7377, -20.8364,  75, 25, 75
L -722.8995, -580.1266, -20.8360,  -718.2778, -580.1329, -20.8360,  75, 25, 75
L -722.8969, -586.8382, -20.8360,  -718.2646, -586.8387, -20.8360,  75, 25, 75
