P -400.0000, 800.0000, 0.0000,  0, 0, 0,  2,  The_Shifting_Tower_(TAKB)
P -400.0000, 1000.0000, 0.0000,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -400.0000, 1200.0000, 0.0000,  0, 0, 0,  2,  http://www.eqmaps.info
P -400.0000, 1400.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L -393.0000, 559.0000, -5.0000,  -405.0000, 559.0000, -4.0000,  0, 0, 0
L -405.0000, 559.0000, -4.0000,  -407.0000, 560.0000, -4.0000,  0, 0, 0
L -407.0000, 560.0000, -4.0000,  -408.0000, 562.0000, -4.0000,  0, 0, 0
L -408.0000, 562.0000, -4.0000,  -408.0000, 564.0000, -4.0000,  0, 0, 0
L -408.0000, 564.0000, -4.0000,  -408.0000, 599.0000, -7.0000,  0, 0, 0
L -408.0000, 599.0000, -7.0000,  -410.0000, 599.0000, -7.0000,  0, 0, 0
L -410.0000, 599.0000, -7.0000,  -465.0000, 599.0000, -4.0000,  0, 0, 0
L -465.0000, 599.0000, -4.0000,  -465.0000, 470.0000, -10.0000,  0, 0, 0
L -465.0000, 470.0000, -10.0000,  -463.0000, 470.0000, -10.0000,  0, 0, 0
L -463.0000, 470.0000, -10.0000,  -452.0000, 470.0000, -4.0000,  0, 0, 0
L -452.0000, 470.0000, -4.0000,  -451.0000, 470.0000, -4.0000,  0, 0, 0
L -451.0000, 470.0000, -4.0000,  -441.0000, 471.0000, -4.0000,  0, 0, 0
L -441.0000, 471.0000, -4.0000,  -441.0000, 473.0000, -4.0000,  0, 0, 0
L -441.0000, 473.0000, -4.0000,  -440.0000, 474.0000, -4.0000,  0, 0, 0
L -440.0000, 474.0000, -4.0000,  -441.0000, 476.0000, -4.0000,  0, 0, 0
L -441.0000, 476.0000, -4.0000,  -440.0000, 475.0000, -4.0000,  0, 0, 0
L -440.0000, 475.0000, -4.0000,  -438.0000, 474.0000, -4.0000,  0, 0, 0
L -438.0000, 474.0000, -4.0000,  -438.0000, 461.0000, -4.0000,  0, 0, 0
L -438.0000, 461.0000, -4.0000,  -439.0000, 459.0000, -4.0000,  0, 0, 0
L -439.0000, 459.0000, -4.0000,  -441.0000, 458.0000, -4.0000,  0, 0, 0
L -441.0000, 458.0000, -4.0000,  -443.0000, 458.0000, -4.0000,  0, 0, 0
L -443.0000, 458.0000, -4.0000,  -445.0000, 459.0000, -5.0000,  0, 0, 0
L -445.0000, 459.0000, -5.0000,  -448.0000, 459.0000, -7.0000,  0, 0, 0
L -448.0000, 459.0000, -7.0000,  -449.0000, 459.0000, -8.0000,  0, 0, 0
L -449.0000, 459.0000, -8.0000,  -452.0000, 459.0000, -8.0000,  0, 0, 0
