P 0, 400, 0,  0, 0, 0,  2,  Original_Map:_Goodurden
P 0, 600, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 0, 800, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 0, 1000, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
P 0, 1200, 0,  0, 0, 0,  2,  Height_Filter:_26/26
L 108.8120, -111.1612, 86.1030,  122.9339, -111.1953, 86.1030,  127, 127, 127
L 98.7661, 5.8042, 88.6802,  98.7094, 4.7344, 88.6796,  100, 0, 255
L 97.5290, 4.7392, 88.6797,  98.7094, 4.7344, 88.6798,  100, 0, 255
L -4.4913, -36.1521, -5.1534,  4.8281, -36.1508, -5.1532,  127, 127, 0
L 231.7306, 34.7680, 89.4132,  241.9731, 34.7672, 89.4129,  100, 0, 255
L -107.1850, 81.2200, -29.6697,  -98.9522, 81.1183, -29.6539,  127, 127, 127
L -107.1527, 76.3238, -29.7259,  -107.1850, 81.2200, -29.5475,  127, 127, 127
L -119.2587, 76.3371, -29.7269,  -107.1527, 76.3238, -29.7270,  127, 127, 127
L -119.2497, 71.7270, -29.7266,  -119.2587, 76.3371, -29.7266,  127, 127, 127
L -107.2576, 71.8195, -29.7270,  -119.2497, 71.7270, -29.7270,  127, 127, 127
L -119.2570, 71.3070, -29.7268,  -119.2656, 66.3029, -29.7268,  127, 127, 127
L -107.2729, 71.1550, -29.7271,  -119.2570, 71.3070, -29.7271,  127, 127, 127
L -107.2729, 71.1550, -29.7255,  -107.2576, 71.8195, -29.7255,  127, 127, 127
L -98.9548, 66.3024, -29.7274,  -119.2656, 66.3029, -29.7272,  127, 127, 127
L -139.7401, 99.8420, -28.6854,  -98.9566, 99.9980, -28.6866,  0, 0, 0
L -139.8062, 7.2442, -28.6866,  -139.7912, 58.3746, -28.6866,  0, 0, 0
L -98.9513, 7.2374, -28.6866,  -98.9566, 99.9980, -28.6866,  0, 0, 0
L -110.8915, 27.4989, -29.7279,  -110.8847, 22.6986, -29.7279,  127, 127, 127
L -98.9525, 27.4642, -29.6911,  -110.8915, 27.4989, -29.7186,  127, 127, 127
L -102.5960, 22.6981, -29.7279,  -102.6050, 10.2375, -29.7279,  127, 127, 127
L -102.5960, 22.6981, -29.7279,  -110.8847, 22.6986, -29.7279,  127, 127, 127
L -123.8058, 1.1686, -29.7270,  -126.4525, 1.1704, -29.7270,  0, 0, 0
L -114.9583, 1.1689, -29.7271,  -112.3050, 1.1704, -29.7271,  0, 0, 0
L -114.9583, 1.1689, -29.7272,  -114.9493, 9.4534, -29.7273,  0, 0, 0
L -123.7968, 9.4540, -29.7272,  -123.8058, 1.1686, -29.7272,  0, 0, 0
L -126.1487, -2.1093, -28.2539,  -126.1483, -2.1089, -28.2540,  0, 0, 0
L -190.3914, 79.3620, -29.7270,  -176.3779, 79.6200, -29.7270,  127, 127, 127
L -176.3804, 99.3705, -29.7270,  -176.3779, 79.6200, -29.7270,  127, 127, 127
L -150.3531, 58.3729, -30.8750,  -150.3519, 7.2409, -30.8750,  0, 0, 0
L -175.8088, 36.7173, -30.8840,  -190.8310, 36.7927, -30.8840,  127, 127, 127
