P 700, 1700, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 700, 1900, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 700, 2100, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 567.0, 748.0, 0.0, 597.0, 748.0, 0.0, 0, 0, 0
L 567.0, 749.0, 1.0, 567.0, 748.0, 0.0, 0, 0, 0
L 566.0, 750.0, 0.0, 567.0, 749.0, 1.0, 0, 0, 0
L 564.0, 750.0, 0.0, 566.0, 750.0, 0.0, 0, 0, 0
L 564.0, 727.0, 0.0, 564.0, 750.0, 0.0, 0, 0, 0
L 512.0, 726.0, 0.0, 564.0, 727.0, 0.0, 0, 0, 0
L 512.0, 748.0, 0.0, 512.0, 726.0, 0.0, 0, 0, 0
L 483.0, 748.0, 0.0, 512.0, 748.0, 0.0, 0, 0, 0
L 482.0, 749.0, 1.0, 483.0, 748.0, 0.0, 0, 0, 0
L 480.0, 750.0, 0.0, 482.0, 749.0, 1.0, 0, 0, 0
L 479.0, 750.0, 0.0, 480.0, 750.0, 0.0, 0, 0, 0
L 479.0, 694.0, 0.0, 479.0, 750.0, 0.0, 0, 0, 0
L 480.0, 693.0, 0.0, 479.0, 694.0, 0.0, 0, 0, 0
L 482.0, 693.0, 0.0, 480.0, 693.0, 0.0, 0, 0, 0
L 484.0, 694.0, 0.0, 482.0, 693.0, 0.0, 0, 0, 0
L 485.0, 693.0, 0.0, 484.0, 694.0, 0.0, 0, 0, 0
L 485.0, 678.0, 0.0, 485.0, 693.0, 0.0, 0, 0, 0
L 479.0, 678.0, 0.0, 485.0, 678.0, 0.0, 0, 0, 0
L 479.0, 608.0, 0.0, 479.0, 678.0, 0.0, 0, 0, 0
L 484.0, 608.0, 0.0, 479.0, 608.0, 0.0, 0, 0, 0
L 485.0, 595.0, 0.0, 484.0, 608.0, 0.0, 0, 0, 0
L 485.0, 593.0, 0.0, 485.0, 595.0, 0.0, 0, 0, 0
L 479.0, 593.0, 0.0, 485.0, 593.0, 0.0, 0, 0, 0
L 479.0, 486.0, 10.0, 479.0, 593.0, 0.0, 0, 0, 0
L 479.0, 484.0, 10.0, 479.0, 486.0, 10.0, 0, 0, 0
L 491.0, 484.0, 10.0, 479.0, 484.0, 10.0, 0, 0, 0
L 494.0, 488.0, 12.0, 491.0, 484.0, 10.0, 0, 0, 0
