P 0, 500, 0,  0, 0, 0,  2,  Original_Map:_Breganz_of_<_Crimson_Tempest_>
P 0, 700, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 0, 900, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 0, 1100, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 112.5661, -4.5235, -0.7692,  110.1668, -95.1974, -34.9427,  0, 240, 240
L 125.7749, -4.6227, -0.7801,  215.2780, -6.3017, -35.6356,  255, 255, 0
L 215.2780, -6.3017, -35.6356,  215.2819, -47.7501, -35.7286,  255, 255, 0
L 215.2819, -47.7501, -35.7286,  211.6105, -47.9857, -35.7286,  255, 255, 0
L 211.6105, -47.9857, -35.7286,  211.1390, -39.2434, -35.7286,  255, 255, 0
L 211.1390, -39.2434, -35.7286,  205.5305, -39.2381, -35.7284,  255, 255, 0
L 205.5305, -39.2381, -35.7284,  206.4595, -42.3038, -35.7286,  255, 255, 0
L 206.4595, -42.3038, -35.7286,  200.5838, -49.8480, -35.7286,  255, 255, 0
L 197.5503, -47.4868, -35.7295,  200.5838, -49.8480, -35.7286,  255, 255, 0
L 197.5180, -47.4129, -35.7278,  197.5178, -189.8010, -35.7276,  255, 255, 0
L 197.5178, -189.8010, -35.7276,  199.2786, -188.2874, -35.7286,  255, 255, 0
L 199.2786, -188.2874, -35.7286,  207.6048, -195.8609, -35.7286,  255, 255, 0
L 207.6048, -195.8609, -35.7286,  206.2772, -197.9079, -35.7286,  255, 255, 0
L 206.2772, -197.9079, -35.7286,  212.2468, -197.5952, -35.7286,  255, 255, 0
L 212.2468, -197.5952, -35.7286,  212.2387, -211.7641, -35.6666,  255, 255, 0
L 212.2387, -211.7641, -35.6666,  159.8566, -211.2469, -35.6666,  255, 255, 0
L 159.8566, -211.2469, -35.6666,  159.9988, -201.2812, -35.6664,  255, 255, 0
L 159.9988, -201.2812, -35.6664,  91.9600, -199.5138, -35.5230,  255, 255, 0
L 91.9600, -199.5138, -35.5230,  91.6140, -124.7420, -34.6197,  255, 255, 0
L 91.6140, -124.7420, -34.6197,  6.8274, -124.4896, -35.6356,  255, 255, 0
L -5.9528, -140.3369, -34.3804,  79.8785, -140.6656, -35.6356,  255, 255, 0
L 79.8785, -140.6656, -35.6356,  80.2673, -203.9368, -35.6666,  255, 255, 0
L 80.2673, -203.9368, -35.6666,  12.6540, -202.2948, -35.6666,  255, 255, 0
L 12.6540, -202.2948, -35.6666,  12.9482, -300.3342, -33.7070,  255, 255, 0
L 12.9482, -300.3342, -33.7070,  107.6247, -298.1034, -35.6666,  255, 255, 0
L 107.6247, -298.1034, -35.6666,  142.8141, -297.7219, -6.2705,  255, 255, 0
L 142.8141, -297.7219, -6.2705,  160.1814, -297.9859, -5.6059,  255, 255, 0
L 160.1814, -297.9859, -5.6059,  159.9988, -201.2811, -5.6055,  255, 255, 0
L 159.9988, -201.2811, -5.6055,  147.2761, -201.2811, -5.6055,  255, 255, 0
L 147.2761, -201.2811, -5.6055,  147.4062, -203.9352, -5.6055,  255, 255, 0
L 147.4062, -203.9352, -5.6055,  142.3851, -204.5140, -5.6055,  255, 255, 0
L 142.3851, -204.5140, -5.6055,  143.2872, -35.4930, 45.1201,  255, 255, 0
L 143.2872, -35.4930, 45.1201,  179.7378, -35.9797, 45.1201,  255, 255, 0
L 179.7378, -35.9797, 45.7404,  180.6796, -116.2270, 79.9868,  255, 255, 0
L 180.6796, -116.2270, 79.9868,  136.5434, -115.4907, 80.2201,  64, 0, 0
L 223.7795, 71.9585, 79.9868,  224.2736, 174.2923, 114.8533,  0, 240, 0
L 224.2736, 174.2923, 114.8533,  74.6439, 173.6565, 171.7655,  0, 240, 0
L 74.6439, 173.6565, 171.7655,  74.5885, 116.8802, 171.7655,  0, 255, 0
L 74.5885, 116.8802, 171.7655,  123.2168, 116.6243, 171.7655,  0, 255, 0
L 123.2168, 116.6243, 171.7655,  123.2530, 56.9626, 171.7022,  0, 255, 0
L 123.2530, 56.9626, 171.7022,  121.5307, 57.1298, 171.7023,  0, 255, 0
L 121.5307, 57.1298, 171.7023,  120.3195, 59.3000, 171.7023,  0, 255, 0
L 120.3195, 59.3000, 171.7023,  114.9341, 59.9000, 171.7057,  0, 255, 0
L 114.9341, 59.9000, 171.7057,  117.9692, 56.3930, 171.7023,  0, 255, 0
L 117.9692, 56.3930, 171.7023,  110.6570, 48.2334, 171.7023,  0, 255, 0
L 110.6570, 48.2334, 171.7023,  106.6987, 50.7918, 171.7033,  0, 255, 0
L 106.6987, 50.7918, 171.7033,  106.6998, 12.3005, 172.6117,  0, 255, 0
L 106.6998, 12.3005, 172.6117,  114.8700, 12.2727, 172.6108,  0, 255, 0
L 114.8700, 12.2727, 172.6108,  114.1334, 2.4651, 171.7030,  0, 255, 0
L 114.1334, 2.4651, 171.7030,  106.6997, 2.5647, 172.5005,  0, 255, 0
L 106.6997, 2.5647, 172.5005,  106.6995, -10.8914, 171.7023,  0, 255, 0
L 106.6995, -10.8914, 171.7023,  108.8106, -11.1210, 171.7023,  0, 255, 0
L 108.8106, -11.1210, 171.7023,  108.7612, -14.8475, 171.7023,  0, 255, 0
L 108.7612, -14.8475, 171.7023,  65.8970, -14.5037, 171.7656,  0, 255, 0
L 65.8970, -14.5037, 171.7656,  65.9595, 19.5309, 172.4231,  0, 255, 0
L 65.9595, 19.5309, 172.4231,  9.8965, 19.9110, 171.7656,  0, 255, 0
L 9.8965, 19.9110, 171.7656,  9.5004, 74.7317, 171.7656,  0, 255, 0
L 9.5004, 74.7317, 171.7656,  -14.7416, 74.9895, 171.7656,  0, 255, 0
L -14.7416, 74.9895, 171.7656,  -15.5810, 108.7339, 171.8781,  0, 255, 0
L -15.5810, 108.7339, 171.8781,  -11.1936, 108.9762, 171.6970,  0, 255, 0
L -11.1936, 108.9762, 171.6970,  31.7402, 107.3004, 171.6999,  0, 255, 0
L 31.7402, 107.3004, 171.6999,  29.4539, 109.5163, 171.6970,  0, 255, 0
L 29.4539, 109.5163, 171.6970,  36.9733, 117.3513, 171.6970,  0, 255, 0
L 36.9733, 117.3513, 171.6970,  39.9622, 115.6817, 171.6987,  0, 255, 0
L 39.9622, 115.6817, 171.6987,  39.9622, 182.6732, 171.7002,  0, 255, 0
L 39.9622, 182.6732, 171.7002,  37.5174, 180.1708, 171.6970,  0, 255, 0
L 37.5174, 180.1708, 171.6970,  28.7620, 187.8683, 171.6970,  0, 255, 0
L 28.7620, 187.8683, 171.6970,  31.6395, 190.9524, 171.6984,  0, 255, 0
L 31.6395, 190.9524, 171.6984,  -54.3986, 190.9524, 172.2112,  0, 255, 0
L -54.3986, 190.9524, 172.2112,  -51.9106, 188.7521, 171.6970,  0, 255, 0
L -51.9106, 188.7521, 171.6970,  -58.7924, 179.8606, 171.6970,  0, 255, 0
L -58.7924, 179.8606, 171.6970,  -62.4797, 182.6425, 171.6999,  0, 255, 0
L -62.4797, 182.6425, 171.6999,  -61.5007, 172.9139, 171.8782,  0, 255, 0
L -61.5007, 172.9139, 171.8782,  -114.4438, 175.1485, 172.2281,  0, 255, 0
L -114.4438, 175.1485, 172.2281,  -115.2300, 94.9339, 171.7656,  0, 255, 0
L -115.2300, 94.9339, 171.7656,  -90.3841, 94.8798, 171.7656,  0, 255, 0
L -90.3841, 94.8798, 171.7656,  -91.5558, -82.2930, 114.9646,  0, 255, 0
L -132.8260, 123.9577, 114.8342,  -137.8785, 123.9519, 114.8342,  64, 0, 0
L -137.8785, 123.9519, 114.8342,  -137.7205, 106.7025, 114.8342,  64, 0, 0
L -137.7205, 106.7025, 114.8342,  -142.7900, 106.9693, 114.8344,  64, 0, 0
L -142.7900, 106.9693, 114.8344,  -142.5690, 131.7639, 104.5619,  64, 0, 0
L -142.5690, 131.7639, 104.5619,  -139.5463, 131.6902, 104.3333,  64, 0, 0
L -139.5463, 131.6902, 104.3333,  -140.9710, 108.7535, 84.8572,  64, 0, 0
L -140.9710, 108.7535, 84.8572,  -141.9622, 108.7535, 84.8572,  64, 0, 0
L -141.9622, 108.7535, 84.8572,  -142.2503, 124.1430, 84.8572,  64, 0, 0
L -142.2503, 124.1430, 84.8572,  -146.3532, 124.2360, 84.8572,  64, 0, 0
