P 200, 900, 0, 0, 0, 0, 2, Original_Map:_Blindheart_of_Drinal
P 200, 1100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 200, 1300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 200, 1500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 698.2916, -1771.8690, -185.9530,  696.8661, -1771.3865, -191.4072,  66, 66, 66
L 700.0626, -1772.3184, -179.4738,  698.2916, -1771.8690, -185.9530,  66, 66, 66
L 701.8738, -1772.9490, -172.6907,  700.0626, -1772.3184, -179.4738,  66, 66, 66
L 703.4152, -1774.1982, -166.3607,  701.8738, -1772.9490, -172.6907,  66, 66, 66
L 710.6290, -1777.4396, -165.7040,  703.4152, -1774.1982, -166.3607,  66, 66, 66
L 712.4263, -1778.1584, -165.6320,  710.6290, -1777.4396, -165.7040,  66, 66, 66
L 715.3115, -1778.2806, -164.1496,  712.4263, -1778.1584, -165.6320,  66, 66, 66
L 724.4518, -1778.1484, -163.4316,  715.3115, -1778.2806, -164.1496,  66, 66, 66
L 734.2626, -1777.9221, -163.2413,  724.4518, -1778.1484, -163.4316,  66, 66, 66
L 776.9333, -1776.4064, -159.1289,  734.2626, -1777.9221, -163.2413,  66, 66, 66
L 786.7020, -1776.0500, -158.0836,  776.9333, -1776.4064, -159.1289,  66, 66, 66
L 788.4742, -1776.0356, -157.2142,  786.7020, -1776.0500, -158.0836,  66, 66, 66
L 790.3832, -1776.4364, -156.9234,  788.4742, -1776.0356, -157.2142,  66, 66, 66
L 794.0149, -1777.4399, -155.4902,  790.3832, -1776.4364, -156.9234,  66, 66, 66
L 802.9501, -1780.3571, -153.6971,  794.0149, -1777.4399, -155.4902,  66, 66, 66
L 804.1135, -1780.7736, -153.5834,  802.9501, -1780.3571, -153.6971,  66, 66, 66
L 808.2294, -1781.4575, -151.9673,  804.1135, -1780.7736, -153.5834,  66, 66, 66
L 809.4863, -1781.6000, -151.8575,  808.2294, -1781.4575, -151.9673,  66, 66, 66
L 809.4376, -1775.7864, -148.3434,  809.4863, -1781.6000, -151.8575,  66, 66, 66
L 809.7123, -1774.2072, -148.1675,  809.4376, -1775.7864, -148.3434,  66, 66, 66
L 810.2104, -1771.2570, -147.7501,  809.7123, -1774.2072, -148.1675,  66, 66, 66
L 810.4070, -1770.0356, -147.6340,  810.2104, -1771.2570, -147.7501,  66, 66, 66
L 810.8668, -1764.3936, -146.7651,  810.4070, -1770.0356, -147.6340,  66, 66, 66
L 810.8200, -1762.4806, -146.6112,  810.8668, -1764.3936, -146.7651,  66, 66, 66
L 810.1884, -1761.1255, -145.6293,  810.8200, -1762.4806, -146.6112,  66, 66, 66
L 808.7208, -1760.0686, -145.6580,  810.1884, -1761.1255, -145.6293,  66, 66, 66
L 806.1958, -1758.9904, -145.3067,  808.7208, -1760.0686, -145.6580,  66, 66, 66
L 804.6960, -1758.4298, -145.1881,  806.1958, -1758.9904, -145.3067,  66, 66, 66
L 800.7831, -1757.7621, -145.3926,  804.6960, -1758.4298, -145.1881,  66, 66, 66
L 799.5090, -1757.6067, -145.4512,  800.7831, -1757.7621, -145.3926,  66, 66, 66
L 797.9998, -1756.1677, -145.6259,  799.5090, -1757.6067, -145.4512,  66, 66, 66
L 796.3839, -1754.4528, -145.7601,  797.9998, -1756.1677, -145.6259,  66, 66, 66
L 795.2844, -1753.2039, -145.6954,  796.3839, -1754.4528, -145.7601,  66, 66, 66
L 794.0212, -1751.6801, -145.6352,  795.2844, -1753.2039, -145.6954,  66, 66, 66
L 794.3003, -1750.0685, -146.1290,  794.0212, -1751.6801, -145.6352,  66, 66, 66
L 794.8298, -1748.2935, -145.8736,  794.3003, -1750.0685, -146.1290,  66, 66, 66
L 795.3481, -1746.4154, -146.0208,  794.8298, -1748.2935, -145.8736,  66, 66, 66
L 795.7992, -1740.0675, -146.0520,  795.3481, -1746.4154, -146.0208,  66, 66, 66
L 795.7317, -1738.9678, -146.0860,  795.7992, -1740.0675, -146.0520,  66, 66, 66
L 795.2470, -1704.9025, -144.1957,  795.7317, -1738.9678, -146.0860,  66, 66, 66
L 795.2938, -1703.0063, -144.2179,  795.2470, -1704.9025, -144.1957,  66, 66, 66
L 797.3046, -1701.9976, -143.0956,  795.2938, -1703.0063, -144.2179,  66, 66, 66
L 799.6478, -1700.7726, -143.0634,  797.3046, -1701.9976, -143.0956,  66, 66, 66
L 801.2072, -1699.8761, -143.0502,  799.6478, -1700.7726, -143.0634,  66, 66, 66
L 802.5386, -1698.8594, -142.3058,  801.2072, -1699.8761, -143.0502,  66, 66, 66
L 803.7880, -1697.5343, -142.0681,  802.5386, -1698.8594, -142.3058,  66, 66, 66
L 804.5262, -1696.6399, -141.9453,  803.7880, -1697.5343, -142.0681,  66, 66, 66
L 804.8256, -1695.0486, -141.8149,  804.5262, -1696.6399, -141.9453,  66, 66, 66
L 805.1664, -1693.2389, -141.8301,  804.8256, -1695.0486, -141.8149,  66, 66, 66
L 805.6128, -1691.7106, -141.3379,  805.1664, -1693.2389, -141.8301,  66, 66, 66
L 806.5710, -1690.0504, -140.2888,  805.6128, -1691.7106, -141.3379,  66, 66, 66
