P 0, 700, 0, 0, 0, 0, 2, Original_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 0, 900, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 0, 1100, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 701.0, -960.0, -32.0, 812.3, -1069.3, -1.0, 240, 0, 0
L -206.0, -163.0, 29.0, -227.0, -142.0, 29.0, 0, 0, 0
L -190.0, -164.0, 29.0, -206.0, -163.0, 29.0, 0, 0, 0
L -150.0, -164.0, 24.0, -190.0, -164.0, 29.0, 0, 0, 0
L -63.0, -80.0, -1.5, -150.0, -164.0, 24.0, 0, 0, 0
L 907.0, -1224.0, -1.0, 890.0, -1230.0, -1.0, 240, 0, 0
L 457.1, -1317.9, -32.3, 444.0, -1331.0, -32.0, 240, 0, 0
L 444.0, -1331.0, -32.0, 423.0, -1354.0, -32.0, 240, 0, 0
L 423.0, -1354.0, -32.0, 423.0, -1482.0, -19.0, 240, 0, 0
L 423.0, -1482.0, -19.0, 435.0, -1482.0, -17.0, 240, 0, 0
L 435.0, -1482.0, -17.0, 553.0, -1482.0, 11.8, 240, 0, 0
L 260.0, 125.0, -6.0, 283.0, 147.0, -1.0, 0, 0, 0
L 283.0, 147.0, -1.0, 300.0, 164.0, -1.0, 0, 0, 0
L 309.0, 141.0, -1.0, 301.0, 133.0, -1.0, 0, 0, 0
L 301.0, 133.0, -1.0, 283.0, 112.0, -6.0, 0, 0, 0
L 283.0, 112.0, -6.0, 283.0, 11.0, -32.0, 0, 0, 0
L 796.3, -1085.3, -1.5, 759.0, -1048.0, -10.0, 240, 0, 0
L 759.0, -1048.0, -10.0, 698.0, -986.0, -32.0, 240, 0, 0
L 698.0, -986.0, -32.0, 629.0, -918.0, -32.0, 240, 0, 0
L 629.0, -918.0, -32.0, 650.0, -897.0, -32.3, 240, 0, 0
L 691.0, -886.0, -32.3, 661.0, -919.0, -32.0, 240, 0, 0
L 661.0, -919.0, -32.0, 701.0, -960.0, -32.0, 240, 0, 0
L -243.0, 240.0, 29.0, -243.0, 241.0, 29.0, 0, 0, 0
L -155.0, 326.0, 29.0, -155.0, 346.0, 29.0, 205, 133, 63
L -149.0, 300.0, 29.0, -149.0, 314.0, 29.0, 205, 133, 63
L -149.0, 396.0, 29.0, -149.0, 412.0, 29.0, 205, 133, 63
L -149.0, 412.0, 29.0, -155.0, 412.0, 29.0, 205, 133, 63
L -114.0, 396.0, 29.0, -114.0, 392.0, 29.0, 0, 0, 0
L -155.0, 392.0, 29.0, -155.0, 412.0, 29.0, 205, 133, 63
L -149.0, 396.0, 29.0, -114.0, 396.0, 29.0, 205, 133, 63
L -114.0, 392.0, 29.0, -114.0, 364.0, 29.0, 0, 0, 0
L -155.0, 392.0, 29.0, -114.0, 392.0, 29.0, 205, 133, 63
L -155.0, 360.0, 29.0, -155.0, 378.0, 29.0, 205, 133, 63
L -114.0, 364.0, 29.0, -114.0, 360.0, 29.0, 0, 0, 0
L -149.0, 364.0, 29.0, -114.0, 364.0, 29.0, 205, 133, 63
