P 2600, 6000, 0, 0, 0, 0, 2, Original_Map:_Breganz_of_Crimson_Tempest
P 2600, 6200, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 2600, 6400, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 2600, 6600, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 4128.5029, 3335.2954, 326.0566, 4122.5356, 3339.8665, 327.9266, 0, 0, 0
L 4122.5356, 3339.8665, 327.9266, 4117.8745, 3333.8782, 326.0249, 0, 0, 0
L 4117.8745, 3333.8782, 326.0249, 4124.1641, 3329.5820, 326.4366, 0, 0, 0
L 4124.1641, 3329.5820, 326.4366, 4128.5029, 3335.2954, 326.2097, 0, 0, 0
L 4126.3975, 3357.0190, 328.5511, 4125.8853, 3364.3137, 329.2535, 0, 0, 0
L 4125.8853, 3364.3137, 329.6132, 4118.3228, 3364.3140, 329.6149, 0, 0, 0
L 4118.3228, 3364.3140, 329.0329, 4118.3188, 3355.8003, 328.9332, 0, 0, 0
L 4118.3188, 3355.8003, 328.2428, 4126.3975, 3357.0190, 328.2980, 0, 0, 0
L 4131.6440, 3385.9363, 331.9677, 4186.3320, 3386.0256, 328.6812, 0, 0, 0
L 4186.3320, 3386.0256, 328.6812, 4186.2729, 3387.7251, 328.9045, 0, 0, 0
L 4186.2729, 3387.7251, 329.5130, 4193.9990, 3387.7278, 328.7916, 0, 0, 0
L 4193.9990, 3387.7278, 327.5679, 4193.8677, 3379.5283, 324.9047, 0, 0, 0
L 4193.8677, 3379.5283, 324.9047, 4185.8594, 3379.4929, 326.2625, 0, 0, 0
L 4185.8594, 3379.4929, 326.5625, 4185.8672, 3381.4639, 326.7643, 0, 0, 0
L 4185.8672, 3381.4639, 326.7643, 4131.3306, 3381.3489, 330.9765, 0, 0, 0
L 4131.3320, 3381.3545, 330.9731, 4131.3320, 3381.3545, 330.9731, 0, 0, 0
L 4131.3320, 3381.3545, 330.9731, 4131.3481, 3379.6672, 330.8449, 0, 0, 0
L 4131.3481, 3379.6672, 330.7682, 4123.9858, 3379.6143, 330.9039, 0, 0, 0
L 4123.9858, 3379.6143, 331.3700, 4124.2490, 3387.2546, 332.0477, 0, 0, 0
L 4124.2490, 3387.2546, 332.5987, 4131.4268, 3387.0037, 332.3553, 0, 0, 0
L 4131.3940, 3385.9346, 331.9647, 4131.4268, 3387.0037, 332.1139, 0, 0, 0
L 4089.6704, 3364.0359, 329.5691, 4073.4226, 3364.2219, 330.6231, 0, 0, 0
L 4073.4226, 3364.2219, 330.6231, 4073.4233, 3365.0496, 331.1806, 0, 0, 0
