P -2800, 1500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -2800, 1700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -2800, 1900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 23, 452, -42, 18, 453, -42, 0, 0, 0
L 28, 451, -42, 23, 452, -42, 0, 0, 0
L 18, 449, -41, 28, 451, -42, 0, 0, 0
L 17, 449, -41, 18, 449, -41, 0, 0, 0
L 7, 443, -42, 17, 449, -41, 0, 0, 0
L 6, 442, -42, 7, 443, -42, 0, 0, 0
L 5, 439, -42, 6, 442, -42, 0, 0, 0
L 4, 428, -43, 5, 439, -42, 0, 0, 0
L 4, 421, -43, 4, 428, -43, 0, 0, 0
L 5, 417, -43, 4, 421, -43, 0, 0, 0
L 5, 411, -44, 5, 417, -43, 0, 0, 0
L 6, 406, -45, 5, 411, -44, 0, 0, 0
L 6, 399, -45, 6, 406, -45, 0, 0, 0
L 9, 373, -45, 6, 399, -45, 0, 0, 0
L 11, 347, -45, 9, 373, -45, 0, 0, 0
L 10, 227, -45, 11, 347, -45, 0, 0, 0
L 13, 216, -45, 10, 227, -45, 0, 0, 0
L 13, 215, -45, 13, 216, -45, 0, 0, 0
L 17, 212, -46, 13, 215, -45, 0, 0, 0
L 23, 208, -47, 17, 212, -46, 0, 0, 0
L 31, 207, -47, 23, 208, -47, 0, 0, 0
L 43, 209, -44, 31, 207, -47, 0, 0, 0
L 43, 203, -46, 43, 209, -44, 0, 0, 0
L 43, 196, -47, 43, 203, -46, 0, 0, 0
L 42, 187, -46, 43, 196, -47, 0, 0, 0
L 41, 76, -21, 42, 187, -46, 0, 0, 0
L 42, 45, -21, 41, 76, -21, 0, 0, 0
L 43, 17, -22, 42, 45, -21, 0, 0, 0
L 43, -28, -21, 43, 17, -22, 0, 0, 0
L 42, -50, -21, 43, -28, -21, 0, 0, 0
L 42, -56, -22, 42, -50, -21, 0, 0, 0
L 41, -61, -22, 42, -56, -22, 0, 0, 0
L 38, -72, -22, 41, -61, -22, 0, 0, 0
L 28, -73, -21, 38, -72, -22, 0, 0, 0
L 17, -73, -22, 28, -73, -21, 0, 0, 0
L 14, -73, -22, 17, -73, -22, 0, 0, 0
L -3, -74, -24, 14, -73, -22, 0, 0, 0
L -13, -74, -25, -3, -74, -24, 0, 0, 0
L -24, -73, -24, -13, -74, -25, 0, 0, 0
L -39, -72, -23, -24, -73, -24, 0, 0, 0
L -43, -71, -23, -39, -72, -23, 0, 0, 0
L -56, -69, -22, -43, -71, -23, 0, 0, 0
L -59, -68, -22, -56, -69, -22, 0, 0, 0
L -85, -69, -22, -59, -68, -22, 0, 0, 0
L -89, -69, -21, -85, -69, -22, 0, 0, 0
L -109, -72, -14, -89, -69, -21, 0, 0, 0
L -118, -74, -14, -109, -72, -14, 0, 0, 0
