P 700, 1100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 700, 1300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 700, 1500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 981, 202, -99, 981, 211, -101, 0, 0, 0
L 981, 201, -99, 981, 202, -99, 0, 0, 0
L 980, 195, -102, 981, 201, -99, 0, 0, 0
L 973, 195, -101, 980, 195, -102, 0, 0, 0
L 966, 196, -101, 973, 195, -101, 0, 0, 0
L 960, 194, -100, 966, 196, -101, 0, 0, 0
L 960, 181, -100, 960, 194, -100, 0, 0, 0
L 1154, 342, -121, 1153, 368, -119, 0, 0, 0
L 1151, 340, -118, 1154, 342, -121, 0, 0, 0
L 1142, 338, -118, 1151, 340, -118, 0, 0, 0
L 1135, 331, -122, 1142, 338, -118, 0, 0, 0
L 1127, 329, -120, 1135, 331, -122, 0, 0, 0
L 1122, 330, -120, 1127, 329, -120, 0, 0, 0
L 1104, 331, -119, 1122, 330, -120, 0, 0, 0
L 1116, 303, -119, 1045, 302, -120, 0, 0, 0
L 1125, 304, -120, 1116, 303, -119, 0, 0, 0
L 1153, 303, -121, 1125, 304, -120, 0, 0, 0
L 1185, 306, -122, 1153, 303, -121, 0, 0, 0
L 1191, 307, -122, 1185, 306, -122, 0, 0, 0
L 1197, 306, -121, 1191, 307, -122, 0, 0, 0
L 1208, 306, -121, 1197, 306, -121, 0, 0, 0
L 1213, 305, -121, 1208, 306, -121, 0, 0, 0
L 1224, 302, -121, 1213, 305, -121, 0, 0, 0
L 1228, 298, -115, 1224, 302, -121, 0, 0, 0
L 1236, 299, -119, 1228, 298, -115, 0, 0, 0
L 1237, 324, -122, 1236, 299, -119, 0, 0, 0
L 1236, 331, -122, 1237, 324, -122, 0, 0, 0
L 1225, 335, -121, 1236, 331, -122, 0, 0, 0
L 1220, 336, -120, 1225, 335, -121, 0, 0, 0
L 1192, 337, -121, 1220, 336, -120, 0, 0, 0
L 1190, 342, -119, 1192, 337, -121, 0, 0, 0
L 1189, 372, -120, 1190, 342, -119, 0, 0, 0
L 1189, 377, -120, 1189, 372, -120, 0, 0, 0
L 1186, 391, -120, 1189, 377, -120, 0, 0, 0
L 1179, 412, -114, 1186, 391, -120, 0, 0, 0
L 1175, 423, -114, 1179, 412, -114, 0, 0, 0
L 1175, 433, -112, 1175, 423, -114, 0, 0, 0
L 1179, 439, -112, 1175, 433, -112, 0, 0, 0
L 1180, 447, -112, 1179, 439, -112, 0, 0, 0
L 1191, 445, -112, 1180, 447, -112, 0, 0, 0
L 1191, 444, -112, 1191, 445, -112, 0, 0, 0
L 1200, 440, -109, 1191, 444, -112, 0, 0, 0
L 1203, 445, -112, 1200, 440, -109, 0, 0, 0
L 1206, 450, -112, 1203, 445, -112, 0, 0, 0
L 1210, 460, -112, 1206, 450, -112, 0, 0, 0
L 1221, 463, -112, 1210, 460, -112, 0, 0, 0
L 1221, 464, -112, 1221, 463, -112, 0, 0, 0
L 1226, 469, -110, 1221, 464, -112, 0, 0, 0
L 1227, 469, -110, 1226, 469, -110, 0, 0, 0
L 1231, 471, -112, 1227, 469, -110, 0, 0, 0
L 1241, 481, -112, 1231, 471, -112, 0, 0, 0
L 1245, 480, -108, 1241, 481, -112, 0, 0, 0
L 1248, 479, -112, 1245, 480, -108, 0, 0, 0
L 1253, 477, -112, 1248, 479, -112, 0, 0, 0
L 1262, 476, -112, 1253, 477, -112, 0, 0, 0
L 1274, 476, -112, 1262, 476, -112, 0, 0, 0
L 1284, 477, -112, 1274, 476, -112, 0, 0, 0
L 1289, 486, -112, 1284, 477, -112, 0, 0, 0
L 1291, 492, -112, 1289, 486, -112, 0, 0, 0
L 1291, 500, -112, 1291, 492, -112, 0, 0, 0
L 1290, 521, -113, 1291, 500, -112, 0, 0, 0
L 1291, 529, -112, 1290, 521, -113, 0, 0, 0
L 1292, 538, -112, 1291, 529, -112, 0, 0, 0
L 1291, 544, -112, 1292, 538, -112, 0, 0, 0
L 1290, 581, -112, 1291, 544, -112, 0, 0, 0
L 1289, 587, -112, 1290, 581, -112, 0, 0, 0
L 1287, 592, -112, 1289, 587, -112, 0, 0, 0
L 1279, 601, -112, 1287, 592, -112, 0, 0, 0
L 1272, 612, -112, 1279, 601, -112, 0, 0, 0
L 1266, 617, -112, 1272, 612, -112, 0, 0, 0
L 1255, 619, -112, 1266, 617, -112, 0, 0, 0
L 1237, 619, -112, 1255, 619, -112, 0, 0, 0
L 1221, 621, -112, 1237, 619, -112, 0, 0, 0
L 1199, 620, -112, 1221, 621, -112, 0, 0, 0
L 1188, 619, -112, 1199, 620, -112, 0, 0, 0
L 1164, 619, -113, 1188, 619, -112, 0, 0, 0
L 1160, 622, -108, 1164, 619, -113, 0, 0, 0
L 1155, 624, -111, 1160, 622, -108, 0, 0, 0
L 1147, 621, -113, 1155, 624, -111, 0, 0, 0
L 1143, 619, -112, 1147, 621, -113, 0, 0, 0
L 1133, 614, -112, 1143, 619, -112, 0, 0, 0
L 1114, 596, -110, 1133, 614, -112, 0, 0, 0
L 1110, 589, -108, 1114, 596, -110, 0, 0, 0
L 1110, 582, -112, 1110, 589, -108, 0, 0, 0
L 1111, 578, -112, 1110, 582, -112, 0, 0, 0
L 1112, 572, -113, 1111, 578, -112, 0, 0, 0
L 1113, 563, -115, 1112, 572, -113, 0, 0, 0
L 1112, 555, -113, 1113, 563, -115, 0, 0, 0
L 1112, 536, -112, 1112, 555, -113, 0, 0, 0
L 1112, 533, -113, 1112, 536, -112, 0, 0, 0
L 1112, 518, -113, 1112, 533, -113, 0, 0, 0
L 1112, 489, -112, 1112, 518, -113, 0, 0, 0
L 1111, 485, -112, 1112, 489, -112, 0, 0, 0
L 1109, 477, -110, 1111, 485, -112, 0, 0, 0
L 1111, 472, -112, 1109, 477, -110, 0, 0, 0
L 1119, 461, -112, 1111, 472, -112, 0, 0, 0
L 1137, 443, -112, 1119, 461, -112, 0, 0, 0
L 1144, 440, -109, 1137, 443, -112, 0, 0, 0
L 1148, 440, -113, 1144, 440, -109, 0, 0, 0
L 1152, 445, -113, 1148, 440, -113, 0, 0, 0
L 1158, 447, -112, 1152, 445, -113, 0, 0, 0
L 1163, 446, -112, 1158, 447, -112, 0, 0, 0
L 1165, 440, -111, 1163, 446, -112, 0, 0, 0
L 1166, 435, -111, 1165, 440, -111, 0, 0, 0
L 1165, 428, -113, 1166, 435, -111, 0, 0, 0
L 1164, 427, -113, 1165, 428, -113, 0, 0, 0
L 1160, 418, -113, 1164, 427, -113, 0, 0, 0
L 1157, 409, -114, 1160, 418, -113, 0, 0, 0
L 1155, 403, -117, 1157, 409, -114, 0, 0, 0
L 1154, 394, -120, 1155, 403, -117, 0, 0, 0
L 1154, 387, -120, 1154, 394, -120, 0, 0, 0
L 1153, 375, -119, 1154, 387, -120, 0, 0, 0
L 1154, 366, -121, 1153, 375, -119, 0, 0, 0
L 1156, 355, -120, 1154, 366, -121, 0, 0, 0
L 1040, -331, -92, 1034, -327, -95, 0, 0, 0
L 1042, -336, -93, 1040, -331, -92, 0, 0, 0
L 1043, -342, -94, 1042, -336, -93, 0, 0, 0
L 1047, -355, -91, 1043, -342, -94, 0, 0, 0
L 1049, -365, -90, 1047, -355, -91, 0, 0, 0
L 1055, -375, -90, 1049, -365, -90, 0, 0, 0
L 1053, -381, -90, 1055, -375, -90, 0, 0, 0
L 1042, -389, -91, 1053, -381, -90, 0, 0, 0
L 1040, -392, -91, 1042, -389, -91, 0, 0, 0
L 1033, -386, -90, 1040, -392, -91, 0, 0, 0
L 1023, -386, -91, 1033, -386, -90, 0, 0, 0
L 1013, -386, -91, 1023, -386, -91, 0, 0, 0
L 994, -385, -90, 1013, -386, -91, 0, 0, 0
L 972, -385, -91, 994, -385, -90, 0, 0, 0
L 965, -383, -91, 972, -385, -91, 0, 0, 0
L 961, -387, -91, 965, -383, -91, 0, 0, 0
L 960, -405, -91, 961, -387, -91, 0, 0, 0
L 962, -438, -91, 960, -405, -91, 0, 0, 0
L 961, -505, -91, 962, -438, -91, 0, 0, 0
L 961, -519, -91, 961, -505, -91, 0, 0, 0
L 970, -520, -91, 961, -519, -91, 0, 0, 0
L 1008, -521, -91, 970, -520, -91, 0, 0, 0
L 1025, -519, -91, 1008, -521, -91, 0, 0, 0
L 1082, -520, -91, 1025, -519, -91, 0, 0, 0
L 1096, -521, -91, 1082, -520, -91, 0, 0, 0
L 1099, -516, -91, 1096, -521, -91, 0, 0, 0
L 1099, -478, -91, 1099, -516, -91, 0, 0, 0
L 1098, -470, -91, 1099, -478, -91, 0, 0, 0
L 1098, -439, -91, 1098, -470, -91, 0, 0, 0
L 1099, -413, -91, 1098, -439, -91, 0, 0, 0
L 1098, -398, -91, 1099, -413, -91, 0, 0, 0
L 1099, -387, -91, 1098, -398, -91, 0, 0, 0
L 1095, -385, -85, 1099, -387, -91, 0, 0, 0
L 1087, -385, -84, 1095, -385, -85, 0, 0, 0
L 1074, -384, -90, 1087, -385, -84, 0, 0, 0
L 1073, -383, -90, 1074, -384, -90, 0, 0, 0
L 1071, -375, -90, 1073, -383, -90, 0, 0, 0
L 1072, -370, -90, 1071, -375, -90, 0, 0, 0
L 1074, -364, -91, 1072, -370, -90, 0, 0, 0
L 1076, -355, -93, 1074, -364, -91, 0, 0, 0
L 1077, -346, -96, 1076, -355, -93, 0, 0, 0
L 1080, -335, -96, 1077, -346, -96, 0, 0, 0
L 1080, -334, -97, 1080, -335, -96, 0, 0, 0
L 1083, -328, -97, 1080, -334, -97, 0, 0, 0
L 1095, -328, -95, 1083, -328, -97, 0, 0, 0
L 968, 306, -119, 967, 311, -119, 0, 0, 0
L 969, 299, -119, 968, 306, -119, 0, 0, 0
L 969, 294, -119, 969, 299, -119, 0, 0, 0
L 970, 289, -120, 969, 294, -119, 0, 0, 0
L 970, 281, -118, 970, 289, -120, 0, 0, 0
L 970, 251, -107, 970, 281, -118, 0, 0, 0
L 970, 242, -106, 970, 251, -107, 0, 0, 0
L 972, 232, -100, 970, 242, -106, 0, 0, 0
L 973, 228, -99, 972, 232, -100, 0, 0, 0
L 974, 223, -101, 973, 228, -99, 0, 0, 0
