P 100, 300, 0, 0, 0, 0, 2, Original_Map:_Breganz_of_Crimson_Tempest
P 100, 500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 100, 900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 653, -745, -145, 658, -737, -141, 0, 0, 0
L 658, -737, -141, 665, -732, -139, 0, 0, 0
L 665, -732, -139, 671, -727, -137, 0, 0, 0
L 671, -727, -137, 673, -718, -134, 0, 0, 0
L 673, -718, -134, 673, -703, -134, 0, 0, 0
L 673, -703, -134, 672, -694, -134, 0, 0, 0
L 672, -694, -134, 665, -685, -132, 0, 0, 0
L 665, -685, -132, 651, -679, -131, 0, 0, 0
L 651, -679, -131, 643, -668, -131, 0, 0, 0
L 643, -668, -131, 636, -655, -133, 0, 0, 0
L 636, -655, -133, 632, -641, -134, 0, 0, 0
L 632, -641, -134, 638, -626, -134, 0, 0, 0
L 638, -626, -134, 644, -622, -134, 0, 0, 0
L 644, -622, -134, 647, -617, -130, 0, 0, 0
L 647, -617, -130, 654, -617, -134, 0, 0, 0
L 654, -617, -134, 661, -610, -134, 0, 0, 0
L 661, -610, -134, 666, -609, -134, 0, 0, 0
L 666, -609, -134, 677, -603, -134, 0, 0, 0
L 677, -603, -134, 687, -603, -134, 0, 0, 0
L 687, -603, -134, 700, -596, -134, 0, 0, 0
L 700, -596, -134, 709, -599, -134, 0, 0, 0
L 709, -599, -134, 722, -604, -134, 0, 0, 0
L 722, -604, -134, 728, -613, -134, 0, 0, 0
L 728, -613, -134, 734, -622, -133, 0, 0, 0
L 734, -622, -133, 742, -626, -134, 0, 0, 0
L 742, -626, -134, 743, -636, -134, 0, 0, 0
L 743, -636, -134, 749, -640, -132, 0, 0, 0
L 749, -640, -132, 745, -654, -134, 0, 0, 0
L 745, -654, -134, 746, -663, -134, 0, 0, 0
L 746, -663, -134, 740, -675, -134, 0, 0, 0
L 740, -675, -134, 748, -677, -134, 0, 0, 0
L 759, -674, -134, 771, -679, -134, 0, 0, 0
L 759, -674, -134, 748, -677, -134, 0, 0, 0
L 771, -679, -134, 767, -688, -134, 0, 0, 0
L 767, -688, -134, 766, -695, -134, 0, 0, 0
L 766, -695, -134, 761, -697, -134, 0, 0, 0
L 761, -697, -134, 759, -709, -134, 0, 0, 0
L 759, -709, -134, 751, -712, -134, 0, 0, 0
L 751, -712, -134, 742, -713, -134, 0, 0, 0
L 742, -713, -134, 730, -710, -134, 0, 0, 0
L 730, -710, -134, 726, -705, -134, 0, 0, 0
L 726, -705, -134, 724, -698, -134, 0, 0, 0
L 724, -698, -134, 716, -696, -134, 0, 0, 0
L 716, -696, -134, 708, -699, -134, 0, 0, 0
L 708, -699, -134, 700, -703, -134, 0, 0, 0
L 700, -703, -134, 703, -709, -134, 0, 0, 0
L 703, -709, -134, 701, -717, -134, 0, 0, 0
L 701, -717, -134, 701, -727, -137, 0, 0, 0
L 701, -727, -137, 696, -730, -134, 0, 0, 0
L 696, -730, -134, 693, -735, -145, 0, 0, 0
L 673, -771, -156, 671, -764, -156, 0, 0, 255
L 671, -764, -156, 668, -747, -155, 0, 0, 255
L 670, -746, -155, 675, -729, -161, 0, 0, 255
L 675, -729, -161, 676, -716, -166, 0, 0, 255
L 676, -716, -166, 681, -708, -173, 0, 0, 255
L 681, -708, -173, 685, -702, -177, 0, 0, 255
L 685, -702, -177, 692, -693, -179, 0, 0, 255
L 692, -693, -179, 700, -686, -176, 0, 0, 255
L 700, -686, -176, 719, -683, -178, 0, 0, 255
L 720, -683, -180, 727, -679, -184, 0, 0, 255
L 727, -679, -184, 737, -677, -193, 0, 0, 255
L 737, -677, -193, 746, -689, -198, 0, 0, 255
L 746, -689, -200, 759, -689, -202, 0, 0, 255
L 759, -689, -202, 756, -697, -202, 0, 0, 255
L 756, -697, -202, 753, -707, -202, 0, 0, 255
L 753, -707, -202, 755, -718, -199, 0, 0, 255
L 755, -718, -199, 744, -722, -194, 0, 0, 255
L 744, -722, -194, 734, -719, -188, 0, 0, 255
L 734, -719, -188, 727, -717, -183, 0, 0, 255
L 727, -717, -183, 719, -719, -177, 0, 0, 255
L 719, -719, -177, 710, -717, -176, 0, 0, 255
L 710, -717, -176, 701, -722, -175, 0, 0, 255
L 701, -722, -175, 692, -726, -171, 0, 0, 255
L 692, -726, -171, 691, -730, -166, 0, 0, 255
L 691, -730, -166, 693, -736, -158, 0, 0, 255
L 733, -688, -134, 749, -690, -134, 0, 240, 240
L 749, -690, -134, 757, -695, -134, 0, 240, 240
L 757, -695, -134, 755, -704, -134, 0, 240, 240
L 741, -706, -134, 737, -706, -134, 0, 240, 240
L 755, -704, -134, 741, -706, -134, 0, 240, 240
L 737, -706, -134, 734, -698, -134, 0, 240, 240
L 734, -698, -134, 733, -688, -134, 0, 240, 240
L 69, -540, 10, 69, -549, 8, 0, 0, 0
L 69, -549, 8, 73, -565, 11, 0, 0, 0
L 73, -565, 11, 68, -574, 10, 0, 0, 0
L 68, -574, 10, 72, -591, 8, 0, 0, 0
L 72, -591, 8, 67, -599, 8, 0, 0, 0
L 67, -599, 8, 64, -613, 9, 0, 0, 0
L 64, -613, 9, 59, -618, 10, 0, 0, 0
L 59, -618, 10, 57, -622, 10, 0, 0, 0
L 57, -622, 10, 53, -628, 9, 0, 0, 0
L 53, -628, 9, 41, -641, 10, 0, 0, 0
L 41, -641, 10, 38, -643, 10, 0, 0, 0
L 38, -643, 10, 35, -658, 12, 0, 0, 0
L 35, -658, 12, 30, -664, 14, 0, 0, 0
L 30, -664, 14, 17, -667, 11, 0, 0, 0
L 17, -667, 11, 12, -673, 11, 0, 0, 0
L 12, -673, 11, -1, -672, 10, 0, 0, 0
L -1, -672, 10, -8, -676, 7, 0, 0, 0
L -8, -676, 7, -14, -677, 4, 0, 0, 0
L -17, -677, 2, -9, -673, 5, 0, 0, 255
L -9, -673, 5, -5, -666, 5, 0, 0, 255
L -5, -666, 5, -4, -657, 6, 0, 0, 255
L -4, -657, 6, -9, -653, 5, 0, 0, 255
L -11, -646, 5, -4, -643, 5, 0, 0, 255
L -4, -643, 5, -12, -629, 2, 0, 0, 255
L -12, -629, 0, -19, -627, 1, 0, 0, 255
L -19, -627, 1, -25, -621, 2, 0, 0, 255
L -25, -621, 2, -32, -622, 2, 0, 0, 255
L -32, -622, 2, -38, -617, 2, 0, 0, 255
L -38, -617, 2, -40, -605, 2, 0, 0, 255
L -40, -605, 2, -32, -596, 2, 0, 0, 255
L -32, -596, 2, -28, -589, 2, 0, 0, 255
L -28, -589, 2, -22, -587, 3, 0, 0, 255
L -22, -587, 3, -16, -584, 6, 0, 0, 255
L -16, -584, 6, -8, -582, 6, 0, 0, 255
L -8, -582, 6, 0, -577, 4, 0, 0, 255
L 0, -577, 4, 6, -569, 5, 0, 0, 255
L 6, -569, 5, 8, -559, 5, 0, 0, 255
L 8, -559, 5, -1, -550, 6, 0, 0, 255
L -2, -549, 6, -11, -547, 7, 0, 0, 255
L -11, -547, 7, -13, -538, 7, 0, 0, 255
L -13, -538, 7, -15, -527, 5, 0, 0, 255
L -15, -527, 5, -18, -523, 5, 0, 0, 255
L -18, -523, 5, -25, -515, 5, 0, 0, 255
L -25, -515, 5, -27, -513, 5, 0, 0, 255
L -27, -513, 5, -43, -513, 4, 0, 0, 255
L -43, -513, 4, -49, -515, 5, 0, 0, 255
L -58, -525, 5, -49, -515, 5, 0, 0, 255
L -58, -526, 5, -61, -539, 5, 0, 0, 255
L -61, -539, 5, -64, -544, 5, 0, 0, 255
L -64, -544, 5, -78, -552, 4, 0, 0, 255
L -78, -552, 4, -83, -559, 4, 0, 0, 255
L -83, -559, 4, -78, -576, 7, 0, 0, 255
L -78, -576, 7, -65, -580, 10, 0, 0, 255
L -65, -580, 10, -63, -595, 7, 0, 0, 255
L -63, -595, 7, -64, -597, 7, 0, 0, 255
L -64, -597, 7, -66, -605, 7, 0, 0, 255
L -66, -605, 7, -73, -615, 6, 0, 0, 255
L -73, -615, 6, -75, -623, 4, 0, 0, 255
L -75, -623, 4, -74, -630, 5, 0, 0, 255
L -74, -630, 5, -70, -638, 5, 0, 0, 255
L -60, -648, 7, -56, -651, 8, 0, 0, 255
L -65, -642, 5, -70, -638, 5, 0, 0, 255
L -17, -677, 2, -24, -682, 1, 0, 0, 255
L -24, -682, 1, -28, -682, 2, 0, 0, 255
L -28, -682, 2, -36, -685, 3, 0, 0, 255
L -36, -685, 3, -41, -687, 4, 0, 0, 255
L -41, -687, 4, -46, -687, 4, 0, 0, 255
L -46, -687, 4, -49, -689, 4, 0, 0, 0
L -49, -689, 4, -52, -696, 4, 0, 0, 0
L -52, -699, 4, -47, -710, 4, 0, 0, 0
L -47, -710, 4, -45, -712, 4, 0, 0, 0
L -45, -712, 4, -34, -712, 4, 0, 0, 0
L -34, -712, 4, -29, -708, 4, 0, 0, 0
L -29, -708, 4, -27, -700, 4, 0, 0, 0
