P 200, 1300, 0, 0, 0, 0, 2, Original_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 200, 1500, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 200, 1700, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -1515.4254, -622.4254, 108.0019, -1462.7800, -622.2590, 108.0019, 0, 0, 0
L -1462.7800, -622.2590, 108.0019, -1439.6346, -621.8453, 120.0020, 0, 0, 0
L -1439.6346, -621.8453, 120.0020, -1431.5741, -622.4257, 120.0020, 0, 0, 0
L -1431.5741, -622.4257, 120.0020, -1431.5089, -616.7193, 120.0020, 0, 0, 0
L -1431.5089, -616.7193, 120.0020, -1425.7776, -616.8679, 120.0019, 0, 0, 0
L -1425.7776, -616.8679, 120.0019, -1425.4257, -622.4257, 120.0020, 0, 0, 0
L -1358.5742, -622.4258, 120.0020, -1425.4257, -622.4257, 120.0020, 0, 0, 0
L -1358.5742, -622.4258, 120.0020, -1361.0000, -539.0000, 120.0039, 0, 0, 0
L -1409.4255, -493.5741, 120.0020, -1410.2673, -574.0459, 120.0020, 0, 0, 0
L -1410.2673, -574.0459, 120.0020, -1425.4255, -573.5735, 120.0020, 0, 0, 0
L -1425.4255, -573.5735, 120.0020, -1431.5741, -573.5742, 120.0020, 0, 0, 0
L -1431.5741, -573.5742, 120.0020, -1439.5162, -573.5754, 120.0020, 0, 0, 0
L -1439.5162, -573.5754, 120.0020, -1459.5254, -573.5754, 110.0028, 0, 0, 0
L -1459.5254, -573.5754, 110.0028, -1464.1172, -573.5746, 108.0020, 0, 0, 0
L -1464.1172, -573.5746, 108.0020, -1466.4613, -572.6782, 108.0020, 0, 0, 0
L 28.8591, -392.8591, 118.0061, 218.7465, -393.5255, 118.0020, 127, 127, 127
L 218.7465, -393.5255, 118.0020, 219.1348, -583.1379, 118.0047, 127, 127, 127
L 219.1348, -583.1379, 118.0047, 28.8920, -583.1287, 118.0028, 127, 127, 127
L 28.8920, -583.1287, 118.0028, 28.8925, -392.8618, 118.0045, 127, 127, 127
L 34.0837, -397.1085, 116.0020, 215.1380, -398.2314, 116.0046, 127, 127, 127
L 215.1380, -398.2314, 116.0046, 215.0300, -578.2477, 116.0020, 127, 127, 127
L 215.0300, -578.2477, 116.0020, 32.8620, -579.1313, 116.0043, 127, 127, 127
L 32.8620, -579.1313, 116.0043, 33.5943, -396.8619, 116.0039, 127, 127, 127
L 38.4028, -401.3198, 114.0028, 210.8089, -401.1270, 114.0029, 127, 127, 127
L 210.8089, -401.1270, 114.0029, 210.4681, -574.6359, 114.0028, 127, 127, 127
L 210.4681, -574.6359, 114.0028, 37.1816, -574.4905, 114.0028, 127, 127, 127
L 37.1816, -574.4905, 114.0028, 39.0672, -400.8618, 114.0046, 127, 127, 127
L 142.0000, -133.0000, 0.0000, 95.2333, -86.6947, 12.0020, 0, 0, 240
L 95.2333, -86.6947, 12.0020, 49.1601, -41.8985, 21.0020, 0, 0, 240
L 49.1601, -41.8985, 21.0020, 66.2548, -0.1326, 21.0020, 0, 0, 240
L 66.2548, -0.1326, 21.0020, 49.9847, 42.7015, 21.0020, 0, 0, 240
L 49.9847, 42.7015, 21.0020, 57.2565, 49.8974, 19.7242, 0, 0, 240
L 57.2565, 49.8974, 19.7242, 89.1613, 80.0755, 12.0020, 0, 0, 240
L 89.1613, 80.0755, 12.0020, 142.0000, 133.0000, 0.0000, 0, 0, 240
L 133.0000, 142.0000, 0.0000, 42.5260, 49.5610, 21.0020, 0, 0, 240
L 42.5260, 49.5610, 21.0020, 4.7766, 62.5468, 21.0020, 0, 0, 240
