P -3000, 1200, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -3000, 1400, 0, 0, 0, 0, 2, www.eqmaps.info
P -3000, 1600, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -803, -130, 89, -812, -130, 90, 100, 50, 0
L -781, -129, 89, -792, -130, 89, 100, 50, 0
L -782, -87, 89, -781, -129, 89, 100, 50, 0
L -813, -88, 89, -782, -87, 89, 100, 50, 0
L -812, -130, 90, -813, -88, 89, 100, 50, 0
L -88, -221, -18, -91, -220, -16, 100, 50, 0
L -85, -208, -17, -88, -221, -18, 100, 50, 0
L -130, -196, -16, -85, -208, -17, 100, 50, 0
L -133, -209, -16, -130, -196, -16, 100, 50, 0
L -137, -207, -16, -133, -209, -16, 100, 50, 0
L -140, -216, -16, -137, -207, -16, 100, 50, 0
L -136, -217, -17, -140, -216, -16, 100, 50, 0
L -139, -229, -17, -136, -217, -17, 100, 50, 0
L -95, -242, -18, -139, -229, -17, 100, 50, 0
L -91, -230, -18, -95, -242, -18, 100, 50, 0
L -128, -198, -16, -136, -228, -16, 100, 50, 0
L -88, -209, -16, -128, -198, -16, 100, 50, 0
L -91, -220, -16, -88, -209, -16, 100, 50, 0
L -96, -240, -16, -91, -230, -18, 100, 50, 0
L -136, -228, -16, -96, -240, -16, 100, 50, 0
L 533, 87, -38, 491, 84, -37, 100, 50, 0
L 533, 76, -38, 533, 87, -38, 100, 50, 0
L 535, 56, -38, 534, 65, -38, 100, 50, 0
L 493, 53, -37, 535, 56, -38, 100, 50, 0
L 491, 84, -37, 493, 53, -37, 100, 50, 0
L 690, -1173, -43, 700, -1173, -43, 0, 0, 0
L 690, -1176, -43, 690, -1173, -43, 0, 0, 0
L 701, -1176, -44, 690, -1176, -43, 0, 0, 0
L 702, -1085, -44, 701, -1176, -44, 0, 0, 0
L 688, -1084, -43, 702, -1085, -44, 0, 0, 0
L 688, -1080, -43, 688, -1084, -43, 0, 0, 0
L 679, -1080, -43, 688, -1080, -43, 0, 0, 0
L 679, -1084, -43, 679, -1080, -43, 0, 0, 0
L 667, -1085, -43, 679, -1084, -43, 0, 0, 0
L 667, -1176, -43, 667, -1085, -43, 0, 0, 0
L 679, -1176, -43, 667, -1176, -43, 0, 0, 0
L 679, -1173, -43, 679, -1176, -43, 0, 0, 0
L 669, -1173, -43, 679, -1173, -43, 0, 0, 0
L 669, -1156, -43, 669, -1173, -43, 0, 0, 0
L 676, -1156, -43, 669, -1156, -43, 205, 133, 63
L 676, -1145, -43, 676, -1156, -43, 205, 133, 63
L 673, -1145, -43, 676, -1145, -43, 205, 133, 63
L 673, -1153, -43, 673, -1145, -43, 205, 133, 63
L 669, -1153, -43, 673, -1153, -43, 205, 133, 63
L 669, -1131, -43, 669, -1153, -43, 0, 0, 0
L 669, -1131, -43, 679, -1131, -43, 0, 0, 0
L 669, -1087, -43, 669, -1129, -43, 0, 0, 0
L 700, -1087, -43, 669, -1087, -43, 0, 0, 0
L 700, -1129, -43, 700, -1087, -43, 0, 0, 0
L 700, -1131, -43, 689, -1131, -43, 0, 0, 0
L 700, -1173, -43, 700, -1131, -43, 0, 0, 0
L 829, -1412, -47, 818, -1412, -47, 100, 50, 0
L 829, -1409, -47, 829, -1412, -47, 100, 50, 0
L 816, -1409, -47, 829, -1409, -47, 100, 50, 0
L 816, -1456, -47, 816, -1409, -47, 100, 50, 0
L 829, -1456, -47, 816, -1456, -47, 100, 50, 0
L 829, -1460, -47, 829, -1456, -47, 100, 50, 0
L 839, -1460, -47, 829, -1460, -47, 100, 50, 0
L 838, -1456, -47, 839, -1460, -47, 100, 50, 0
L 851, -1456, -48, 838, -1456, -47, 100, 50, 0
L 851, -1410, -48, 851, -1456, -48, 100, 50, 0
L 838, -1409, -47, 851, -1410, -48, 100, 50, 0
L 838, -1412, -46, 838, -1409, -47, 100, 50, 0
L 849, -1412, -47, 838, -1412, -46, 100, 50, 0
L 849, -1454, -47, 849, -1412, -47, 100, 50, 0
L 818, -1454, -47, 849, -1454, -47, 100, 50, 0
L 818, -1412, -47, 818, -1454, -47, 100, 50, 0
L -4039, 47, 485, -4027, 190, 491, 150, 100, 0
L -3914, -46, 466, -4039, 47, 485, 150, 100, 0
L -3910, -153, 464, -3914, -46, 466, 150, 100, 0
L -3921, -316, 471, -3910, -153, 464, 150, 100, 0
L -3795, -390, 449, -3921, -316, 471, 150, 100, 0
L -3787, -447, 448, -3795, -390, 449, 150, 100, 0
L -3678, -514, 437, -3787, -447, 448, 150, 100, 0
L -3668, -570, 437, -3678, -514, 437, 150, 100, 0
L -3578, -624, 428, -3668, -570, 437, 150, 100, 0
L -3551, -693, 429, -3578, -624, 428, 150, 100, 0
L -3446, -757, 409, -3551, -693, 429, 150, 100, 0
