P -500, 3100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -500, 3300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -500, 3500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -526.0000, 180.0000, -408.0000,  -525.0000, 85.0000, -395.0000,  0, 0, 0
L -494.0000, 183.0000, -409.0000,  -526.0000, 180.0000, -408.0000,  0, 0, 0
L -484.0000, 204.0000, -409.0000,  -494.0000, 183.0000, -409.0000,  0, 0, 0
L -494.0000, 227.0000, -409.0000,  -484.0000, 204.0000, -409.0000,  0, 0, 0
L -522.0000, 242.0000, -409.0000,  -494.0000, 227.0000, -409.0000,  0, 0, 0
L -549.0000, 223.0000, -409.0000,  -522.0000, 242.0000, -409.0000,  0, 0, 0
L -562.0000, 227.0000, -409.0000,  -549.0000, 223.0000, -409.0000,  0, 0, 0
L -568.0000, 206.0000, -409.0000,  -562.0000, 227.0000, -409.0000,  0, 0, 0
L -562.0000, 183.0000, -409.0000,  -568.0000, 206.0000, -409.0000,  0, 0, 0
L -546.0000, 180.0000, -405.0000,  -562.0000, 183.0000, -409.0000,  0, 0, 0
L -547.0000, 103.0000, -396.0000,  -546.0000, 180.0000, -405.0000,  0, 0, 0
L -826.0000, -136.0000, -430.0000,  -809.0000, -87.0000, -432.0000,  240, 127, 0
L -825.0000, -135.0000, -432.0000,  -910.0000, -163.0000, -430.0000,  240, 127, 0
L -2344.0000, 2454.0000, -355.0000,  -2321.0000, 2445.0000, -354.0000,  0, 240, 0
L -2358.0000, 2431.0000, -352.0000,  -2344.0000, 2454.0000, -354.0000,  0, 240, 0
L -2277.0000, 2217.0000, -355.0000,  -2317.0000, 2266.0000, -352.0000,  0, 240, 0
L -2226.0000, 2188.0000, -343.0000,  -2277.0000, 2217.0000, -355.0000,  0, 240, 0
L -1686.0000, 2261.0000, -283.0000,  -1875.0000, 2242.0000, -290.0000,  0, 240, 0
L -1454.0000, 2216.0000, -324.0000,  -1686.0000, 2261.0000, -283.0000,  0, 240, 0
L -839.0000, 2208.0000, -352.0000,  -818.0000, 2234.0000, -352.0000,  0, 240, 0
