P -200, 1200, 0, 0, 0, 0, 2, The_Maw_of_the_Menagerie_(MIRB)
P -200, 1400, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, 1600, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -200, 1800, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L -579.0, -1498.0, 13.0, -610.0, -1464.0, 7.0, 150, 150, 150
L -610.0, -1464.0, 7.0, -640.0, -1473.0, 10.0, 150, 150, 150
L -640.0, -1473.0, 10.0, -648.0, -1464.0, 10.0, 150, 150, 150
L -648.0, -1464.0, 10.0, -656.0, -1468.0, 17.0, 150, 150, 150
L -641.0, -1474.0, 16.0, -661.0, -1480.0, 17.0, 150, 150, 150
L -683.0, -1458.0, 5.0, -672.0, -1462.0, 13.0, 150, 150, 150
L -672.0, -1462.0, 13.0, -674.0, -1476.0, 21.0, 150, 150, 150
L -674.0, -1476.0, 21.0, -697.0, -1483.0, 17.0, 150, 150, 150
L -697.0, -1483.0, 17.0, -675.0, -1527.0, 18.0, 150, 150, 150
L -582.0, -1497.0, 29.0, -600.0, -1512.0, 29.0, 0, 0, 0
L -600.0, -1512.0, 29.0, -649.0, -1524.0, 29.0, 0, 0, 0
L -649.0, -1524.0, 29.0, -677.0, -1522.0, 24.0, 0, 0, 0
L -677.0, -1522.0, 24.0, -687.0, -1507.0, 5.0, 0, 0, 0
L -687.0, -1507.0, 5.0, -705.0, -1491.0, 5.0, 0, 0, 0
L -705.0, -1491.0, 5.0, -727.0, -1464.0, 12.0, 0, 0, 0
L -727.0, -1464.0, 12.0, -724.0, -1452.0, 8.0, 0, 0, 0
L -724.0, -1452.0, 8.0, -720.0, -1421.0, 6.0, 0, 0, 0
L -720.0, -1421.0, 6.0, -716.0, -1405.0, 10.0, 0, 0, 0
L -716.0, -1405.0, 10.0, -688.0, -1382.0, 3.0, 0, 0, 0
L -688.0, -1382.0, 3.0, -669.0, -1376.0, 3.0, 0, 0, 0
L -669.0, -1376.0, 3.0, -665.0, -1362.0, 3.0, 0, 0, 0
L -665.0, -1362.0, 3.0, -656.0, -1360.0, 4.0, 0, 0, 0
