P -200, 900, 0, 0, 0, 0, 2, The_Chambers_of_Eternal_Affliction_(MMCD)
P -200, 1100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, 1300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -200, 1500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 167.0, 630.0, -3.0, 167.0, 642.0, -3.0, 0, 0, 0
L 167.0, 642.0, -3.0, 184.0, 642.0, -3.0, 0, 0, 0
L 184.0, 642.0, -3.0, 185.0, 643.0, -3.0, 0, 0, 0
L 185.0, 643.0, -3.0, 190.0, 643.0, -3.0, 0, 0, 0
L 190.0, 643.0, -3.0, 191.0, 640.0, -3.0, 0, 0, 0
L 191.0, 640.0, -3.0, 193.0, 630.0, -3.0, 0, 0, 0
L 193.0, 630.0, -3.0, 196.0, 627.0, -3.0, 0, 0, 0
L 196.0, 627.0, -3.0, 196.0, 625.0, -3.0, 0, 0, 0
L 196.0, 625.0, -3.0, 194.0, 623.0, -3.0, 0, 0, 0
L 194.0, 623.0, -3.0, 191.0, 619.0, -3.0, 0, 0, 0
L 191.0, 619.0, -3.0, 191.0, 617.0, -3.0, 0, 0, 0
L 191.0, 617.0, -3.0, 192.0, 606.0, 1.0, 0, 0, 0
L 192.0, 606.0, 1.0, 192.0, 604.0, 1.0, 0, 0, 0
L 192.0, 604.0, 1.0, 191.0, 599.0, 1.0, 0, 0, 0
L 191.0, 599.0, 1.0, 191.0, 597.0, 1.0, 0, 0, 0
L 191.0, 597.0, 1.0, 191.0, 587.0, -3.0, 0, 0, 0
L 191.0, 587.0, -3.0, 193.0, 587.0, -3.0, 0, 0, 0
L 193.0, 587.0, -3.0, 195.0, 585.0, -3.0, 0, 0, 0
L 195.0, 585.0, -3.0, 196.0, 583.0, -3.0, 0, 0, 0
L 196.0, 583.0, -3.0, 195.0, 581.0, -3.0, 0, 0, 0
L 195.0, 581.0, -3.0, 194.0, 580.0, -3.0, 0, 0, 0
L 194.0, 580.0, -3.0, 193.0, 580.0, -3.0, 0, 0, 0
L 193.0, 580.0, -3.0, 192.0, 579.0, -3.0, 0, 0, 0
L 192.0, 579.0, -3.0, 191.0, 577.0, -3.0, 0, 0, 0
L 191.0, 577.0, -3.0, 191.0, 564.0, -3.0, 0, 0, 0
L 191.0, 564.0, -3.0, 278.0, 564.0, -3.0, 0, 0, 0
L 278.0, 564.0, -3.0, 278.0, 580.0, -3.0, 0, 0, 0
L 278.0, 580.0, -3.0, 276.0, 580.0, -3.0, 0, 0, 0
L 276.0, 580.0, -3.0, 274.0, 582.0, -3.0, 0, 0, 0
L 274.0, 582.0, -3.0, 274.0, 585.0, -3.0, 0, 0, 0
L 274.0, 585.0, -3.0, 275.0, 586.0, -3.0, 0, 0, 0
L 275.0, 586.0, -3.0, 276.0, 588.0, -3.0, 0, 0, 0
L 276.0, 588.0, -3.0, 277.0, 589.0, -3.0, 0, 0, 0
L 277.0, 589.0, -3.0, 278.0, 591.0, -3.0, 0, 0, 0
L 278.0, 591.0, -3.0, 278.0, 623.0, -3.0, 0, 0, 0
L 278.0, 623.0, -3.0, 276.0, 623.0, -3.0, 0, 0, 0
L 276.0, 623.0, -3.0, 274.0, 625.0, -3.0, 0, 0, 0
L 274.0, 625.0, -3.0, 274.0, 630.0, -3.0, 0, 0, 0
L 274.0, 630.0, -3.0, 278.0, 630.0, -3.0, 0, 0, 0
L 278.0, 630.0, -3.0, 278.0, 632.0, -3.0, 0, 0, 0
L 278.0, 632.0, -3.0, 278.0, 634.0, -2.0, 0, 0, 0
L 278.0, 634.0, -2.0, 278.0, 666.0, -3.0, 0, 0, 0
L 278.0, 666.0, -3.0, 276.0, 666.0, -3.0, 0, 0, 0
L 276.0, 666.0, -3.0, 274.0, 668.0, -3.0, 0, 0, 0
L 274.0, 668.0, -3.0, 274.0, 670.0, -3.0, 0, 0, 0
L 274.0, 670.0, -3.0, 275.0, 672.0, -3.0, 0, 0, 0
L 275.0, 672.0, -3.0, 276.0, 673.0, -3.0, 0, 0, 0
L 276.0, 673.0, -3.0, 278.0, 673.0, -3.0, 0, 0, 0
L 278.0, 673.0, -3.0, 278.0, 689.0, -3.0, 0, 0, 0
L 278.0, 689.0, -3.0, 191.0, 689.0, -3.0, 0, 0, 0
L 191.0, 689.0, -3.0, 191.0, 673.0, -3.0, 0, 0, 0
L 191.0, 673.0, -3.0, 194.0, 673.0, -3.0, 0, 0, 0
L 194.0, 673.0, -3.0, 195.0, 672.0, -3.0, 0, 0, 0
L 195.0, 672.0, -3.0, 196.0, 670.0, -3.0, 0, 0, 0
L 196.0, 670.0, -3.0, 195.0, 668.0, -3.0, 0, 0, 0
L 195.0, 668.0, -3.0, 195.0, 667.0, -3.0, 0, 0, 0
L 195.0, 667.0, -3.0, 194.0, 665.0, -3.0, 0, 0, 0
L 194.0, 665.0, -3.0, 192.0, 665.0, -3.0, 0, 0, 0
L 192.0, 665.0, -3.0, 191.0, 664.0, -3.0, 0, 0, 0
L 191.0, 664.0, -3.0, 191.0, 655.0, -3.0, 0, 0, 0
L 191.0, 655.0, -3.0, 190.0, 654.0, -3.0, 0, 0, 0
L 190.0, 654.0, -3.0, 186.0, 652.0, -3.0, 0, 0, 0
L 186.0, 652.0, -3.0, 177.0, 654.0, -3.0, 0, 0, 0
L 177.0, 654.0, -3.0, 167.0, 654.0, -3.0, 0, 0, 0
L 167.0, 654.0, -3.0, 166.0, 656.0, -3.0, 0, 0, 0
L 166.0, 656.0, -3.0, 167.0, 663.0, -3.0, 0, 0, 0
L 167.0, 663.0, -3.0, 167.0, 667.0, -3.0, 0, 0, 0
L 167.0, 667.0, -3.0, 165.0, 666.0, -3.0, 0, 0, 0
L 165.0, 666.0, -3.0, 164.0, 667.0, -3.0, 0, 0, 0
L 164.0, 667.0, -3.0, 159.0, 670.0, -3.0, 0, 0, 0
L 159.0, 670.0, -3.0, 157.0, 670.0, 1.0, 0, 0, 0
L 157.0, 670.0, 1.0, 154.0, 670.0, 4.0, 0, 0, 0
L 154.0, 670.0, 4.0, 153.0, 670.0, 4.0, 0, 0, 0
L 153.0, 670.0, 4.0, 152.0, 671.0, 4.0, 0, 0, 0
L 152.0, 671.0, 4.0, 151.0, 671.0, 4.0, 0, 0, 0
L 151.0, 671.0, 4.0, 143.0, 671.0, 3.0, 0, 0, 0
L 143.0, 671.0, 3.0, 142.0, 669.0, 6.0, 0, 0, 0
L 142.0, 669.0, 6.0, 139.0, 669.0, 6.0, 0, 0, 0
L 139.0, 669.0, 6.0, 131.0, 670.0, -3.0, 0, 0, 0
L 131.0, 670.0, -3.0, 126.0, 670.0, -3.0, 0, 0, 0
L 126.0, 670.0, -3.0, 126.0, 669.0, -3.0, 0, 0, 0
L 126.0, 669.0, -3.0, 125.0, 667.0, -3.0, 0, 0, 0
L 125.0, 667.0, -3.0, 123.0, 666.0, -3.0, 0, 0, 0
L 123.0, 666.0, -3.0, 122.0, 666.0, -3.0, 0, 0, 0
L 122.0, 666.0, -3.0, 121.0, 665.0, -3.0, 0, 0, 0
L 121.0, 665.0, -3.0, 121.0, 654.0, -3.0, 0, 0, 0
L 121.0, 654.0, -3.0, 104.0, 654.0, -3.0, 0, 0, 0
L 104.0, 654.0, -3.0, 103.0, 653.0, -3.0, 0, 0, 0
L 103.0, 653.0, -3.0, 99.0, 653.0, -3.0, 0, 0, 0
L 99.0, 653.0, -3.0, 97.0, 656.0, -3.0, 0, 0, 0
L 97.0, 656.0, -3.0, 96.0, 660.0, -3.0, 0, 0, 0
L 96.0, 660.0, -3.0, 96.0, 666.0, -3.0, 0, 0, 0
L 96.0, 666.0, -3.0, 94.0, 667.0, -3.0, 0, 0, 0
L 94.0, 667.0, -3.0, 93.0, 668.0, -3.0, 0, 0, 0
L 93.0, 668.0, -3.0, 92.0, 670.0, -3.0, 0, 0, 0
L 92.0, 670.0, -3.0, 93.0, 675.0, -3.0, 0, 0, 0
L 93.0, 675.0, -3.0, 95.0, 676.0, -3.0, 0, 0, 0
L 95.0, 676.0, -3.0, 97.0, 676.0, -3.0, 0, 0, 0
L 97.0, 676.0, -3.0, 97.0, 689.0, -3.0, 0, 0, 0
L 97.0, 689.0, -3.0, 91.0, 689.0, -3.0, 0, 0, 0
L 91.0, 689.0, -3.0, 90.0, 688.0, -3.0, 0, 0, 0
L 90.0, 688.0, -3.0, 89.0, 686.0, -3.0, 0, 0, 0
L 89.0, 686.0, -3.0, 91.0, 685.0, 0.0, 0, 0, 0
L 91.0, 685.0, 0.0, 92.0, 683.0, -3.0, 0, 0, 0
L 92.0, 683.0, -3.0, 92.0, 682.0, -3.0, 0, 0, 0
