P -500, 500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -500, 700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -500, 900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 1866.0, -1122.0, -187.0, 1811.0, -980.0, -187.0, 0, 0, 0
L 1871.0, -1132.0, -187.0, 1866.0, -1122.0, -187.0, 0, 0, 0
L 1965.0, -1093.0, -187.0, 1871.0, -1132.0, -187.0, 0, 0, 0
L 1976.0, -1118.0, -187.0, 1965.0, -1093.0, -187.0, 0, 0, 0
L 1880.0, -1152.0, -187.0, 1976.0, -1118.0, -187.0, 0, 0, 0
L 1884.0, -1165.0, -187.0, 1880.0, -1152.0, -187.0, 0, 0, 0
L 1811.0, -980.0, -187.0, 1799.0, -945.0, -187.0, 0, 0, 0
L 1799.0, -945.0, -187.0, 1790.0, -926.0, -187.0, 0, 0, 0
L 1790.0, -926.0, -187.0, 1890.0, -887.0, -187.0, 0, 0, 0
L 1890.0, -887.0, -187.0, 1879.0, -861.0, -187.0, 0, 0, 0
L 1879.0, -861.0, -187.0, 1782.0, -902.0, -187.0, 0, 0, 0
L 1782.0, -902.0, -187.0, 1743.0, -801.0, -187.0, 0, 0, 0
L 1743.0, -801.0, -187.0, 1715.0, -812.0, -187.0, 0, 0, 0
L 1715.0, -812.0, -187.0, 1719.0, -822.0, -187.0, 0, 0, 0
L 1719.0, -822.0, -187.0, 1720.0, -828.0, -187.0, 0, 0, 0
L 1720.0, -828.0, -187.0, 1746.0, -892.0, -187.0, 0, 0, 0
L 1746.0, -892.0, -187.0, 1750.0, -893.0, -187.0, 0, 0, 0
L 1750.0, -893.0, -187.0, 1755.0, -907.0, -187.0, 0, 0, 0
L 1755.0, -907.0, -187.0, 1748.0, -914.0, -187.0, 0, 0, 0
L 1748.0, -914.0, -187.0, 1643.0, -954.0, -185.0, 0, 0, 0
L 1643.0, -954.0, -185.0, 1621.0, -950.0, -194.0, 0, 0, 0
L 1621.0, -950.0, -194.0, 1619.0, -950.0, -194.0, 0, 0, 0
L 1619.0, -950.0, -194.0, 1613.0, -939.0, -194.0, 0, 0, 0
L 1613.0, -939.0, -194.0, 1622.0, -926.0, -192.0, 0, 0, 0
L 1622.0, -926.0, -192.0, 1624.0, -924.0, -192.0, 0, 0, 0
L 1624.0, -924.0, -192.0, 1627.0, -915.0, -187.0, 0, 0, 0
L 1627.0, -915.0, -187.0, 1625.0, -897.0, -187.0, 0, 0, 0
