P 700, 1300, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 700, 1500, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 700, 1700, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 182, 23, -14, 182, 83, -14, 0, 0, 0
L 277, 23, -14, 182, 23, -14, 0, 0, 0
L 289, 25, -14, 277, 23, -14, 0, 0, 0
L 300, 21, -11, 289, 25, -14, 0, 0, 0
L 301, 21, -11, 300, 21, -11, 0, 0, 0
L 311, 16, -13, 301, 21, -11, 0, 0, 0
L 312, 11, -14, 311, 16, -13, 0, 0, 0
L 310, 4, -13, 312, 11, -14, 0, 0, 0
L 301, 3, -5, 310, 4, -13, 0, 0, 0
L 299, 3, -10, 301, 3, -5, 0, 0, 0
L 300, -44, -14, 299, 3, -10, 0, 0, 0
L 315, -47, -14, 300, -44, -14, 0, 0, 0
L 315, -49, -14, 315, -47, -14, 0, 0, 0
L 323, -45, -12, 315, -49, -14, 0, 0, 0
L 327, -50, -12, 323, -45, -12, 0, 0, 0
L 330, -55, -13, 327, -50, -12, 0, 0, 0
L 328, -59, -14, 330, -55, -13, 0, 0, 0
L 330, -117, -14, 328, -59, -14, 0, 0, 0
L 316, -130, -14, 330, -117, -14, 0, 0, 0
L 314, -135, -14, 316, -130, -14, 0, 0, 0
L 276, -135, -14, 314, -135, -14, 0, 0, 0
L 272, -138, -14, 276, -135, -14, 0, 0, 0
L 279, -154, -14, 272, -138, -14, 0, 0, 0
L 184, -241, -19, 201, -273, -17, 0, 0, 0
L 148, -259, -19, 184, -241, -19, 0, 0, 0
L 460, -519, -11, 458, -509, -17, 0, 0, 0
L 471, -540, -11, 460, -519, -11, 0, 0, 0
L 484, -563, -15, 471, -540, -11, 0, 0, 0
L 574, -547, -19, 484, -563, -15, 0, 0, 0
L 604, -541, -19, 574, -547, -19, 0, 0, 0
L 612, -540, -19, 604, -541, -19, 0, 0, 0
L 615, -539, -19, 612, -540, -19, 0, 0, 0
L 619, -540, -19, 615, -539, -19, 0, 0, 0
L 638, -541, -18, 619, -540, -19, 0, 0, 0
L 714, -550, -12, 638, -541, -18, 0, 0, 0
L 721, -550, -12, 714, -550, -12, 0, 0, 0
L 732, -551, -15, 721, -550, -12, 0, 0, 0
L 735, -551, -16, 732, -551, -15, 0, 0, 0
L 747, -549, -19, 735, -551, -16, 0, 0, 0
L 780, -544, -19, 747, -549, -19, 0, 0, 0
L 789, -543, -17, 780, -544, -19, 0, 0, 0
L 798, -541, -18, 789, -543, -17, 0, 0, 0
L 879, -528, -19, 798, -541, -18, 0, 0, 0
L 896, -526, -19, 879, -528, -19, 0, 0, 0
L 967, -538, -19, 896, -526, -19, 0, 0, 0
L 976, -539, -17, 967, -538, -19, 0, 0, 0
L 989, -542, -16, 976, -539, -17, 0, 0, 0
L 999, -544, -15, 989, -542, -16, 0, 0, 0
L 1008, -545, -13, 999, -544, -15, 0, 0, 0
L 1022, -548, -13, 1008, -545, -13, 0, 0, 0
L 1036, -550, -17, 1022, -548, -13, 0, 0, 0
L 1095, -489, -19, 1036, -550, -17, 0, 0, 0
L 1075, -410, -18, 1095, -489, -19, 0, 0, 0
L 1071, -389, -17, 1075, -410, -18, 0, 0, 0
L 1065, -351, -18, 1071, -389, -17, 0, 0, 0
L 1063, -338, -19, 1065, -351, -18, 0, 0, 0
L 1058, -315, -19, 1063, -338, -19, 0, 0, 0
L 1080, -260, -19, 1058, -315, -19, 0, 0, 0
L 1083, -234, -19, 1080, -260, -19, 0, 0, 0
L 1100, -216, 0, 1083, -234, -19, 0, 0, 0
L 1105, -210, 2, 1100, -216, 0, 0, 0, 0
L 1157, -158, -2, 1105, -210, 2, 0, 0, 0
L 1174, -140, -4, 1157, -158, -2, 0, 0, 0
L 1187, -127, -6, 1174, -140, -4, 0, 0, 0
L 1190, -123, -6, 1187, -127, -6, 0, 0, 0
L 1199, -114, -9, 1190, -123, -6, 0, 0, 0
L 1200, -114, -7, 1199, -114, -9, 0, 0, 0
L 1210, -110, -11, 1200, -114, -7, 0, 0, 0
L 1215, -108, -14, 1210, -110, -11, 0, 0, 0
L 1217, -107, -17, 1215, -108, -14, 0, 0, 0
L 1233, -108, 0, 1217, -107, -17, 0, 0, 0
L 1243, -104, -8, 1233, -108, 0, 0, 0, 0
L 1246, -104, -9, 1243, -104, -8, 0, 0, 0
L 1248, -103, -12, 1246, -104, -9, 0, 0, 0
L 1258, -99, -18, 1248, -103, -12, 0, 0, 0
L 1294, -99, -18, 1258, -99, -18, 0, 0, 0
L 1303, -100, -18, 1294, -99, -18, 0, 0, 0
L 1307, -99, -18, 1303, -100, -18, 0, 0, 0
L 1350, -120, -3, 1307, -99, -18, 0, 0, 0
L 1354, -122, -3, 1350, -120, -3, 0, 0, 0
L 1355, -121, -8, 1354, -122, -3, 0, 0, 0
L 1364, -115, -4, 1355, -121, -8, 0, 0, 0
L 1375, -103, -7, 1364, -115, -4, 0, 0, 0
L 1414, -64, -10, 1375, -103, -7, 0, 0, 0
L 1417, -57, -15, 1414, -64, -10, 0, 0, 0
L 1418, -53, -16, 1417, -57, -15, 0, 0, 0
