P 100, 1400, 0, 0, 0, 0, 2, The_Sunken_Library_(TAKA)
P 100, 1600, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 1800, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 100, 2000, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 39.0, 166.0, 16.0, 39.0, 135.0, 1.0, 0, 0, 0
L 39.0, 180.0, 16.0, 39.0, 166.0, 16.0, 0, 0, 0
L 43.0, 180.0, 16.0, 39.0, 180.0, 16.0, 0, 0, 0
L 43.0, 187.0, 16.0, 43.0, 180.0, 16.0, 0, 0, 0
L 39.0, 187.0, 16.0, 43.0, 187.0, 16.0, 0, 0, 0
L 38.0, 243.0, 17.0, 39.0, 187.0, 16.0, 0, 0, 0
L -8.0, 243.0, 16.0, 38.0, 243.0, 17.0, 0, 0, 0
L -8.0, 246.0, 16.0, -8.0, 243.0, 16.0, 0, 0, 0
L -14.0, 246.0, 16.0, -8.0, 246.0, 16.0, 0, 0, 0
L -14.0, 218.0, 16.0, -14.0, 246.0, 16.0, 0, 0, 0
L -34.0, 199.0, 21.0, -14.0, 218.0, 16.0, 0, 0, 0
L -132.0, 199.0, 21.0, -34.0, 199.0, 21.0, 0, 0, 0
L -132.0, 246.0, 20.0, -132.0, 199.0, 21.0, 0, 0, 0
L -138.0, 246.0, 20.0, -132.0, 246.0, 20.0, 0, 0, 0
L -138.0, 235.0, 20.0, -138.0, 246.0, 20.0, 0, 0, 0
L -154.0, 234.0, 20.0, -138.0, 235.0, 20.0, 0, 0, 0
L -170.0, 218.0, 20.0, -154.0, 234.0, 20.0, 0, 0, 0
L -170.0, 203.0, 20.0, -170.0, 218.0, 20.0, 0, 0, 0
L -208.0, 203.0, 22.0, -170.0, 203.0, 20.0, 0, 0, 0
L -208.0, 234.0, 20.0, -208.0, 203.0, 22.0, 0, 0, 0
L -240.0, 235.0, 20.0, -208.0, 234.0, 20.0, 0, 0, 0
L -240.0, 246.0, 20.0, -240.0, 235.0, 20.0, 0, 0, 0
L -246.0, 246.0, 20.0, -240.0, 246.0, 20.0, 0, 0, 0
L -246.0, 219.0, 24.0, -246.0, 246.0, 20.0, 0, 0, 0
L -376.0, 219.0, 25.0, -246.0, 219.0, 24.0, 0, 0, 0
L -376.0, 288.0, 22.0, -376.0, 219.0, 25.0, 0, 0, 0
L -356.0, 289.0, 20.0, -376.0, 288.0, 22.0, 0, 0, 0
L -356.0, 321.0, 22.0, -356.0, 289.0, 20.0, 0, 0, 0
L -333.0, 336.0, 20.0, -356.0, 321.0, 22.0, 0, 0, 0
L -308.0, 336.0, 21.0, -333.0, 336.0, 20.0, 0, 0, 0
L -308.0, 343.0, 20.0, -308.0, 336.0, 21.0, 0, 0, 0
L -318.0, 343.0, 20.0, -308.0, 343.0, 20.0, 0, 0, 0
L -318.0, 348.0, 20.0, -318.0, 343.0, 20.0, 0, 0, 0
L -331.0, 349.0, 20.0, -318.0, 348.0, 20.0, 0, 0, 0
L -342.0, 360.0, 20.0, -331.0, 349.0, 20.0, 0, 0, 0
L -342.0, 371.0, 20.0, -342.0, 360.0, 20.0, 0, 0, 0
L -331.0, 382.0, 24.0, -342.0, 371.0, 20.0, 0, 0, 0
L -318.0, 383.0, 20.0, -331.0, 382.0, 24.0, 0, 0, 0
L -318.0, 402.0, 20.0, -318.0, 383.0, 20.0, 0, 0, 0
L -331.0, 403.0, 20.0, -318.0, 402.0, 20.0, 0, 0, 0
L -342.0, 414.0, 20.0, -331.0, 403.0, 20.0, 0, 0, 0
L -342.0, 425.0, 20.0, -342.0, 414.0, 20.0, 0, 0, 0
L -331.0, 436.0, 24.0, -342.0, 425.0, 20.0, 0, 0, 0
L -318.0, 437.0, 20.0, -331.0, 436.0, 24.0, 0, 0, 0
L -318.0, 456.0, 20.0, -318.0, 437.0, 20.0, 0, 0, 0
L -331.0, 457.0, 20.0, -318.0, 456.0, 20.0, 0, 0, 0
L -342.0, 468.0, 20.0, -331.0, 457.0, 20.0, 0, 0, 0
L -342.0, 479.0, 20.0, -342.0, 468.0, 20.0, 0, 0, 0
L -331.0, 490.0, 24.0, -342.0, 479.0, 20.0, 0, 0, 0
L -318.0, 491.0, 20.0, -331.0, 490.0, 24.0, 0, 0, 0
L -318.0, 526.0, 20.0, -318.0, 491.0, 20.0, 0, 0, 0
L -284.0, 526.0, 20.0, -318.0, 526.0, 20.0, 0, 0, 0
L -284.0, 491.0, 22.0, -284.0, 526.0, 20.0, 0, 0, 0
L -271.0, 490.0, 20.0, -284.0, 491.0, 22.0, 0, 0, 0
L -260.0, 479.0, 20.0, -271.0, 490.0, 20.0, 0, 0, 0
L -260.0, 468.0, 20.0, -260.0, 479.0, 20.0, 0, 0, 0
L -271.0, 457.0, 24.0, -260.0, 468.0, 20.0, 0, 0, 0
L -284.0, 456.0, 20.0, -271.0, 457.0, 24.0, 0, 0, 0
L -284.0, 437.0, 20.0, -284.0, 456.0, 20.0, 0, 0, 0
L -271.0, 436.0, 20.0, -284.0, 437.0, 20.0, 0, 0, 0
L -260.0, 425.0, 20.0, -271.0, 436.0, 20.0, 0, 0, 0
L -260.0, 414.0, 20.0, -260.0, 425.0, 20.0, 0, 0, 0
L -271.0, 403.0, 24.0, -260.0, 414.0, 20.0, 0, 0, 0
L -284.0, 402.0, 20.0, -271.0, 403.0, 24.0, 0, 0, 0
L -284.0, 383.0, 20.0, -284.0, 402.0, 20.0, 0, 0, 0
L -271.0, 382.0, 20.0, -284.0, 383.0, 20.0, 0, 0, 0
L -260.0, 371.0, 20.0, -271.0, 382.0, 20.0, 0, 0, 0
L -260.0, 360.0, 20.0, -260.0, 371.0, 20.0, 0, 0, 0
L -271.0, 349.0, 24.0, -260.0, 360.0, 20.0, 0, 0, 0
L -284.0, 348.0, 21.0, -271.0, 349.0, 24.0, 0, 0, 0
L -284.0, 343.0, 24.0, -284.0, 348.0, 21.0, 0, 0, 0
L -294.0, 343.0, 20.0, -284.0, 343.0, 24.0, 0, 0, 0
L -294.0, 336.0, 20.0, -294.0, 343.0, 20.0, 0, 0, 0
L -265.0, 336.0, 20.0, -294.0, 336.0, 20.0, 0, 0, 0
L -246.0, 316.0, 25.0, -265.0, 336.0, 20.0, 0, 0, 0
L -246.0, 261.0, 20.0, -246.0, 316.0, 25.0, 0, 0, 0
L -240.0, 261.0, 20.0, -246.0, 261.0, 20.0, 0, 0, 0
L -240.0, 273.0, 22.0, -240.0, 261.0, 20.0, 0, 0, 0
L -208.0, 304.0, 20.0, -240.0, 273.0, 22.0, 0, 0, 0
L -170.0, 304.0, 20.0, -208.0, 304.0, 20.0, 0, 0, 0
L -170.0, 288.0, 20.0, -170.0, 304.0, 20.0, 0, 0, 0
L -153.0, 272.0, 20.0, -170.0, 288.0, 20.0, 0, 0, 0
L -138.0, 272.0, 20.0, -153.0, 272.0, 20.0, 0, 0, 0
L -138.0, 261.0, 20.0, -138.0, 272.0, 20.0, 0, 0, 0
L -132.0, 261.0, 20.0, -138.0, 261.0, 20.0, 0, 0, 0
L -132.0, 328.0, 21.0, -132.0, 261.0, 20.0, 0, 0, 0
L -62.0, 328.0, 18.0, -132.0, 328.0, 21.0, 0, 0, 0
L -61.0, 308.0, 16.0, -62.0, 328.0, 18.0, 0, 0, 0
L -30.0, 308.0, 18.0, -61.0, 308.0, 16.0, 0, 0, 0
L -14.0, 285.0, 16.0, -30.0, 308.0, 18.0, 0, 0, 0
L -14.0, 261.0, 17.0, -14.0, 285.0, 16.0, 0, 0, 0
L -8.0, 261.0, 16.0, -14.0, 261.0, 17.0, 0, 0, 0
L -8.0, 264.0, 16.0, -8.0, 261.0, 16.0, 0, 0, 0
L 39.0, 265.0, 16.0, -8.0, 264.0, 16.0, 0, 0, 0
L 39.0, 320.0, 16.0, 39.0, 265.0, 16.0, 0, 0, 0
L 43.0, 320.0, 16.0, 39.0, 320.0, 16.0, 0, 0, 0
L 43.0, 327.0, 18.0, 43.0, 320.0, 16.0, 0, 0, 0
L 39.0, 327.0, 19.0, 43.0, 327.0, 18.0, 0, 0, 0
L 39.0, 382.0, 16.0, 39.0, 327.0, 19.0, 0, 0, 0
L 33.0, 382.0, 16.0, 39.0, 382.0, 16.0, 0, 0, 0
L 33.0, 354.0, 16.0, 33.0, 382.0, 16.0, 0, 0, 0
L 13.0, 335.0, 21.0, 33.0, 354.0, 16.0, 0, 0, 0
L -22.0, 335.0, 16.0, 13.0, 335.0, 21.0, 0, 0, 0
L -84.0, 335.0, 20.0, -22.0, 335.0, 16.0, 0, 0, 0
L -84.0, 464.0, 19.0, -84.0, 335.0, 20.0, 0, 0, 0
L -56.0, 464.0, 16.0, -84.0, 464.0, 19.0, 0, 0, 0
L -56.0, 471.0, 16.0, -56.0, 464.0, 16.0, 0, 0, 0
L -85.0, 471.0, 16.0, -56.0, 471.0, 16.0, 0, 0, 0
L -85.0, 501.0, 21.0, -85.0, 471.0, 16.0, 0, 0, 0
L -61.0, 525.0, 16.0, -85.0, 501.0, 21.0, 0, 0, 0
L -61.0, 568.0, 16.0, -61.0, 525.0, 16.0, 0, 0, 0
L -41.0, 588.0, 17.0, -61.0, 568.0, 16.0, 0, 0, 0
L -13.0, 588.0, 20.0, -41.0, 588.0, 17.0, 0, 0, 0
L -13.0, 595.0, 20.0, -13.0, 588.0, 20.0, 0, 0, 0
L -41.0, 595.0, 24.0, -13.0, 595.0, 20.0, 0, 0, 0
L -41.0, 642.0, 24.0, -41.0, 595.0, 24.0, 0, 0, 0
L -47.0, 642.0, 24.0, -41.0, 642.0, 24.0, 0, 0, 0
L -47.0, 639.0, 25.0, -47.0, 642.0, 24.0, 0, 0, 0
L -181.0, 639.0, 31.0, -47.0, 639.0, 25.0, 0, 0, 0
L -181.0, 660.0, 24.0, -181.0, 639.0, 31.0, 0, 0, 0
L -125.0, 661.0, 25.0, -181.0, 660.0, 24.0, 0, 0, 0
L -125.0, 708.0, 26.0, -125.0, 661.0, 25.0, 0, 0, 0
L -121.0, 708.0, 25.0, -125.0, 708.0, 26.0, 0, 0, 0
L -121.0, 715.0, 24.0, -121.0, 708.0, 25.0, 0, 0, 0
L -133.0, 715.0, 24.0, -121.0, 715.0, 24.0, 0, 0, 0
L -133.0, 746.0, 24.0, -133.0, 715.0, 24.0, 0, 0, 0
L -165.0, 747.0, 24.0, -133.0, 746.0, 24.0, 0, 0, 0
L -165.0, 758.0, 24.0, -165.0, 747.0, 24.0, 0, 0, 0
L -171.0, 758.0, 24.0, -165.0, 758.0, 24.0, 0, 0, 0
L -171.0, 749.0, 24.0, -171.0, 758.0, 24.0, 0, 0, 0
L -207.0, 749.0, 26.0, -171.0, 749.0, 24.0, 0, 0, 0
L -207.0, 736.0, 24.0, -207.0, 749.0, 26.0, 0, 0, 0
L -218.0, 725.0, 24.0, -207.0, 736.0, 24.0, 0, 0, 0
L -230.0, 725.0, 24.0, -218.0, 725.0, 24.0, 0, 0, 0
L -241.0, 736.0, 28.0, -230.0, 725.0, 24.0, 0, 0, 0
L -241.0, 748.0, 24.0, -241.0, 736.0, 28.0, 0, 0, 0
L -261.0, 748.0, 24.0, -241.0, 748.0, 24.0, 0, 0, 0
L -261.0, 736.0, 24.0, -261.0, 748.0, 24.0, 0, 0, 0
L -272.0, 725.0, 24.0, -261.0, 736.0, 24.0, 0, 0, 0
L -284.0, 725.0, 24.0, -272.0, 725.0, 24.0, 0, 0, 0
L -295.0, 736.0, 28.0, -284.0, 725.0, 24.0, 0, 0, 0
L -295.0, 748.0, 24.0, -295.0, 736.0, 28.0, 0, 0, 0
L -315.0, 748.0, 24.0, -295.0, 748.0, 24.0, 0, 0, 0
L -315.0, 736.0, 24.0, -315.0, 748.0, 24.0, 0, 0, 0
L -326.0, 725.0, 24.0, -315.0, 736.0, 24.0, 0, 0, 0
L -338.0, 725.0, 24.0, -326.0, 725.0, 24.0, 0, 0, 0
L -349.0, 736.0, 28.0, -338.0, 725.0, 24.0, 0, 0, 0
L -349.0, 748.0, 25.0, -349.0, 736.0, 28.0, 0, 0, 0
L -355.0, 749.0, 28.0, -349.0, 748.0, 25.0, 0, 0, 0
L -355.0, 758.0, 24.0, -355.0, 749.0, 28.0, 0, 0, 0
L -362.0, 759.0, 24.0, -355.0, 758.0, 24.0, 0, 0, 0
L -361.0, 714.0, 24.0, -362.0, 759.0, 24.0, 0, 0, 0
L -369.0, 712.0, 24.0, -361.0, 714.0, 24.0, 0, 0, 0
L -381.0, 710.0, 27.0, -369.0, 712.0, 24.0, 0, 0, 0
L -399.0, 702.0, 28.0, -381.0, 710.0, 27.0, 0, 0, 0
L -412.0, 706.0, 32.0, -399.0, 702.0, 28.0, 0, 0, 0
L -420.0, 704.0, 34.0, -412.0, 706.0, 32.0, 0, 0, 0
L -426.0, 700.0, 39.0, -420.0, 704.0, 34.0, 0, 0, 0
L -439.0, 696.0, 37.0, -426.0, 700.0, 39.0, 0, 0, 0
L -452.0, 702.0, 29.0, -439.0, 696.0, 37.0, 0, 0, 0
L -459.0, 707.0, 24.0, -452.0, 702.0, 29.0, 0, 0, 0
L -464.0, 712.0, 24.0, -459.0, 707.0, 24.0, 0, 0, 0
L -474.0, 727.0, 33.0, -464.0, 712.0, 24.0, 0, 0, 0
L -474.0, 740.0, 29.0, -474.0, 727.0, 33.0, 0, 0, 0
L -476.0, 748.0, 26.0, -474.0, 740.0, 29.0, 0, 0, 0
L -471.0, 762.0, 24.0, -476.0, 748.0, 26.0, 0, 0, 0
L -475.0, 777.0, 26.0, -471.0, 762.0, 24.0, 0, 0, 0
L -474.0, 788.0, 28.0, -475.0, 777.0, 26.0, 0, 0, 0
L -473.0, 797.0, 28.0, -474.0, 788.0, 28.0, 0, 0, 0
