P 200, 1200, 0, 0, 0, 0, 2, The_Fading_Temple_(TAKC)
P 200, 1400, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 200, 1600, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 200, 1800, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 303.0, 627.0, 4.0, 303.0, 629.0, 4.0, 0, 0, 0
L 325.0, 627.0, 4.0, 303.0, 627.0, 4.0, 0, 0, 0
L 336.0, 629.0, 4.0, 325.0, 627.0, 4.0, 0, 0, 0
L 338.0, 628.0, 4.0, 336.0, 629.0, 4.0, 0, 0, 0
L 339.0, 626.0, 4.0, 338.0, 628.0, 4.0, 0, 0, 0
L 340.0, 625.0, 4.0, 339.0, 626.0, 4.0, 0, 0, 0
L 341.0, 625.0, 4.0, 340.0, 625.0, 4.0, 0, 0, 0
L 346.0, 617.0, 4.0, 341.0, 625.0, 4.0, 0, 0, 0
L 341.0, 613.0, 4.0, 346.0, 617.0, 4.0, 0, 0, 0
L 339.0, 614.0, 4.0, 341.0, 613.0, 4.0, 0, 0, 0
L 349.0, 604.0, 4.0, 339.0, 614.0, 4.0, 0, 0, 0
L 351.0, 605.0, 4.0, 349.0, 604.0, 4.0, 0, 0, 0
L 349.0, 613.0, 4.0, 351.0, 605.0, 4.0, 0, 0, 0
L 349.0, 614.0, 4.0, 349.0, 613.0, 4.0, 0, 0, 0
L 356.0, 619.0, 4.0, 349.0, 614.0, 4.0, 0, 0, 0
L 358.0, 620.0, 4.0, 356.0, 619.0, 4.0, 0, 0, 0
L 359.0, 618.0, 4.0, 358.0, 620.0, 4.0, 0, 0, 0
L 360.0, 606.0, 4.0, 359.0, 618.0, 4.0, 0, 0, 0
L 360.0, 604.0, 4.0, 360.0, 606.0, 4.0, 0, 0, 0
L 361.0, 603.0, 4.0, 360.0, 604.0, 4.0, 0, 0, 0
L 370.0, 612.0, 4.0, 361.0, 603.0, 4.0, 0, 0, 0
L 371.0, 614.0, 6.0, 370.0, 612.0, 4.0, 0, 0, 0
L 372.0, 627.0, 4.0, 371.0, 614.0, 6.0, 0, 0, 0
L 389.0, 627.0, 4.0, 373.0, 627.0, 4.0, 0, 0, 0
L 391.0, 628.0, 4.0, 389.0, 627.0, 4.0, 0, 0, 0
L 393.0, 626.0, 4.0, 391.0, 628.0, 4.0, 0, 0, 0
L 393.0, 625.0, 4.0, 393.0, 626.0, 4.0, 0, 0, 0
L 396.0, 626.0, 4.0, 393.0, 625.0, 4.0, 0, 0, 0
L 401.0, 618.0, 4.0, 396.0, 626.0, 4.0, 0, 0, 0
L 397.0, 614.0, 4.0, 401.0, 618.0, 4.0, 0, 0, 0
L 394.0, 614.0, 4.0, 397.0, 614.0, 4.0, 0, 0, 0
L 404.0, 603.0, 4.0, 394.0, 614.0, 4.0, 0, 0, 0
L 406.0, 605.0, 4.0, 404.0, 603.0, 4.0, 0, 0, 0
L 405.0, 606.0, 4.0, 406.0, 605.0, 4.0, 0, 0, 0
L 403.0, 610.0, 4.0, 405.0, 606.0, 4.0, 0, 0, 0
L 405.0, 614.0, 4.0, 403.0, 610.0, 4.0, 0, 0, 0
L 407.0, 615.0, 4.0, 405.0, 614.0, 4.0, 0, 0, 0
L 409.0, 615.0, 4.0, 407.0, 615.0, 4.0, 0, 0, 0
L 410.0, 616.0, 4.0, 409.0, 615.0, 4.0, 0, 0, 0
L 407.0, 616.0, 4.0, 409.0, 615.0, 4.0, 0, 0, 0
L 407.0, 617.0, 4.0, 407.0, 616.0, 4.0, 0, 0, 0
L 411.0, 620.0, 4.0, 407.0, 617.0, 4.0, 0, 0, 0
L 413.0, 620.0, 4.0, 411.0, 620.0, 4.0, 0, 0, 0
L 414.0, 606.0, 4.0, 413.0, 620.0, 4.0, 0, 0, 0
L 414.0, 605.0, 4.0, 414.0, 606.0, 4.0, 0, 0, 0
L 415.0, 603.0, 4.0, 414.0, 605.0, 4.0, 0, 0, 0
L 425.0, 613.0, 6.0, 415.0, 603.0, 4.0, 0, 0, 0
L 426.0, 614.0, 7.0, 425.0, 613.0, 6.0, 0, 0, 0
L 426.0, 624.0, 8.0, 426.0, 614.0, 7.0, 0, 0, 0
L 426.0, 626.0, 4.0, 426.0, 624.0, 8.0, 0, 0, 0
L 424.0, 626.0, 4.0, 426.0, 626.0, 4.0, 0, 0, 0
L 427.0, 627.0, 4.0, 424.0, 626.0, 4.0, 0, 0, 0
L 446.0, 627.0, 4.0, 427.0, 627.0, 4.0, 0, 0, 0
L 447.0, 625.0, 4.0, 446.0, 627.0, 4.0, 0, 0, 0
L 451.0, 620.0, 4.0, 447.0, 625.0, 4.0, 0, 0, 0
L 452.0, 619.0, 4.0, 451.0, 620.0, 4.0, 0, 0, 0
L 451.0, 615.0, 4.0, 452.0, 619.0, 4.0, 0, 0, 0
L 450.0, 614.0, 4.0, 451.0, 615.0, 4.0, 0, 0, 0
L 449.0, 612.0, 4.0, 450.0, 614.0, 4.0, 0, 0, 0
L 448.0, 613.0, 4.0, 449.0, 612.0, 4.0, 0, 0, 0
L 455.0, 606.0, 4.0, 448.0, 613.0, 4.0, 0, 0, 0
L 457.0, 607.0, 4.0, 455.0, 606.0, 4.0, 0, 0, 0
L 459.0, 613.0, 4.0, 457.0, 607.0, 4.0, 0, 0, 0
L 460.0, 615.0, 4.0, 459.0, 613.0, 4.0, 0, 0, 0
L 467.0, 615.0, 4.0, 460.0, 615.0, 4.0, 0, 0, 0
L 468.0, 604.0, 4.0, 467.0, 615.0, 4.0, 0, 0, 0
L 469.0, 603.0, 4.0, 468.0, 604.0, 4.0, 0, 0, 0
L 480.0, 614.0, 4.0, 469.0, 603.0, 4.0, 0, 0, 0
L 480.0, 625.0, 4.0, 480.0, 614.0, 4.0, 0, 0, 0
L 481.0, 627.0, 4.0, 480.0, 625.0, 4.0, 0, 0, 0
L 486.0, 627.0, 4.0, 481.0, 627.0, 4.0, 0, 0, 0
