P -100, 1100, 0, 0, 0, 0, 2, The_Prismatic_Corridors_(TAKJ)
P -100, 1300, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -100, 1500, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -100, 1700, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 133.0, -646.0, 22.0, 134.0, -646.0, 21.0, 0, 0, 0
L 134.0, -646.0, 21.0, 136.0, -645.0, 21.0, 0, 0, 0
L 136.0, -645.0, 21.0, 136.0, -644.0, 21.0, 0, 0, 0
L 136.0, -644.0, 21.0, 138.0, -643.0, 20.0, 0, 0, 0
L 138.0, -643.0, 20.0, 139.0, -642.0, 19.0, 0, 0, 0
L 139.0, -642.0, 19.0, 143.0, -642.0, 17.0, 0, 0, 0
L 143.0, -642.0, 17.0, 144.0, -644.0, 15.0, 0, 0, 0
L 144.0, -644.0, 15.0, 146.0, -643.0, 18.0, 0, 0, 0
L 146.0, -643.0, 18.0, 148.0, -642.0, 20.0, 0, 0, 0
L 148.0, -642.0, 20.0, 150.0, -642.0, 21.0, 0, 0, 0
L 150.0, -642.0, 21.0, 151.0, -642.0, 21.0, 0, 0, 0
L 151.0, -642.0, 21.0, 152.0, -643.0, 22.0, 0, 0, 0
L 152.0, -643.0, 22.0, 153.0, -645.0, 22.0, 0, 0, 0
L 153.0, -645.0, 22.0, 156.0, -645.0, 22.0, 0, 0, 0
L 156.0, -645.0, 22.0, 158.0, -646.0, 22.0, 0, 0, 0
L 158.0, -646.0, 22.0, 159.0, -645.0, 22.0, 0, 0, 0
L 159.0, -645.0, 22.0, 159.0, -643.0, 23.0, 0, 0, 0
L 159.0, -643.0, 23.0, 160.0, -641.0, 24.0, 0, 0, 0
L 160.0, -641.0, 24.0, 161.0, -640.0, 24.0, 0, 0, 0
L 172.0, -640.0, 24.0, 161.0, -640.0, 24.0, 0, 0, 0
L 180.0, -633.0, 24.0, 172.0, -640.0, 24.0, 0, 0, 0
L 181.0, -631.0, 24.0, 179.0, -631.0, 24.0, 0, 0, 0
L 179.0, -631.0, 24.0, 177.0, -632.0, 24.0, 0, 0, 0
L 177.0, -632.0, 24.0, 175.0, -632.0, 24.0, 0, 0, 0
L 175.0, -632.0, 24.0, 173.0, -631.0, 24.0, 0, 0, 0
L 173.0, -631.0, 24.0, 172.0, -630.0, 24.0, 0, 0, 0
L 172.0, -625.0, 24.0, 172.0, -630.0, 24.0, 0, 0, 0
L 171.0, -621.0, 24.0, 172.0, -625.0, 24.0, 0, 0, 0
L 172.0, -619.0, 24.0, 171.0, -621.0, 24.0, 0, 0, 0
L 182.0, -619.0, 24.0, 172.0, -619.0, 24.0, 0, 0, 0
L 173.0, -611.0, 24.0, 182.0, -619.0, 24.0, 0, 0, 0
L 172.0, -610.0, 21.0, 170.0, -611.0, 21.0, 0, 0, 0
L 170.0, -611.0, 21.0, 168.0, -613.0, 24.0, 0, 0, 0
L 168.0, -613.0, 24.0, 167.0, -614.0, 22.0, 0, 0, 0
L 167.0, -614.0, 22.0, 167.0, -612.0, 21.0, 0, 0, 0
L 167.0, -612.0, 21.0, 165.0, -613.0, 21.0, 0, 0, 0
L 165.0, -613.0, 21.0, 166.0, -611.0, 21.0, 0, 0, 0
L 166.0, -611.0, 21.0, 165.0, -610.0, 21.0, 0, 0, 0
L 165.0, -610.0, 21.0, 162.0, -610.0, 24.0, 0, 0, 0
L 162.0, -610.0, 24.0, 161.0, -610.0, 24.0, 0, 0, 0
L 161.0, -610.0, 24.0, 159.0, -608.0, 24.0, 0, 0, 0
L 159.0, -588.0, 24.0, 159.0, -608.0, 24.0, 0, 0, 0
L 161.0, -586.0, 24.0, 159.0, -588.0, 24.0, 0, 0, 0
L 172.0, -586.0, 24.0, 161.0, -586.0, 24.0, 0, 0, 0
L 180.0, -579.0, 24.0, 172.0, -586.0, 24.0, 0, 0, 0
L 180.0, -577.0, 24.0, 178.0, -577.0, 24.0, 0, 0, 0
L 178.0, -577.0, 24.0, 176.0, -578.0, 24.0, 0, 0, 0
L 176.0, -578.0, 24.0, 174.0, -578.0, 24.0, 0, 0, 0
L 174.0, -578.0, 24.0, 173.0, -577.0, 24.0, 0, 0, 0
L 172.0, -572.0, 24.0, 173.0, -577.0, 24.0, 0, 0, 0
L 172.0, -566.0, 24.0, 172.0, -572.0, 24.0, 0, 0, 0
L 173.0, -565.0, 24.0, 172.0, -566.0, 24.0, 0, 0, 0
L 179.0, -565.0, 24.0, 173.0, -565.0, 24.0, 0, 0, 0
L 180.0, -566.0, 24.0, 182.0, -566.0, 24.0, 0, 0, 0
L 175.0, -558.0, 24.0, 182.0, -566.0, 24.0, 0, 0, 0
L 173.0, -557.0, 24.0, 171.0, -556.0, 21.0, 0, 0, 0
L 171.0, -556.0, 21.0, 169.0, -557.0, 21.0, 0, 0, 0
L 169.0, -557.0, 21.0, 168.0, -558.0, 21.0, 0, 0, 0
L 168.0, -558.0, 21.0, 164.0, -557.0, 21.0, 0, 0, 0
L 164.0, -557.0, 21.0, 163.0, -556.0, 24.0, 0, 0, 0
L 163.0, -556.0, 24.0, 161.0, -556.0, 24.0, 0, 0, 0
L 161.0, -556.0, 24.0, 159.0, -555.0, 24.0, 0, 0, 0
L 159.0, -534.0, 24.0, 159.0, -555.0, 24.0, 0, 0, 0
L 161.0, -532.0, 24.0, 159.0, -534.0, 24.0, 0, 0, 0
L 173.0, -532.0, 24.0, 161.0, -532.0, 24.0, 0, 0, 0
L 180.0, -525.0, 24.0, 173.0, -532.0, 24.0, 0, 0, 0
L 180.0, -523.0, 24.0, 177.0, -523.0, 24.0, 0, 0, 0
L 177.0, -523.0, 24.0, 175.0, -524.0, 24.0, 0, 0, 0
L 175.0, -524.0, 24.0, 173.0, -523.0, 24.0, 0, 0, 0
L 173.0, -523.0, 24.0, 172.0, -522.0, 24.0, 0, 0, 0
L 172.0, -517.0, 24.0, 172.0, -522.0, 24.0, 0, 0, 0
L 171.0, -515.0, 24.0, 172.0, -513.0, 24.0, 0, 0, 0
L 172.0, -513.0, 24.0, 172.0, -512.0, 24.0, 0, 0, 0
L 172.0, -512.0, 24.0, 174.0, -511.0, 24.0, 0, 0, 0
L 181.0, -512.0, 24.0, 174.0, -511.0, 24.0, 0, 0, 0
L 182.0, -512.0, 24.0, 181.0, -512.0, 24.0, 0, 0, 0
L 174.0, -504.0, 24.0, 182.0, -512.0, 24.0, 0, 0, 0
L 173.0, -502.0, 21.0, 174.0, -504.0, 24.0, 0, 0, 0
L 165.0, -502.0, 21.0, 173.0, -502.0, 21.0, 0, 0, 0
L 163.0, -502.0, 24.0, 161.0, -502.0, 24.0, 0, 0, 0
L 161.0, -502.0, 24.0, 159.0, -501.0, 23.0, 0, 0, 0
L 159.0, -466.0, 24.0, 159.0, -501.0, 23.0, 0, 0, 0
L 157.0, -466.0, 24.0, 159.0, -466.0, 24.0, 0, 0, 0
L 151.0, -471.0, 24.0, 157.0, -466.0, 24.0, 0, 0, 0
L 150.0, -472.0, 24.0, 148.0, -472.0, 24.0, 0, 0, 0
L 148.0, -472.0, 24.0, 146.0, -471.0, 24.0, 0, 0, 0
L 146.0, -457.0, 24.0, 146.0, -471.0, 24.0, 0, 0, 0
L 147.0, -456.0, 24.0, 149.0, -455.0, 24.0, 0, 0, 0
L 149.0, -455.0, 24.0, 151.0, -455.0, 24.0, 0, 0, 0
L 151.0, -455.0, 24.0, 153.0, -456.0, 24.0, 0, 0, 0
L 153.0, -311.0, 21.0, 153.0, -456.0, 24.0, 0, 0, 0
L 145.0, -310.0, 24.0, 153.0, -311.0, 21.0, 0, 0, 0
L 97.0, -310.0, 24.0, 145.0, -310.0, 24.0, 0, 0, 0
L 89.0, -311.0, 24.0, 97.0, -310.0, 24.0, 0, 0, 0
L 88.0, -311.0, 24.0, 86.0, -310.0, 24.0, 0, 0, 0
L 86.0, -299.0, 24.0, 86.0, -310.0, 24.0, 0, 0, 0
L 91.0, -299.0, 24.0, 86.0, -299.0, 24.0, 0, 0, 0
L 92.0, -300.0, 24.0, 91.0, -299.0, 24.0, 0, 0, 0
L 115.0, -300.0, 20.0, 92.0, -300.0, 24.0, 0, 0, 0
L 117.0, -300.0, 18.0, 115.0, -300.0, 20.0, 0, 0, 0
L 117.0, -257.0, 24.0, 117.0, -300.0, 18.0, 0, 0, 0
L 117.0, -255.0, 24.0, 118.0, -253.0, 24.0, 0, 0, 0
L 148.0, -224.0, 24.0, 118.0, -253.0, 24.0, 0, 0, 0
L 149.0, -222.0, 24.0, 148.0, -221.0, 24.0, 0, 0, 0
L 148.0, -202.0, 24.0, 148.0, -221.0, 24.0, 0, 0, 0
L 149.0, -201.0, 24.0, 148.0, -202.0, 24.0, 0, 0, 0
L 150.0, -172.0, 19.0, 149.0, -201.0, 24.0, 0, 0, 0
L 150.0, -170.0, 18.0, 150.0, -172.0, 19.0, 0, 0, 0
L 129.0, -170.0, 24.0, 150.0, -170.0, 18.0, 0, 0, 0
L 127.0, -170.0, 24.0, 129.0, -170.0, 24.0, 0, 0, 0
L 123.0, -171.0, 24.0, 127.0, -170.0, 24.0, 0, 0, 0
L 121.0, -171.0, 24.0, 119.0, -170.0, 24.0, 0, 0, 0
L 119.0, -170.0, 24.0, 118.0, -168.0, 24.0, 0, 0, 0
L 130.0, -160.0, 24.0, 125.0, -160.0, 24.0, 0, 0, 0
L 134.0, -160.0, 22.0, 130.0, -160.0, 24.0, 0, 0, 0
L 136.0, -160.0, 20.0, 138.0, -160.0, 20.0, 0, 0, 0
L 138.0, -160.0, 20.0, 140.0, -160.0, 19.0, 0, 0, 0
L 233.0, -160.0, 19.0, 140.0, -160.0, 19.0, 0, 0, 0
